competition_id,n_players_with_match
RO1,807
ROMP,736
RO1R,480
FS,479
RO2,377
RO1C,373
ELQ,305
ECLQ,286
R2AP,267
ROMS,243
RORE,239
R2AO,214
CLQ,209
ROPC,203
U19Q,198
U21Q,191
U17Q,171
EL,141
ROCJ,135
UCOL,115
RO19,100
SU20,98
WMQ6,93
ROCL,89
19YL,89
RO3F,84
EMQ,78
21EU,73
UNLC,65
POPO,61
FRC,58
RO2B,56
UNLB,54
CITP,53
UNGP,50
UNG1,48
POCP,48
CIT,47
CL,44
PO2,43
IT1,42
PO1,41
19EU,41
FR2,40
POEM,39
EURO,39
POWM,38
TRP,36
IT2,34
PL1,33
TDV,32
FR1,31
FRL,31
WMQ2,31
AFCQ,31
TR1,31
R2BP,30
CCB,30
KR1,29
UN2,28
ITJE,27
ZYP1,27
CILP,26
CPO1,26
BU1,26
POPU,26
IJ1,26
FR3,26
CDR,25
17EU,25
BE1,25
AFCN,24
ISR1,23
PT23,22
KRC,22
BULP,21
ISPO,21
FAC,21
GR1,20
SL1,20
CN2A,19
GRP,19
TR2,19
CN2D,19
SLO1,19
CGB,18
KAS1,18
SCC,18
SKC,18
PLIC,18
UNPO,17
BOS1,17
ZYPA,17
GBFL,17
UKR1,17
NLP,17
IT3P,16
IT3A,16
BIHP,16
KAZP,16
SLP,16
GB21,16
ofb,16
TS1,16
CN2C,16
IT3C,15
ZYPM,15
CN2B,15
SER1,15
MO1N,15
SAKC,15
DKP,15
PT3A,15
NL1,15
OLYM,14
SERP,14
UKRP,14
C1,14
A1,14
TSP,14
ISRF,13
BRC,13
C3NA,13
17WC,13
IJ2B,13
ITJ7,13
21PL,12
NL2,12
IT3B,12
SEC,12
ES3C,12
C2,12
ITJ2,12
KR2,12
ES1,12
ES2,12
C3IF,12
SA1,12
CHAN,12
RUP,12
SE1,11
MWP1,11
NLBE,11
SK2,11
DFB,11
FIWC,11
C3CM,11
DK1,11
IJ2A,10
FAYC,10
ISRA,10
PTPR,10
MAZ1,10
NOPO,10
GB2,10
PL2,10
DKRE,10
BE2,10
SLAR,10
A2,10
GB1,10
POSB,10
RU1,10
SCIJ,10
BRA2,10
P3Au,10
ITJ3,9
DK2,9
S1PO,9
ES3A,9
NO1,9
CH18,9
CHUC,9
MOP2,9
AA17,9
ITJ1,9
PON2,9
IT3O,9
C3VL,9
T1MR,9
ITJP,8
C3BF,8
C3PL,8
C3NO,8
P232,8
GB3,8
20WC,8
ES2P,8
C3HF,8
CS,8
E3G2,8
ITJ5,8
L1,8
ITJF,8
POBE,8
BRA1,8
C3BR,8
KASC,8
MLS1,8
CYSC,7
NLAJ,7
FI1,7
SER2,7
PUSB,7
ALB1,7
ALBP,7
E3PL,7
ES3D,7
UNLD,7
CH17,7
ISR2,7
P3As,7
ITJ4,7
MLSP,7
DKAR,7
CHPR,7
UNLA,7
ARM1,6
BU2,6
NLJV,6
FIS,6
ITC4,6
NMAP,6
SE2,6
RSK2,6
RKPO,6
CEF1,6
SA2L,6
NLJB,6
GRS2,6
SR1C,6
TS2,6
C3OC,6
SWEP,6
SLMR,6
L2,6
GOCU,6
CNLA,6
GCQU,6
FRYC,6
CLI,6
SPjr,6
23AC,6
LET1,6
SFA,6
SC1,6
SCP,6
SSC,5
IRLP,5
IT4P,5
RTIP,5
BUEL,5
CHC1,5
C18E,5
E21P,5
GB18,5
PTRL,5
RLN3,5
E3G1,5
NLBA,5
L3,5
UAE1,5
CCL,5
FRR2,5
USL,5
C3GE,5
RU2,5
DKMR,5
SK2P,5
POGR,5
CZ21,5
KOP1,5
KO1,5
LETP,5
CHFA,5
CSL,5
QFLC,5
ITJ6,5
C3AR,5
BRPR,5
BULS,5
LTVP,5
LI1,5
UG2W,5
UNG2,5
ARPO,4
NLAE,4
F1CL,4
FIL,4
FI2,4
P23C,4
AJ3,4
UKR2,4
UA3L,4
NLBV,4
UKRA,4
UARP,4
BRGO,4
CZ3M,4
CZ3C,4
ITJ8,4
BESC,4
WMQ3,4
CNNF,4
UAEP,4
PL33,4
JUSÖ,4
SE3S,4
IT4C,4
NO2,4
ES1P,4
DK2P,4
SR1R,4
BCP1,4
CB20,4
CAFC,4
SC1P,4
SCPA,4
MNE1,4
MNEC,4
FRR1,4
SCJ2,4
3PTP,4
BHSC,4
BI19,4
SCI,4
BRA3,4
HRSC,4
LTSC,4
MNP3,4
USMX,4
AZ1,4
REKR,4
GE1N,3
GESC,3
RLB3,3
19S2,3
OBLB,3
RLSW,3
WFVP,3
19S1,3
GB4,3
CNAT,3
NO32,3
MOL1,3
SL2,3
E4G4,3
E3FA,3
BASU,3
MOSC,3
CHC3,3
CLO,3
F19A,3
BAPO,3
DKDL,3
TUN1,3
F19B,3
PVRR,3
E3FD,3
ES3B,3
NLBB,3
510,3
T1AR,3
BJ3,3
BVP,3
EJPL,3
