player_id,player_name,current_team_id,current_team_name,current_position,current_age,nationality,shirt_number,career_seasons,career_clubs,career_competitions,career_matches_in_squad,career_matches_played,career_minutes,career_goals,career_assists,career_shots_total,career_shots_on_goal,career_yellow_cards,career_national_team_matches,first_season,last_season
309016,Vlad Muțiu,58049,FC Hermannstadt,Goalkeeper,31,Romania,31,14,8,12,437,142,12615,0,2,0,0,9,2,2013,2026
340978,Tiberiu Căpușă,9465,Petrolul Ploiesti,Right-Back,28,Romania,66,13,8,17,437,272,21312,6,10,69,23,30,14,2014,2026
21517,Ionuț Pop,58049,FC Hermannstadt,Goalkeeper,28,Romania,22,14,10,22,548,107,9530,0,0,0,0,3,1,2012,2026
315442,Cătălin Căbuz,41278,ACSC FC Arges,Goalkeeper,30,Romania,34,15,8,17,540,315,28048,0,2,0,0,18,3,2006,2026
168278,David Lazar,54585,Sepsi OSK Sf. Gheorghe,Goalkeeper,35,Romania,91,17,11,18,703,280,25019,0,0,0,0,16,5,2010,2026
608977,Nana Antwi,58049,FC Hermannstadt,Right-Back,25,Ghana,0,9,6,14,300,227,16759,4,16,22,2,32,0,2018,2026
351072,Vahid Selimovic,58049,FC Hermannstadt,Centre-Back,29,Luxembourg,0,16,9,33,529,211,15768,7,2,30,4,76,17,2011,2026
710076,Kevin Ciubotaru,58049,FC Hermannstadt,Left-Back,22,Romania,98,6,6,18,203,83,5034,0,2,11,3,10,5,2020,2026
271399,Bozhidar Chorbadzhiyski,58049,FC Hermannstadt,Centre-Back,30,Bulgaria,2,13,8,18,454,246,19458,12,7,40,16,62,11,2012,2025
614623,Alexandru Oroian,58049,FC Hermannstadt,Right-Back,25,Romania,0,9,4,8,297,179,9300,11,8,42,18,14,1,2018,2026
203966,Andreas Karo,58049,FC Hermannstadt,Centre-Back,29,Cyprus,3,15,11,30,528,285,21724,20,9,54,14,64,58,2011,2025
1229554,Luca Stancu,301,FCSB,Right-Back,21,Romania,77,4,3,8,87,62,4292,2,2,10,5,1,0,2023,2026
610414,Saeed Issah,58049,FC Hermannstadt,Left-Back,26,Ghana,16,7,3,8,219,88,5390,1,0,2,0,6,0,2018,2025
296585,Silviu Balaure,41278,ACSC FC Arges,Right Midfield,30,Romania,96,15,5,18,557,330,20323,47,45,164,47,29,11,2012,2026
147993,Florin Bejan,58049,FC Hermannstadt,Centre-Back,35,Romania,0,20,12,18,669,421,33912,12,3,18,7,85,13,2007,2026
283287,Antoni Ivanov,58049,FC Hermannstadt,Central Midfield,30,Bulgaria,24,12,13,11,471,307,20805,14,10,40,8,54,0,2013,2025
241584,Ionuț Stoica,58049,FC Hermannstadt,Centre-Back,38,Romania,4,14,4,9,551,425,36480,20,7,44,11,62,0,2012,2025
547820,Dragoș Albu,58049,FC Hermannstadt,Defensive Midfield,25,Romania,8,9,6,15,379,258,19190,17,12,180,31,34,22,2017,2025
241259,Ciprian Biceanu,58049,FC Hermannstadt,Central Midfield,32,Romania,0,15,5,10,527,381,21931,8,4,56,14,21,0,2012,2026
432742,Jair Tavares,58049,FC Hermannstadt,Central Midfield,31,Brazil,7,12,8,16,381,305,24612,38,22,119,37,25,0,2014,2025
679280,Kalifa Kujabi,58049,FC Hermannstadt,Central Midfield,26,The Gambia,6,7,5,13,234,124,7272,8,6,14,3,16,0,2019,2025
668676,Aviel Zargari,58049,FC Hermannstadt,Defensive Midfield,23,Israel,36,9,5,15,283,133,7907,1,3,25,7,34,22,2017,2025
372446,Diogo Batista,58049,FC Hermannstadt,Central Midfield,26,Portugal,21,9,4,11,266,167,10044,10,11,63,16,22,0,2018,2026
916316,Alexandru Luca,58049,FC Hermannstadt,Attacking Midfield,22,Romania,0,7,3,7,157,101,7226,5,4,0,0,12,1,2020,2026
1028683,Patrick Vuc,58049,FC Hermannstadt,Attacking Midfield,22,Romania,0,5,8,12,148,54,2434,9,2,0,0,2,0,2022,2026
959905,Ianis Gândilă,58049,FC Hermannstadt,Central Midfield,20,Romania,20,3,1,6,108,4,60,0,0,0,0,0,0,2021,2025
547754,Ianis Stoica,58049,FC Hermannstadt,Left Winger,23,Romania,0,11,9,18,432,272,15684,68,28,236,85,25,47,2016,2026
470152,Dennis Politic,301,FCSB,Left Winger,26,Romania,20,11,8,22,374,193,10101,37,13,282,109,33,4,2016,2026
840538,Christ Afalna,29700,AFC Unirea 04 Slobozia,Centre-Forward,27,Cameroon,0,6,3,7,195,170,11873,24,10,83,30,24,0,2020,2025
430836,Cristian Neguț,58049,FC Hermannstadt,Centre-Forward,30,Romania,10,12,3,9,450,377,24796,66,34,241,90,70,0,2015,2026
584105,Marko Gjorgjievski,7769,CFR Cluj,Centre-Forward,25,North Macedonia,0,11,8,15,300,223,11616,54,29,32,11,12,21,2015,2026
651376,Moonga Simba,58049,FC Hermannstadt,Right Winger,25,Sweden,70,9,9,16,275,173,8972,19,18,40,10,6,0,2018,2026
379194,Eduard Florescu,29700,AFC Unirea 04 Slobozia,Right Winger,28,Romania,0,13,8,15,529,311,19829,34,23,214,64,54,3,2013,2025
164236,Aurelian Chițu,58049,FC Hermannstadt,Centre-Forward,35,Romania,9,18,9,25,673,490,33515,101,47,205,110,39,8,2009,2026
972812,Ianis Mihart,58049,FC Hermannstadt,Left Winger,21,Romania,0,6,6,6,137,33,1697,1,0,0,0,3,0,2021,2026
1161049,Ioan Bârstan,6429,FC Universitatea Cluj,Left Winger,22,Romania,0,5,5,11,101,22,1585,2,4,0,0,1,0,2022,2026
123671,Sergiu Buș,58049,FC Hermannstadt,Centre-Forward,33,Romania,11,18,16,29,764,417,21061,86,26,157,62,33,7,2008,2025
1498824,Sebastian Ritivoi,58049,FC Hermannstadt,Left Winger,16,Romania,29,1,1,4,22,1,12,0,0,0,0,0,0,2025,2025
464278,Ion Gurău,8818,FC Botosani,Goalkeeper,27,Romania,27,9,5,11,233,108,9774,0,0,0,0,9,0,2015,2026
568618,Robert Popa,29700,AFC Unirea 04 Slobozia,Goalkeeper,23,Romania,1,9,5,13,279,144,12475,0,0,0,0,11,27,2017,2025
871493,Ștefan Ciupercă,29700,AFC Unirea 04 Slobozia,Goalkeeper,20,Romania,27,5,1,6,62,2,180,0,0,0,0,0,0,2021,2026
604366,Ionuț Dinu,29700,AFC Unirea 04 Slobozia,Centre-Back,28,Romania,4,9,4,9,253,146,11511,14,2,16,7,22,1,2015,2026
171770,Denis Rusu,29700,AFC Unirea 04 Slobozia,Goalkeeper,35,Moldova,12,17,7,18,524,249,22394,0,0,0,0,22,13,2010,2026
536129,Andrei Dragu,29700,AFC Unirea 04 Slobozia,Left-Back,26,Romania,11,10,6,7,295,212,14212,11,7,40,12,23,0,2017,2026
529149,Daniel Șerbănică,29700,AFC Unirea 04 Slobozia,Left-Back,29,Romania,29,10,4,6,349,258,20200,10,8,46,12,22,0,2017,2026
749104,Radu Negru,29700,AFC Unirea 04 Slobozia,Right-Back,27,Romania,0,7,4,9,228,172,13777,4,5,27,7,26,0,2019,2025
