player_id,player_name,current_team_id,current_team_name,current_position,current_age,nationality,shirt_number,career_seasons,career_clubs,career_competitions,career_matches_in_squad,career_matches_played,career_minutes,career_goals,career_assists,career_shots_total,career_shots_on_goal,career_yellow_cards,career_national_team_matches,first_season,last_season
429677,Tae-wook Jeong,2996,Incheon United,Centre-Back,29,"Korea, South",25,12,8,18,441,251,20615,11,8,141,41,34,34,2014,2025
677470,Yool Heo,6505,Gimcheon Sangmu,Centre-Forward,25,"Korea, South",0,10,4,11,308,182,9189,27,15,170,52,22,9,2016,2025
862094,Jun-seok Song,6505,Gimcheon Sangmu,Left-Back,25,"Korea, South",0,6,4,8,304,149,9645,8,8,31,8,39,0,2020,2025
867382,Oberdan,6502,Jeonbuk Hyundai Motors,Defensive Midfield,30,Brazil,8,14,6,13,339,289,24289,23,7,111,38,60,0,2013,2026
118451,Tae-hee Nam,19684,Jeju SK,Attacking Midfield,35,"Korea, South",10,17,6,25,821,548,40253,140,107,273,108,34,60,2009,2025
429730,Geon-ung Kim,19684,Jeju SK,Central Midfield,28,"Korea, South",28,13,9,14,482,258,18281,12,3,105,24,39,8,2014,2026
1227023,Min-ho Kim,38898,FC Anyang,Right-Back,23,"Korea, South",37,3,2,3,104,7,233,0,0,0,0,1,0,2023,2025
1172655,Jae-won Heo,19684,Jeju SK,Goalkeeper,18,"Korea, South",29,5,3,10,60,11,780,0,0,0,0,0,8,2022,2026
645842,Chan-gi An,6505,Gimcheon Sangmu,Goalkeeper,28,"Korea, South",0,12,6,11,288,42,3416,0,0,0,0,4,3,2014,2025
709155,Jae-hyeok Oh,6505,Gimcheon Sangmu,Central Midfield,24,"Korea, South",0,9,7,11,296,146,9364,12,10,75,25,13,9,2017,2025
929007,Jun-ha Kim,6505,Gimcheon Sangmu,Right Winger,20,"Korea, South",0,5,3,5,80,62,3141,5,3,17,8,4,2,2020,2025
545501,Ho-jae Lee,311,Pohang Steelers,Centre-Forward,25,"Korea, South",19,10,3,11,282,183,8828,55,9,225,96,14,3,2015,2026
755355,Jin-ho Kim,6505,Gimcheon Sangmu,Right-Back,26,"Korea, South",0,6,5,7,234,139,9920,6,6,40,13,23,0,2018,2025
1306974,Heon-jae Lee,311,Pohang Steelers,Left Winger,20,"Korea, South",71,2,2,6,75,8,174,0,0,0,0,0,2,2024,2025
730364,Gyu-hyeon Choe,6505,Gimcheon Sangmu,Central Midfield,25,"Korea, South",0,5,4,4,135,75,4439,3,2,17,6,14,0,2018,2025
746780,Young-hun Kang,6505,Gimcheon Sangmu,Centre-Back,27,"Korea, South",0,10,9,5,210,112,9525,5,2,15,3,18,0,2016,2025
728133,Sang-hyeok Lee,6505,Gimcheon Sangmu,Centre-Back,25,"Korea, South",0,7,5,7,182,76,4820,2,3,21,6,8,2,2016,2025
1501702,Hyun-soo Woo,6502,Jeonbuk Hyundai Motors,Midfield,23,"Korea, South",42,1,2,5,46,12,661,0,0,0,0,2,0,2025,2025
654313,Tae-hoon Kim,38898,FC Anyang,Goalkeeper,29,"Korea, South",1,11,4,4,305,17,1560,0,0,0,0,2,0,2015,2025
1013929,Jae-seok Hong,38898,FC Anyang,Centre-Back,23,"Korea, South",20,4,6,6,129,42,1453,0,0,6,0,3,2,2022,2025
708799,Ian Kim,19684,Jeju SK,Left Winger,27,"Korea, South",19,9,6,8,186,16,779,1,0,3,1,1,3,2014,2025
862787,Hee-dong Roh,30925,Gwangju FC,Goalkeeper,24,"Korea, South",21,6,3,6,236,17,1393,0,0,0,0,2,0,2020,2025
1362139,Sang-hyeon Lee,35759,Bucheon FC 1995,Goalkeeper,20,"Korea, South",31,2,2,3,67,1,90,0,0,0,0,0,0,2024,2025
1405483,Chan-young Kim,35759,Bucheon FC 1995,Goalkeeper,19,"Korea, South",50,1,1,2,23,0,0,0,0,0,0,0,0,2025,2025
1004336,Sung-hoon Kwak,30925,Gwangju FC,Centre-Back,20,"Korea, South",15,5,3,9,164,15,550,1,0,0,0,0,6,2021,2025
1501700,Geon-hee Lee,6502,Jeonbuk Hyundai Motors,Midfield,19,"Korea, South",47,1,2,5,39,11,479,2,0,0,0,1,0,2025,2025
638570,Min-hyuk Lee,2996,Incheon United,Central Midfield,24,"Korea, South",26,7,7,7,182,101,5122,9,8,38,10,12,3,2017,2025
1501701,Tae-hun An,6502,Jeonbuk Hyundai Motors,Attack,19,"Korea, South",40,1,2,5,45,16,588,2,1,0,0,0,0,2025,2025
260171,Hyeon-woo Jo,3535,Ulsan HD FC,Goalkeeper,34,"Korea, South",21,15,2,17,751,568,51182,0,2,0,0,25,54,2009,2025
429676,Jung-in Moon,3535,Ulsan HD FC,Goalkeeper,28,"Korea, South",23,13,4,14,445,87,7608,0,1,0,0,8,4,2013,2025
426129,Byeong-keun Hwang,3535,Ulsan HD FC,Goalkeeper,32,"Korea, South",31,12,7,9,552,71,6275,0,0,0,0,1,0,2014,2025
1139557,Ju-ho Choi,3535,Ulsan HD FC,Goalkeeper,18,"Korea, South",1,4,2,8,61,11,540,0,0,0,0,0,9,2022,2025
832062,Seong-min Ryu,3535,Ulsan HD FC,Goalkeeper,22,"Korea, South",13,5,2,5,93,0,0,0,0,0,0,0,0,2019,2025
379438,Seung-hyun Jung,3535,Ulsan HD FC,Centre-Back,32,"Korea, South",15,13,6,24,661,392,31642,25,6,114,44,77,41,2012,2025
677469,Hyun-taek Cho,3535,Ulsan HD FC,Left-Back,25,"Korea, South",26,8,3,15,317,193,12353,12,13,108,31,10,23,2018,2025
261394,Sang-woo Kang,3535,Ulsan HD FC,Left-Back,32,"Korea, South",17,14,6,18,592,379,29694,41,53,294,101,39,14,2012,2025
347038,Thomas Oude Kotte,3535,Ulsan HD FC,Centre-Back,30,Netherlands,55,13,10,20,554,359,29716,22,12,112,30,28,0,2013,2025
1087486,Myeong-kwan Seo,3535,Ulsan HD FC,Centre-Back,23,"Korea, South",4,4,2,11,171,104,8244,2,2,47,12,14,8,2022,2025
402163,Jong-gyu Yoon,3535,Ulsan HD FC,Right-Back,28,"Korea, South",2,12,4,19,487,217,16577,4,12,70,19,23,30,2014,2025
