competition_id,n_players_with_match
SA1,809
SAKC,772
FS,503
SA2L,337
SASS,266
AFCL,210
FIWC,159
ACLE,153
EL,133
CL,114
ARCP,103
WMQ1,102
AGUC,99
KLUB,98
ELQ,95
SAUP,92
23AF,92
CLQ,90
20WC,87
AFAC,84
ACLQ,83
U21Q,81
ECLQ,80
U19Q,76
W23C,76
FRC,72
WMQ2,71
SA2P,69
AFCQ,65
FR1,65
WMQ6,64
POPO,61
ACL2,61
GOCU,61
A920,59
CDR,59
A23Q,59
AFCN,58
UCOL,56
EMQ,56
ES1,55
FAC,53
PO1,53
POCP,52
U17Q,52
CGB,51
WAF1,50
FRL,50
GB1,45
CHAN,45
AU2C,45
EURO,45
CIT,44
IT1,44
19YL,41
CCB,41
UNLA,41
CLI,39
POWM,39
ACEQ,39
BE1,39
TRP,38
AG18,37
TR1,36
CS,36
BRA1,35
BRC,35
ES2,35
19EU,35
OLYM,35
FR2,35
21EU,32
FIC1,31
PO2,30
L1,29
17EU,28
17WC,28
DFB,28
PLIC,27
NL1,26
FRYC,26
SAUR,25
ACL,25
EJPL,25
GB2,24
UAE1,24
NLP,24
FR4B,23
UNFI,22
UNLC,21
UNLB,21
USC,21
GR1,20
FR4C,20
POSU,20
UNPO,20
FR4D,20
GB21,20
FRCH,20
AA17,19
WAFF,18
CAFC,18
GRP,18
POBE,18
SUC,18
ES1P,17
BCP1,17
A168,17
SPjr,16
FR3,16
POEM,16
ACQU,15
BRA2,15
C1,15
SCC,15
F17M,15
NL2,15
GBCS,15
2SAM,14
UAEP,14
COPA,14
20AC,14
GBFL,14
SCI,14
A198,14
TR2,13
FRR1,13
FR4A,13
BESC,13
UALC,12
CB20,12
RU1,12
SU20,12
POGR,12
TDV,12
BRCG,11
PT23,11
BCPF,11
L2,11
F19F,11
WMQ4,11
21PL,11
USMX,10
IT2,10
MAR1,10
PL1,10
RUP,10
TUN1,10
NLJB,10
NLBE,10
FAYC,10
ESJP,10
CCL,9
POPU,9
TRS,9
FR5A,9
TUNP,9
PONL,9
ES2P,9
QSL,9
BRCF,8
BRCM,8
CSL,8
CHFA,8
EGY1,8
CNLA,8
KRC,8
MLSP,8
CONC,8
NOPO,8
NO1,8
OLCF,8
POCC,8
NLAJ,8
NLBV,8
ES3A,8
ES3B,8
AFCC,8
QEC1,8
BRCR,7
ZYP1,7
POSB,7
EGYP,7
CAFS,7
CNNF,7
MLS1,7
WMQ3,7
KR1,7
RECO,7
FR5G,7
BRPR,7
DFL,7
BRNE,7
TUSC,7
FR5H,7
PON2,7
BE2,7
BRC2,7
ISPO,7
ISR1,7
23AC,7
MEXA,6
PLSC,6
GCQU,6
IRQ1,6
FR5B,6
SEC,6
SE1,6
UKR1,6
ES3C,6
URUI,6
URUC,6
CITP,6
BPO4,6
BRRS,6
BU1,6
BULP,6
CLIY,6
NLJV,6
F19A,6
GB3,6
ISRF,6
CA16,6
AR1N,6
ARCA,6
SC1,6
SFA,6
QSCP,6
RO1,6
ROMP,6
MEX1,5
BRCB,5
MARP,5
CPSC,5
BRSC,5
ESCU,5
POUS,5
SCBR,5
C20P,5
BCP2,5
RLW3,5
BRA4,5
ALGP,5
ALG1,5
FR5D,5
FR5I,5
PTPR,5
UKRP,5
NLBB,5
2AGC,5
FR5C,5
GRS2,5
SAM2,5
URU1,5
NLSC,5
BRNF,5
L1PO,5
BULS,5
SERP,5
SER1,5
RS2f,5
SCPM,5
SCP,5
CPO1,4
PTRL,4
SLP,4
SL1,4
EGLC,4
S1PO,4
USSP,4
BRGO,4
DK1,4
MEC1,4
AFOL,4
FR5F,4
URUP,4
ITJE,4
E3G2,4
UASC,4
NLAP,4
CHPR,4
CH18,4
CHUC,4
BE2E,4
F19C,4
POG3,4
C2,4
ARLC,4
CDLP,4
GB18,4
SLO1,4
SKC,4
IRLP,4
RO1C,4
CAMC,3
POMX,3
MXSC,3
POME,3
P2RL,3
SL2,3
EGCP,3
UNG1,3
CAN,3
CENC,3
USL,3
UNGP,3
CR19,3
JAP2,3
JEMP,3
FR5L,3
L3,3
BJ2,3
AJ2,3
CPSA,3
L2PO,3
DKP,3
TUNM,3
AGSC,3
17AC,3
P23C,3
FARQ,3
NEDC,3
TELK,3
SFAL,3
SFA1,3
GR20,3
IJ1,3
F19B,3
NLVB,3
RLSW,3
E3PP,3
BASU,3
FIYO,3
SB17,3
SB19,3
FR5E,3
RUSS,3
GB4,3
UKRM,3
POLL,3
VZ1P,3
VZ1C,3
VZ1A,3
VZ1L,3
RLB3,3
ARY3,3
CDCA,3
SR1C,3
ITJ3,3
ARGC,3
MNP3,3
CNLQ,3
SC14,2
ZYPA,2
CPSB,2
CPH1,2
HOC1,2
CACG,2
COLE,2
HO1A,2
HOCP,2
HOAP,2
JAP1,2
ES3D,2
GCQ5,2
OLCC,2
RL3,2
FR5K,2
CLPF,2
NO2,2
RTIP,2
PL31,2
POT2,2
T191,2
NO41,2
RESE,2
UKR2,2
CHC1,2
RSK1,2
RKPO,2
URP1,2
URSC,2
ALP3,2
ALB1,2
ALBP,2
E3G1,2
E3PL,2
NTD,2
MOL1,2
NLBJ,2
181S,2
BUEL,2
KR2,2
CLPI,2
FR5J,2
BOS1,2
BIHP,2
ofb,2
A1,2
UEFA,2
HRSC,2
ES3P,2
211F,2
SAM7,2
RUJL,2
RU2,2
UKRS,2
BJ3,2
AJ3,2
ITJ1,2
DKMR,2
DKRE,2
BEL3,2
E4G2,2
PT3A,2
P3Au,2
VEC1,2
E4G4,2
NLAE,2
RCBR,2
BRga,2
URUE,2
MXCA,2
MXCC,2
18GB,2
IRQC,2
E21P,2
AUS1,2
RLN4,2
SR1R,2
UNLD,2
CHC3,2
GRSC,2
CZ3C,2
ARG1,2
AR2T,2
CHSC,2
QUC1,2
SLAR,2
EL1S,2
EL1A,2
MNPP,2
ALLP,2
T1MR,2
TS1,2
TSP,2
C18E,2
ROPC,2
NLBP,2
NLBA,2
ROMS,2
RO1R,2
GBR,2
CARQ,2
CA17,2
CNLB,2
ISRA,2
BU2,2
GBEG,2
CPSD,1
POSL,1
HOSC,1
CO17,1
C220,1
JAPC,1
IJ2A,1
FRR2,1
DFBJ,1
HEPO,1
COLO,1
COLF,1
COLP,1
COL1,1
COPO,1
COSP,1
OLW3,1
CSLR,1
RLN3,1
AR3L,1
PL33,1
NO45,1
PR1C,1
PR1A,1
SE3S,1
SE3N,1
JUSÖ,1
E3FA,1
NCD1,1
USLP,1
BRA3,1
KLCP,1
URU2,1
UR2T,1
ITJ7,1
ITJ6,1
IT18,1
ITJF,1
SCIJ,1
ALBS,1
AL21,1
511,1
IRN1,1
IRSC,1
IRNP,1
MO1N,1
MWP1,1
BCE1,1
BRCE,1
181F,1
E4G3,1
OBLB,1
VFVA,1
GR2,1
CPP1,1
212F,1
212S,1
T19P,1
F19D,1
POG2,1
ITJ2,1
RPLS,1
BJ,1
DKDL,1
E3FD,1
IJ2B,1
CAN1,1
CA1F,1
RL2,1
SCAG,1
TDCS,1
M20A,1
M20C,1
M2L2,1
M2L1,1
MEX2,1
SPLP,1
FI1,1
FIL,1
FIS,1
GRPL,1
UAE2,1
CNAT,1
PDV1,1
PDV2,1
CISP,1
CRPV,1
CRPD,1
CRPO,1
ITPO,1
GBQ1,1
SER2,1
BOS2,1
DKAR,1
S21N,1
S21S,1
DKPL,1
CR2,1
CH17,1
SUIC,1
BE3A,1
ALPS,1
UA3L,1
RSFF,1
QSJ1,1
JO1L,1
BRPE,1
J1PO,1
NLEV,1
SLMR,1
SWRP,1
SWEP,1
LPPL,1
ECSC,1
ECUP,1
EC1N,1
UARP,1
LI1,1
LTP2,1
CZ21,1
LTVP,1
LTSC,1
CZJ2,1
CHC2,1
ISR2,1
A2,1
ATRM,1
182S,1
PRTD,1
211S,1
182F,1
R2AO,1
RO2,1
CSUS,1
EBEL,1
B3AU,1
FFAC,1
AUSF,1
GRP2,1
GBRP,1
GBRN,1
510,1
402,1
RSKA,1
RSK2,1
BTCU,1
EJPD,1
E4G1,1
DKRQ,1
3CZP,1
BE21,1
TS2,1
E4G5,1
NLC,1
QSLR,1
3PTP,1
ARG2,1
A1P1,1
A2TP,1
GBKN,1
PUSB,1
SL19,1
SCPA,1
WRPO,1
WER1,1
IKSC,1
RO19,1
BO1A,1
PN1A,1
PNF1,1
PN1C,1
B1AP,1
PN1F,1
GBRS,1
P23Q,1
AZ1,1
ASPK,1
2CYP,1
ZYPM,1
CYP2,1
ARM1,1
ARPO,1
TUNR,1
TUPL,1
WFPO,1
OLMR,1
RRLB,1
TRIN,1
OQAF,1
