competition_id,n_players_with_match
SC1,558
SCP,520
SFA,473
FS,374
SCPM,310
SCPA,288
SSC,266
ELQ,235
FAC,231
ECLQ,227
CGB,227
GBFL,205
SC2,194
U21Q,190
GB3,159
U19Q,158
CLQ,139
GB2,138
GB21,133
U17Q,127
SC1P,126
EL,123
21PL,122
GB4,120
SC3,118
FAYC,109
UCOL,106
PLIC,101
GB1,97
19YL,94
CL,88
GB18,80
SC4,72
WMQ6,72
POFD,58
EMQ,58
17EU,51
SC5L,51
FIWC,45
CNAT,43
E21P,40
UNLB,40
POWM,39
POG3,34
UNLC,31
BE1,30
EURO,30
POSD,28
POCC,28
18GB,25
IR1,24
POEM,24
21EU,24
UNLA,24
CCB,23
WMQ2,22
NLP,22
20WC,22
UNPO,22
NLC,21
FRC,20
DFB,20
AUS1,20
MLS1,20
POG2,20
IRPO,19
NL1,18
FFAC,18
DK1,18
SU20,18
AUSF,17
AFCN,17
AFCQ,17
NLS6,16
L2,16
NL2,15
L1,15
CHAN,15
DKP,15
17WC,15
SCC,15
SC3M,14
FR1,14
NIR1,14
POUS,14
MLSP,14
USMX,14
NOPO,14
DKRE,14
SEC,14
19EU,14
CDR,13
FR2,13
CCL,13
NO1,13
GOCU,12
WMQ3,12
NILC,12
ofb,12
DKAR,12
C1,12
DKMR,12
AA17,12
SE1,12
TR1,11
NLN6,11
NIRC,11
WMQ1,11
AFCL,11
GBR,11
POBE,11
WALC,11
USL,10
NO2,10
CNLA,10
NLJB,10
A2,10
COPA,10
POPO,10
OLYM,10
PO1,10
IT1,10
DFBJ,10
A1,10
IRLC,10
SC5H,10
GRP,9
GR1,9
ILIP,9
AFAC,9
POCO,9
KLUB,9
TRP,9
A23Q,9
23AF,9
CIT,9
TDV,9
SL2P,9
SLO1,9
SKC,9
ES1,9
USSP,8
DKRQ,8
AJ3,8
PL1,8
EJPL,8
CNNF,8
CITP,8
IJ1,8
KRC,8
KR1,8
C220,8
IR2,8
RLSW,7
NIRF,7
NLJV,7
NLVB,7
A2SW,7
L3,7
PO2,7
SLAR,7
CAFC,7
NIRU,7
GBCS,7
FRYC,6
FRL,6
FIS,6
FI1,6
TR2,6
PONL,6
NLAJ,6
MNP3,6
FR4A,6
NO32,6
POCP,6
C2,6
DKDL,6
BJ3,6
IS1,6
GBQ1,6
RTIP,6
UNGP,6
UNG1,6
BE2,6
CAN,6
POPU,6
E6SP,6
FR4D,5
ES2,5
FR4B,5
F1CL,5
NLBE,5
EAFC,5
FR4C,5
20AC,5
SLP,5
SL1,5
JAP1,5
PON2,5
DK2,5
IS1P,5
JGD2,5
JGD3,5
S1PO,5
SLMR,5
BESC,5
SER1,5
SERP,5
CHPR,5
RLW3,5
IRPC,5
AJ,5
SC4M,5
KR2,5
ISR1,5
ISPO,5
PT3A,4
F1CE,4
PT23,4
FIL,4
NLBA,4
NLBB,4
NLSC,4
NO46,4
TSP,4
FR3,4
BU1,4
BTCU,4
NLAE,4
USLP,4
CS,4
JEMP,4
JAPC,4
NZL1,4
W23C,4
L1PO,4
ISP,4
GBKN,4
RESE,4
A1EL,4
NLBJ,4
NLBV,4
UNFI,4
ZYP1,4
CPO1,4
DKPL,4
LET1,4
LETP,4
JUSÖ,4
SE2,4
WALE,4
WAL1,4
IRMC,4
IR12,4
P3As,3
ACLE,3
CNLB,3
CHFA,3
GBEG,3
BULP,3
UEFA,3
EST1,3
ESTS,3
ESTP,3
CHC2,3
CNLQ,3
211F,3
BEL3,3
GCQU,3
NLEV,3
J1YV,3
RLB3,3
RO1,3
BRA1,3
OFCN,3
WMQ5,3
DK2P,3
SA1,3
SC4A,3
ISL,3
NO31,3
SPjr,3
BRC,3
CB20,3
MAZ1,3
KAS1,3
KAZP,3
ACL,3
CLI,3
SR1C,3
OLCC,3
GBQ2,3
SC3A,3
F19A,3
AJ2,3
ESJP,3
EJPD,3
2SAM,3
USC,3
NIRE,3
NCD1,3
S21S,3
TS2,3
CZ3C,3
DKDD,3
BE2E,3
ATRM,3
BJ2,3
GBRN,3
A920,3
UNLD,3
SK2,3
M23C,3
M23A,3
MEX1,3
POME,3
FR5A,2
FR5H,2
FI2,2
YKCP,2
P232,2
QSL,2
NSC,2
AFCC,2
UAE1,2
CSL,2
NO44,2
NPFL,2
GBRS,2
COPO,2
BULS,2
EST2,2
E17S,2
EST3,2
C20Q,2
211S,2
F1CC,2
WFVP,2
TRS,2
RO1R,2
ROMP,2
AG18,2
OC24,2
CHUC,2
CH18,2
C18E,2
CHC3,2
POSU,2
ATRO,2
UEQ,2
NO42,2
BRCM,2
P23Q,2
ACLQ,2
NO2R,2
NO45,2
GR20,2
SWEP,2
WER1,2
WRPO,2
BE2A,2
ZYPM,2
C20P,2
AJ1,2
SER2,2
ITJ7,2
ITJE,2
MARP,2
MAR1,2
ARCP,2
23AC,2
F19F,2
FRCH,2
ALPW,2
POGR,2
ARG1,2
ARGC,2
A1P1,2
FR5G,2
OLCF,2
SAM2,2
ARCA,2
HRSC,2
SCI,2
MNPP,2
SFA1,2
NEDC,2
SB19,2
SB17,2
WMQ4,2
FJE,2
FI3B,2
FINJ,2
ES1P,2
JASP,2
RKPO,2
CZ21,2
TS1,2
ITJP,2
CZJ3,2
CZ19,2
T1MR,2
ES3C,2
FR5C,2
ASPK,2
AZ1,2
CASH,2
FRR1,2
MWP1,2
MO1N,2
MOP2,2
BJ,2
A168,2
BUEL,2
FR5B,2
F17M,2
OO23,2
NCL1,2
NZP1,2
NZNL,2
OFPL,2
E4G2,2
ITJ5,2
ZYPA,2
GESC,2
GE1N,2
ISR2,2
F19B,2
DKRL,2
BASU,2
FR5I,2
S21P,2
SL2,2
CHC1,2
ISRF,2
IRLP,2
CDN1,2
UAEP,2
WALP,2
IT3A,2
