player_id,player_name,current_team_id,current_team_name,current_position,current_age,nationality,shirt_number,career_seasons,career_clubs,career_competitions,career_matches_in_squad,career_matches_played,career_minutes,career_goals,career_assists,career_shots_total,career_shots_on_goal,career_yellow_cards,career_national_team_matches,first_season,last_season
369523,Kieran Wright,43,Heart of Midlothian FC,Goalkeeper,27,Scotland,0,13,15,20,414,98,8567,0,0,1,0,1,7,2014,2026
238720,Jérôme Prior,1241,Livingston FC,Goalkeeper,30,France,28,14,8,22,615,255,22726,0,1,0,0,11,0,2012,2026
622179,Jamie Smith,1241,Livingston FC,Goalkeeper,23,Scotland,32,9,7,13,270,115,10267,0,0,0,0,2,3,2018,2026
111830,Jack Hamilton,1241,Livingston FC,Goalkeeper,32,Scotland,13,18,8,15,705,219,19694,0,1,0,0,4,24,2009,2026
412741,Ross Sinclair,2578,St. Johnstone FC,Goalkeeper,25,Scotland,20,11,8,15,337,65,5781,0,0,0,0,0,4,2016,2026
1369324,Evan Myles,1241,Livingston FC,Goalkeeper,0,Scotland,0,2,2,5,12,2,180,0,0,0,0,0,0,2024,2025
757272,Adam Montgomery,371,Celtic FC,Left-Back,24,Scotland,37,8,8,16,274,94,6425,3,9,29,10,16,3,2019,2026
499990,Babacar Fati,1241,Livingston FC,Left-Back,26,Guinea-Bissau,3,8,5,19,253,145,9544,11,22,67,17,26,2,2019,2026
207006,Joshua Brenet,1241,Livingston FC,Right-Back,32,Curacao,0,16,11,33,716,388,29517,25,35,106,43,27,37,2011,2026
532460,Shane Blaney,1241,Livingston FC,Centre-Back,27,Ireland,0,11,6,15,390,125,8416,6,1,33,8,19,0,2016,2026
424019,Danny Finlayson,2578,St. Johnstone FC,Right-Back,25,Northern Ireland,0,11,10,21,347,251,19819,8,14,45,13,31,14,2015,2026
270596,Cammy Kerr,1241,Livingston FC,Right-Back,30,Scotland,2,15,5,10,590,362,29990,13,21,92,28,52,0,2012,2026
54265,Ryan McGowan,1241,Livingston FC,Centre-Back,36,Australia,5,20,14,28,874,529,45077,16,29,84,23,104,25,2007,2026
103819,Danny Wilson,1241,Livingston FC,Centre-Back,34,Scotland,27,19,11,30,829,489,41206,31,20,109,42,76,30,2007,2025
670841,Junior Robinson,1241,Livingston FC,Right-Back,22,England,0,7,5,12,222,122,8654,7,10,52,23,30,0,2018,2025
802221,Brooklyn Kabongolo,1241,Livingston FC,Centre-Back,23,France,23,6,6,9,121,91,6760,9,1,26,8,19,0,2019,2026
895074,Mahamadou Susoho,1241,Livingston FC,Defensive Midfield,21,Spain,0,7,7,19,247,98,6164,6,2,53,18,27,10,2020,2026
801328,Emmanuel Danso,1241,Livingston FC,Central Midfield,25,Ghana,20,9,6,14,263,105,6082,0,2,8,3,23,0,2018,2026
909254,Macaulay Tait,2578,St. Johnstone FC,Central Midfield,20,Scotland,0,6,4,14,272,145,10445,3,12,20,6,22,4,2021,2026
746997,Aidan Denholm,1241,Livingston FC,Central Midfield,22,Scotland,6,8,6,13,261,90,4726,6,7,29,13,14,1,2019,2026
446712,Lewis Smith,370,Aberdeen FC,Right Midfield,26,Scotland,11,11,6,14,387,257,15032,31,43,247,97,21,3,2016,2026
986866,Samson Lawal,1241,Livingston FC,Attacking Midfield,22,Nigeria,40,5,4,14,207,56,3082,2,3,28,6,5,12,2021,2025
526790,Mohamad Sylla,1241,Livingston FC,Defensive Midfield,32,France,24,13,7,14,497,363,26488,12,6,105,19,47,0,2013,2025
87667,Cristian Montano,1241,Livingston FC,Left Midfield,34,Colombia,26,18,10,16,737,462,28216,52,37,251,83,72,0,2009,2026
182614,Scott Pittman,1241,Livingston FC,Attacking Midfield,33,Scotland,8,14,3,10,545,482,39642,57,41,239,90,44,0,2010,2026
80339,Graham Carey,1241,Livingston FC,Left Midfield,36,Ireland,0,21,10,28,911,643,45161,96,142,285,89,98,11,2005,2026
51733,Andrew Shinnie,1241,Livingston FC,Attacking Midfield,36,Scotland,22,22,11,21,965,520,33206,61,64,167,62,61,7,2005,2026
427446,Alex Tamm,1241,Livingston FC,Centre-Forward,24,Estonia,21,12,6,26,510,331,21162,144,27,17,10,44,51,2015,2026
55291,Scott Arfield,1191,Falkirk FC,Central Midfield,36,Canada,0,20,7,27,1004,797,53904,112,48,369,142,90,37,2006,2025
458418,Joshua Zimmerman,1241,Livingston FC,Right Winger,24,Curacao,29,11,8,26,361,183,10413,36,10,77,24,20,15,2016,2026
849429,Tete Yengi,1241,Livingston FC,Centre-Forward,25,Australia,0,7,7,23,275,178,10229,36,18,168,70,32,3,2020,2026
698880,Jannik Wanner,1241,Livingston FC,Left Winger,26,Germany,31,9,7,14,237,164,9518,28,22,14,7,16,0,2018,2026
324152,Joel Nouble,1241,Livingston FC,Centre-Forward,30,England,7,11,9,13,319,234,17985,44,20,195,85,16,0,2013,2026
193885,Robbie Muirhead,1241,Livingston FC,Centre-Forward,30,Scotland,9,15,8,18,594,424,25229,97,40,520,237,57,8,2012,2026
344584,Connor McLennan,1241,Livingston FC,Right Winger,26,Scotland,11,13,8,19,433,253,13768,26,23,159,58,33,15,2014,2026
208934,Barrie McKay,1241,Livingston FC,Left Winger,31,Scotland,10,15,9,33,756,424,26540,47,95,194,68,9,12,2011,2025
345759,Zak Rudden,1241,Livingston FC,Centre-Forward,26,Scotland,0,13,12,19,420,287,17479,78,29,343,170,42,32,2014,2026
567115,Andy Winter,1241,Livingston FC,Centre-Forward,24,Scotland,0,10,6,11,352,211,11465,32,7,145,67,9,13,2017,2026
111432,Stevie May,1241,Livingston FC,Centre-Forward,33,Scotland,17,19,7,17,817,552,33844,140,65,410,179,42,9,2008,2026
1043590,Sam Culbert,1241,Livingston FC,Left Winger,19,Scotland,0,5,5,8,97,58,3877,3,4,38,16,6,0,2022,2026
56490,Jeremy Bokila,1241,Livingston FC,Centre-Forward,37,DR Congo,18,18,18,35,755,515,25350,143,36,230,86,89,20,2007,2025
519731,Danilo,124,Rangers FC,Centre-Forward,27,Brazil,0,9,10,19,474,267,13807,105,30,541,243,5,1,2017,2025
420931,Daizen Maeda,371,Celtic FC,Left Winger,28,Japan,38,11,5,27,645,444,30268,145,52,540,247,33,45,2015,2025
719677,Murray Johnson,903,Hibernian FC,Goalkeeper,21,Scotland,31,7,7,16,210,52,4482,0,0,2,1,4,8,2019,2026
485672,Elijah Just,987,Motherwell FC,Attacking Midfield,26,New Zealand,21,11,9,32,357,285,18367,55,40,215,79,19,63,2016,2026
794777,Nicolas Milanovic,370,Aberdeen FC,Right Winger,24,Australia,11,7,4,13,218,144,6907,34,15,239,99,24,8,2020,2026
503688,Dominic Thompson,2553,Kilmarnock FC,Left-Back,25,England,3,11,11,19,439,229,16188,2,13,61,13,41,0,2016,2026
390177,Nedim Bajrami,124,Rangers FC,Attacking Midfield,27,Albania,14,14,7,29,614,487,30538,82,46,396,152,38,99,2013,2026
527896,Oliver Antman,124,Rangers FC,Right Winger,24,Finland,18,10,8,30,438,272,15073,40,34,217,83,8,49,2017,2026
277782,Chris Cadden,370,Aberdeen FC,Right-Back,29,Scotland,28,14,6,17,581,365,26786,22,38,129,38,20,14,2013,2026
1289544,Billy Hutchinson,465,St. Mirren FC,Central Midfield,18,Scotland,36,3,5,5,77,44,3458,0,0,14,3,9,0,2024,2026
1026007,Adam Forrester,43,Heart of Midlothian FC,Right-Back,21,Scotland,32,5,4,12,211,127,9915,7,13,20,5,35,3,2022,2026
93763,Alexander Schwolow,43,Heart of Midlothian FC,Goalkeeper,34,Germany,25,19,9,20,752,450,39865,0,2,1,0,9,12,2008,2026
624243,Aaron Donnelly,511,Dundee FC,Centre-Back,23,Northern Ireland,6,9,8,22,284,146,11867,5,6,70,15,17,23,2018,2026
504090,Paulo Bernardo,371,Celtic FC,Central Midfield,24,Portugal,28,11,7,22,486,281,15009,37,23,145,44,35,72,2016,2026
567148,Harry Stone,43,Heart of Midlothian FC,Goalkeeper,23,Scotland,0,9,9,15,257,129,11576,0,0,0,0,1,1,2018,2026
1015874,Kjartan Már Kjartansson,370,Aberdeen FC,Defensive Midfield,20,Iceland,29,6,3,16,199,94,4919,4,7,25,10,28,22,2021,2026
218144,Mikael Mandron,465,St. Mirren FC,Centre-Forward,31,France,0,16,13,20,728,512,34149,122,55,470,209,43,0,2011,2026
98067,Zander Clark,43,Heart of Midlothian FC,Goalkeeper,34,Scotland,28,18,5,24,777,410,36273,0,3,0,0,9,4,2008,2026
923708,Liam McFarlane,43,Heart of Midlothian FC,Goalkeeper,20,Scotland,0,6,8,17,315,141,12490,0,0,0,0,4,4,2021,2026
193861,Ryan Fulton,43,Heart of Midlothian FC,Goalkeeper,30,Scotland,30,16,9,29,599,212,18926,0,1,1,0,3,16,2011,2026
375434,Michael Steinwender,43,Heart of Midlothian FC,Centre-Back,25,Austria,15,12,9,19,424,268,19152,11,3,48,13,33,3,2015,2026
165334,Stuart Findlay,43,Heart of Midlothian FC,Centre-Back,30,Scotland,17,17,11,31,655,412,34501,27,7,148,43,41,35,2010,2026
