competition_id,n_players_with_match
SE1,497
SEC,466
FS,299
SE2,208
ECLQ,156
ELQ,134
U19Q,131
U21Q,120
SE3N,104
U17Q,101
EL,101
SE3S,90
CLQ,86
RESU,80
UCOL,72
RESE,64
19YL,62
JUSÖ,61
DKP,61
NOPO,61
S21S,59
DK1,54
DKRE,53
NO1,53
S21P,48
S21N,47
WMQ6,44
EMQ,40
17EU,39
JUNO,39
DK2,38
DKDL,37
DKAR,34
UNLB,33
DKRQ,31
DKMR,30
NO2,30
21EU,30
NLP,29
CL,29
NL1,25
POWM,23
POEM,23
FIWC,22
FI1,19
PLIC,19
FIS,18
NL2,18
EURO,18
DK2P,17
FIL,16
FRC,16
CIT,16
UNLA,16
CITP,16
DK2R,15
DKPL,15
UNLC,15
19EU,15
IJ1,15
AFCQ,14
FR1,14
TRP,14
JUSL,14
BE1,13
WMQ2,13
DKRL,13
IT1,13
CGB,13
GRP,13
GR1,13
F1CL,12
CCB,12
RTIP,12
FAC,12
GB2,12
TR1,12
GB21,12
NO42,11
ITJ7,11
TDV,11
IS1,11
PONL,11
DK3O,10
MLS1,10
NO46,10
NO44,10
DKDD,9
MNP3,9
AFCN,9
GBFL,9
FAYC,9
PON2,9
EJPL,9
IT2,9
ISP,9
ISL,9
OLYM,9
S21M,8
REET,8
POPU,8
MLSP,8
NLJB,8
ZYP1,8
CPO1,8
FR2,8
NLBV,8
21PL,8
UNPO,8
FI2,8
F1CC,8
DK3V,7
NO45,7
NO31,7
GB1,7
BE2,7
DFB,7
L2,7
IS1P,7
FI3C,6
PL1,6
20WC,6
NO32,6
ITJE,6
BULP,6
CDR,6
SFA,6
SC1,6
SCPM,6
CAFC,6
NLBE,6
S1PO,6
USMX,6
NO41,6
FINJ,5
F1CE,5
KRC,5
KR1,5
FI3B,5
SES,5
SER1,5
GB18,5
ofb,5
UNG1,5
BU1,5
ES2,5
SCP,5
23AC,5
NLSC,5
GHPL,5
ACL,5
POGR,5
GB3,5
20AC,5
A2,5
CCL,5
AJ3,4
WMQ1,4
FARO,4
BTCU,4
FAPO,4
FAR2,4
FI3A,4
FJE,4
ARCP,4
ZYPM,4
FRL,4
SERP,4
POCC,4
RU1,4
ES1,4
ITJF,4
ITJ4,4
NLBB,4
17WC,4
NLAJ,4
TR2,4
17AC,4
PO1,4
POPO,4
POFI,4
NLBA,4
IT18,4
NCD1,4
PL2,4
USL,3
USSP,3
181F,3
181S,3
SLP,3
SL1,3
SER2,3
A1,3
BU2,3
UNGP,3
BUEL,3
RUP,3
MNPP,3
L1,3
SA1,3
UAE1,3
211F,3
CHAN,3
OQPO,3
NLAP,3
IT3B,3
NO43,3
CN2A,3
FR3,3
PT23,3
UNLD,3
ISLS,3
POSB,3
CAPL,3
CDN1,3
CAN,3
EGY1,3
EGYP,3
POUS,3
C3HF,3
KLUB,3
BJ3,2
ACQU,2
FASC,2
EJPD,2
C3NO,2
BRA4,2
FRCH,2
SB19,2
SLO1,2
SB17,2
SLAR,2
18GB,2
SR1R,2
BULS,2
NOSC,2
RU2,2
ITJP,2
JAP1,2
SCC,2
C1,2
RLB3,2
AFAC,2
POBE,2
POCP,2
E3FD,2
212S,2
211S,2
NLVB,2
SAKC,2
BOS1,2
ES3E,2
BIHP,2
DFBJ,2
AJ,2
S2PA,2
GRS2,2
NLAE,2
C3BR,2
FRR1,2
KCUP,2
KR2,2
BPO4,2
NLJV,2
CHFA,2
RKPO,2
C3OC,2
NLN6,2
CNAT,2
SCPA,2
CN2C,2
CYSC,2
P23Q,2
ITJ5,2
N3P1,2
NO2R,2
UAEP,2
NZL1,2
E3PL,2
F19F,2
YKAB,2
CAFS,2
ESCU,2
EGLC,2
ESTS,2
EST2,2
ESTP,2
EST3,2
EST1,2
P23C,2
E3G2,2
IT4B,2
PL2L,2
A23Q,1
SAC1,1
PLSC,1
PL32,1
EBEL,1
FI3N,1
BCP1,1
BCPF,1
UEQ,1
BRRS,1
UKRP,1
RCBR,1
UKR1,1
BRC,1
BRA2,1
BRC2,1
BRA1,1
BRSC,1
BRga,1
SR1C,1
SKC,1
ATRO,1
AA17,1
TRS,1
E3G1,1
E4G1,1
ES1P,1
AZ1,1
ASPK,1
GCQU,1
CNNF,1
WMQ3,1
CNLA,1
GOCU,1
JEMP,1
JAPC,1
BASU,1
POT2,1
ZYPA,1
AGUC,1
BE3V,1
ESJP,1
C3VL,1
BEL3,1
ES3A,1
ES3B,1
CEF1,1
SSC,1
SC5L,1
E3FA,1
ES2P,1
19D5,1
19LA,1
AJ2,1
BJ2,1
19D8,1
IT3P,1
GR20,1
NLEV,1
510,1
NLBJ,1
N3P2,1
SL2,1
C3IF,1
C3GE,1
C3CM,1
BE2E,1
BESC,1
23AF,1
FARQ,1
UN2,1
PUSB,1
GRPL,1
BE2A,1
TRP2,1
CSLR,1
CSL,1
C220,1
C20P,1
SPjr,1
CB20,1
RSK2,1
NLBP,1
IJ2B,1
ITPO,1
IS2,1
CN2B,1
DKDA,1
SCI,1
FIKP,1
FI3,1
GBQ1,1
GBR,1
GBKN,1
SCIJ,1
UASC,1
UALC,1
ACLE,1
BAPO,1
AUS1,1
AUSF,1
NZNL,1
NZP1,1
NCL1,1
OFCN,1
WMQ5,1
E4G3,1
ES3D,1
NPFL,1
KP3B,1
FIYK,1
USC3,1
CAMC,1
IRPO,1
IR1,1
CLO,1
SC1P,1
ITJ2,1
YKCP,1
FP3A,1
E21P,1
NOAP,1
SAPO,1
BPP,1
OBLG,1
SFAR,1
NEDC,1
TELK,1
SFA1,1
CN2D,1
F19B,1
FRYC,1
RSKA,1
RSK1,1
RSKM,1
J2J3,1
SEN1,1
FIC1,1
EGCP,1
MARP,1
MAR1,1
TUSC,1
TUN1,1
AFOL,1
TUPL,1
TUNP,1
TUNM,1
L3,1
A1R,1
ITJ8,1
F19D,1
EE19,1
ESTR,1
ES17,1
ELMP,1
ELME,1
F19A,1
E4G5,1
RO1C,1
ROPC,1
ROCJ,1
ROMS,1
ROMP,1
RO1,1
NLC,1
SA2L,1
NZLP,1
OCL,1
IT4P,1
ITC4,1
CILP,1
CYP2,1
SU20,1
YKAU,1
ATRW,1
JGD2,1
P3As,1
PT3A,1
ISRF,1
ISR1,1
IRLP,1
ISPO,1
RLN4,1
PL33,1
SWEP,1
BAPL,1
