competition_id,n_players_with_match
SER1,809
SERP,691
SER2,455
SR1C,441
FS,429
SB19,420
SR1R,404
ECLQ,319
SB17,289
ELQ,278
CLQ,194
PVCR,185
U19Q,185
PVRR,158
RSER,152
U17Q,143
U21Q,142
EL,138
19YL,114
UCOL,95
CL,82
WMQ6,68
BIHP,59
BOS1,58
19EU,53
EMQ,51
17EU,50
ZYP1,37
FRC,35
CCB,35
SL1,34
UNG1,32
UNGP,32
UNLC,31
CPO1,31
RUP,31
KAS1,30
UNLB,29
GR1,29
TRP,29
POPO,28
FIWC,28
RU1,28
TDV,28
GRP,28
SLP,28
MNE1,28
PO1,27
BE1,27
AFCQ,26
PL1,25
21EU,25
WMQ2,25
SLO1,25
FR2,24
KAZP,24
TR1,24
CDR,23
POPU,22
ISR1,22
SKC,22
UNLA,21
POEM,21
MNEC,21
ISPO,21
UNPO,20
POCP,20
TR2,20
BH2S,19
PO2,19
IT1,19
FAC,19
MAZ1,18
ofb,18
ES2,18
CGB,18
RU2,17
WER1,17
WRPO,17
BU1,17
ZYPA,17
ZYPM,16
DFB,16
KRC,16
A1,16
CIT,16
FR3,16
SEC,16
EURO,16
MLSP,15
L1,15
CHAN,15
BI19,15
KR1,14
S1PO,14
NLP,14
TS1,14
FR1,14
FRL,14
BULP,14
ES1,14
FR4B,13
SCC,13
LET1,13
UZ1,13
PLIC,13
GB1,13
AFCN,13
CITP,13
BE2,13
UAEP,12
CHFA,12
KOBU,12
SE1,12
GB2,12
C1,12
PT23,12
NL1,12
POBE,12
SAKC,11
RUSR,11
A2,11
UAE1,11
LI1,11
ISRF,11
GBFL,11
MLS1,10
CYSC,10
SA1,10
JEMP,10
ISRA,10
PL2,10
TSP,10
CSL,10
BRC,10
LTVP,10
GB21,10
FR4A,9
AFCL,9
POWM,9
L2,9
JAP1,9
JAPC,9
20WC,9
BI17,9
UALC,9
LETP,9
NL2,9
IT2,9
MALC,9
CAFC,9
BRA2,9
IJ1,9
MNP3,8
RO1,8
ROMP,8
NO1,8
MAL1,8
SK2,8
BOS2,8
BRA1,8
CS,8
UEQ,8
MNE2,8
RUSS,8
21PL,8
ARM1,8
FRYC,7
DFBJ,7
UN2,7
A1EL,7
POGR,7
NLJB,7
GRS2,7
NOPO,7
ACL,7
GHPL,7
DKP,7
CLI,7
SLAR,7
UKR1,7
RKPO,7
ES1P,7
ARPO,7
ITJE,7
KR2,7
POUS,6
USMX,6
WRSP,6
RUJL,6
JGD2,6
C2,6
QFLC,6
ISR2,6
FI1,6
SE3N,6
SE2,6
FR4C,6
POT2,6
CB20,6
MNPP,6
MNP1,6
IRLP,6
PT3A,6
UKRP,6
SLMR,6
E3G2,6
GB3,6
MO1N,6
ASPK,6
AZ1,6
KASC,6
AJ3,5
OLYM,5
GE1N,5
JGD3,5
ATRO,5
LET2,5
ACL2,5
CLO,5
NLBE,5
CZ21,5
MALS,5
THLC,5
T1AR,5
BHSC,5
FR5G,5
ALB1,5
ALBP,5
23AC,5
IND1,5
INSC,5
BCP1,5
POCC,5
SL2,5
SC1,5
PTPR,5
FR4D,5
RSK1,5
BRA4,5
TRS,5
SWEP,5
UEFA,5
ITJP,5
P23Q,5
EJPL,5
ARSC,5
MWP1,5
ITJ1,5
CHPR,5
ESTP,5
EST1,5
17WC,4
RLB3,4
GEP1,4
USL,4
CNLA,4
NLBB,4
PON2,4
NLBV,4
NLJV,4
SA2L,4
THA1,4
TS2,4
CZ3C,4
BEL3,4
19S2,4
DK1,4
DKRE,4
2SAM,4
FIS,4
F1CL,4
SPjr,4
BRCR,4
BRCG,4
AJ1,4
KLUB,4
QEC1,4
ES3D,4
E3PL,4
ITJ7,4
FAYC,4
ARCP,4
L1PO,4
PONL,4
GB4,4
DK2,4
NLVB,4
IT3B,4
IJ2A,4
BRA3,4
BESC,4
ATRM,4
JAP2,4
SFA,4
E21P,4
POSB,4
ITC4,4
CILP,4
FRR1,4
FRCH,4
FR5B,4
GB18,4
RSK2,4
POSL,4
POG3,4
UNLD,4
IRN1,4
TRP2,4
PTRL,3
FR5E,3
L3,3
WMQ1,3
AFAC,3
DFL,3
GESC,3
CZ3M,3
NLAE,3
CNNF,3
S2PA,3
NLBP,3
NTD,3
BU2,3
UZ2L,3
THA2,3
GR2,3
19S1,3
UASC,3
ACLE,3
DKAR,3
BCPF,3
FR5A,3
CH17,3
CSSP,3
BRCF,3
BJ1,3
ACLQ,3
BRCM,3
BRPE,3
20AC,3
BUEL,3
P3Au,3
POSU,3
AJ,3
SCI,3
SWRP,3
ITJ2,3
ITJ4,3
ROMS,3
RO1C,3
RO1R,3
BAPO,3
P23C,3
MALM,3
BPO4,3
THFA,3
ESJP,3
NLC,3
211S,3
211F,3
IT3A,3
SCPA,3
212F,3
FARQ,3
TUN1,3
TUNP,3
CAN,3
LUXP,3
LUX1,3
JPL1,3
JPP1,3
IRQ1,3
MT1P,3
IJ2B,3
AA17,3
PL33,3
HRSC,2
AUS1,2
RLN4,2
PL34,2
NLEV,2
WMQ3,2
CR19,2
NO42,2
NMAP,2
GR2N,2
CZJ3,2
CZ19,2
GR20,2
F1CC,2
RESE,2
RESU,2
DKRQ,2
DKDL,2
DKPL,2
FIL,2
SKSC,2
USSP,2
L1RL,2
RL1,2
QU2L,2
AMCQ,2
COL1,2
COPO,2
COLP,2
OBLN,2
FI2,2
QSCP,2
QSL,2
CPSD,2
F19B,2
MAZR,2
GBEG,2
BRC2,2
NPFL,2
T1MR,2
181F,2
181S,2
A4W,2
ES3A,2
POLL,2
RORE,2
RO2B,2
R2AO,2
RO2,2
E4G5,2
PL2L,2
BJ3,2
PLSC,2
P3As,2
P232,2
C20P,2
USLC,2
PRTD,2
SCP,2
E4G1,2
NLBA,2
ITJ5,2
IT4P,2
IT3O,2
CPSB,2
F17M,2
BE2E,2
EJPD,2
ESTS,2
EST3,2
EST2,2
T1EL,2
CHUC,2
CH18,2
DK2P,2
COPA,2
IRNP,2
T191,2
L2PO,2
SKR2,2
FR5H,2
LUX2,2
MOP2,2
CCC1,2
CO17,2
IRQC,2
MT1F,2
MT1N,2
GOCU,2
GCQU,2
KREG,2
S21N,2
IS1,2
UKR2,2
SASS,2
USC,2
UI,2
MALA,2
CONC,1
WMQ5,1
FFAC,1
OF19,1
TRIN,1
NZL1,1
OC24,1
OFCN,1
AUSF,1
CIR3,1
NO45,1
OM1L,1
GEPO,1
GEO1,1
UZR,1
AFCC,1
FRR2,1
DKDD,1
DKMR,1
BRGO,1
SUIP,1
CHC1,1
SCBR,1
SAM7,1
brti,1
RECO,1
VZ1A,1
VZ1P,1
VZ1L,1
BVFP,1
OBLB,1
VLBA,1
AOLB,1
COSP,1
SAM2,1
COLO,1
C1P2,1
UNG2,1
SL19,1
OBLF,1
NPAM,1
ATRW,1
IT18,1
FI3B,1
QUC1,1
FR5J,1
FR5F,1
CPSP,1
KGPO,1
KG1L,1
RSKM,1
K18C,1
AG18,1
EAFC,1
GBKN,1
NLSC,1
NLAJ,1
RLN3,1
DK2R,1
GR2O,1
NLBJ,1
UKRM,1
CSLC,1
ES2P,1
OBLC,1
UG2W,1
CSLR,1
FLAP,1
UZP2,1
R3D1,1
R3D2,1
US3P,1
USC3,1
A4N,1
LTU2,1
2NPP,1
VFVA,1
SK19,1
E4G4,1
ES3P,1
212S,1
NLAP,1
ES3C,1
ES3B,1
F19C,1
F19F,1
IT4D,1
IT4B,1
F19D,1
CO2T,1
CO22,1
CO2P,1
ITJ3,1
ALBS,1
17AC,1
FR5I,1
ARM2,1
TDeA,1
WMQ4,1
PEDI,1
TDeC,1
PERF,1
PERC,1
