competition_id,n_players_with_match
NEDC,732
SFA1,680
TELK,614
SFAL,433
CAFC,272
SFAR,259
ACL,208
FS,184
WMQ2,128
AFCQ,117
AFCN,96
CHAN,78
20AC,49
20WC,47
KLUB,37
AFOL,35
23AC,28
OLYM,23
FIWC,22
POPO,18
17AC,16
17WC,11
PO2,11
POCP,11
SEC,8
PO1,8
MLSP,7
ELQ,6
PT23,6
FRC,6
SE1,5
19YL,5
CLQ,5
NOPO,5
CCB,5
NPFL,5
LETP,4
LET1,4
C3HF,4
FR2,4
CS,4
MLS1,4
BE2,4
GHPL,3
TRIN,3
SE2,3
C3GE,3
MALC,3
PLIC,3
ALG1,3
ALGP,3
FR3,3
U19Q,3
USL,3
NO2,3
CAFS,3
MNP3,3
NL2,3
BE2E,3
FR1,3
FRL,3
EL,3
BRA4,3
TRP,3
MAR1,3
NPPL,3
ISPO,3
EGYP,3
SE3S,2
RESU,2
DK1,2
DKP,2
DK2,2
ARM1,2
LI1,2
BU2,2
LTVP,2
LTSC,2
BULP,2
L1RL,2
DFBJ,2
GBFL,2
AJ2,2
ECLQ,2
P2RL,2
AGSC,2
LUXP,2
LUX1,2
PT3A,2
P23Q,2
P232,2
FFAC,2
NO44,2
NO32,2
RTIP,2
NO1,2
NO31,2
U21Q,2
CLI,2
NLAE,2
SPjr,2
BRNE,2
BRC,2
BRA2,2
CN2A,2
SFA,2
SC1,2
SCP,2
AZ1,2
ASPK,2
MARP,2
PON2,2
NZNL,2
212S,2
NLP,2
NZP1,2
MT1N,2
MT1P,2
ISR1,2
ISR2,2
POBE,2
BE1,2
FIS,2
FI2,2
IT4C,2
CZ21,2
EGY1,2
EGLC,2
BRNP,2
BEL3,2
SE3N,1
REET,1
S21S,1
RESE,1
E3PL,1
ES3A,1
ARPO,1
MAL2,1
BU1,1
GB21,1
21PL,1
AJ,1
ROMP,1
RO2,1
P23F,1
P23A,1
PL1,1
RUP,1
POPU,1
RU1,1
CNAT,1
GB3,1
CGB,1
FAC,1
GB4,1
TDV,1
P3As,1
IN1L,1
CHL2,1
CHLA,1
CH1C,1
CH2C,1
CHL1,1
WMQ5,1
NZLP,1
NZL1,1
POWM,1
OFCN,1
OC24,1
IR1,1
IRLC,1
ILIP,1
IRPO,1
UCOL,1
AA17,1
SU20,1
19EU,1
U17Q,1
USMX,1
NCD1,1
POUS,1
2SAM,1
WMQ4,1
MXCA,1
SC14,1
URUI,1
URUC,1
SAM2,1
CL2B,1
MXCC,1
MEX1,1
M20A,1
URU1,1
M20C,1
POME,1
MEXA,1
18EM,1
ARG1,1
AR1N,1
GR1,1
CDLP,1
CDCO,1
ARCA,1
ARLC,1
ARY3,1
GRP,1
RLW3,1
COLF,1
COPO,1
COLO,1
COL1,1
COLP,1
BRCR,1
BRCG,1
EJPD,1
BRA1,1
CB20,1
BRCB,1
CPO1,1
ZYP1,1
CN2B,1
FRYC,1
A1EL,1
A2,1
A1,1
ofb,1
SCPA,1
P3Au,1
CPSB,1
BRPR,1
BRSC,1
TR1,1
DKDL,1
C3VL,1
FRR1,1
DKMR,1
USLP,1
TR2,1
POSU,1
SCPM,1
IS2,1
ISL3,1
IS1,1
ISL,1
ISP,1
UGL1,1
NCL1,1
NSL1,1
AUS1,1
GRS2,1
CL,1
EMQ,1
PTPR,1
ISRA,1
OCL,1
NNLP,1
NNL1,1
FIC1,1
EJPL,1
ESJP,1
P23C,1
INSC,1
INIL,1
CZ19,1
LPL2,1
LPL,1
ITC4,1
DKRE,1
DK2R,1
LTU2,1
SKC,1
SK2P,1
A4W,1
SK2,1
SLO1,1
UKR1,1
UKRP,1
2NPP,1
VFVA,1
EGCP,1
MYSP,1
MYS1,1
UAEP,1
T1AR,1
TS1,1
CZ3C,1
TSP,1
CZJ3,1
T1EL,1
TS2,1
BRPB,1
BRPE,1
VPO1,1
VIE1,1
ASCC,1
USLC,1
USC3,1
LUCL,1
KR2,1
CPF1,1
BRRN,1
NLJB,1
211F,1
NLBP,1
212F,1
211S,1
NLEV,1
EGRP,1
SL1,1
POSL,1
CN2D,1
C3PL,1
