competition_id,n_players_with_match
SL1,524
SLP,412
FS,344
ECLQ,295
SL2,218
SL19,185
U19Q,169
ELQ,166
U17Q,139
CLQ,137
U21Q,112
POSL,108
19YL,108
UCOL,98
KR1,64
KRC,63
KR2,49
17EU,41
EL,39
CR19,37
WMQ6,36
CITP,31
CIT,29
FRC,29
TDV,27
BOS1,27
IT2,26
BIHP,26
EMQ,26
POPU,25
IJ1,24
PLIC,24
UNLC,24
CL,23
PL1,23
21EU,22
SER1,19
TRP,19
IT1,19
ofb,18
DFB,17
L2,17
FR2,17
SERP,16
ITJE,16
FR1,16
AFCQ,15
PL2,15
ITJ7,15
UNLB,14
A1,13
WMQ2,13
GRP,13
FAC,13
FR3,13
19EU,12
A2,12
GB21,12
NLP,12
POPO,12
BU1,12
UNG1,12
UNGP,12
SB19,11
CDR,11
IT3A,11
CILP,11
TR1,11
SLO1,11
TS1,11
HRSC,11
NL1,11
GB2,11
BULP,11
CN2B,11
POCP,11
PO2,11
FRYC,11
SER2,10
CN2D,10
ES2,10
SKC,10
TR2,10
POEM,10
CGB,10
PO1,10
UNPO,10
EURO,10
RU1,9
RUP,9
IJ2B,9
ITJF,9
GR1,9
JGD2,9
20WC,8
IT3P,8
L3,8
JGD3,8
GBFL,8
BE1,8
CCB,8
AFCN,7
POSB,7
IT3B,7
ITJ5,7
SCIJ,7
LI1,7
GRS2,7
SLAR,7
ALB1,7
21PL,7
UKR1,7
PT23,7
DFBJ,7
RO1,7
FRL,7
CN2C,7
FRR1,7
SB17,6
ES3C,6
KAS1,6
SR1C,6
IT3C,6
BRC,6
LTVP,6
CPO1,6
EST1,6
A1EL,6
ATRO,6
GB1,6
NL2,6
FAYC,6
ES1,6
17WC,6
SCC,6
L1,6
C3IF,6
ITC4,6
CN2A,5
NPFL,5
ACL,5
ISPO,5
ZYP1,5
BI17,5
TSP,5
S1PO,5
BE2,5
ESTP,5
CLI,5
ALBP,5
NLBE,5
SFA,5
BTCU,5
SU20,5
BHSC,5
KO1,5
KOP1,5
C3GE,5
RLB3,5
PTPR,5
BJ1,5
UKRP,5
F19B,5
RU2,4
CHAN,4
BH2S,4
IT3O,4
ITJ2,4
CAFC,4
BRA1,4
CHPR,4
ISR1,4
S2PA,4
GR20,4
EST2,4
PVRR,4
PL31,4
SR1R,4
IT18,4
IJ2A,4
NLJB,4
ITJ1,4
GB18,4
PL2L,4
BULS,4
ES2P,4
POGR,4
IND1,4
SC1,4
POBE,4
ROMP,4
MAZ1,4
BJ3,4
AJ3,4
C3NA,4
FIWC,4
AJ1,4
C1,4
ITJ4,4
IR1,4
F19D,4
BI19,4
F19A,4
ATRM,4
2RHR,3
RUSR,3
20AC,3
SCP,3
A4K,3
IT4O,3
MNE1,3
E3G2,3
ZYPM,3
MNEC,3
ITJP,3
TS2,3
LETP,3
LET1,3
WFVP,3
ITJ6,3
AFCL,3
PLZJ,3
SLMR,3
RLW3,3
T1MR,3
ES3A,3
RSK1,3
L2PO,3
SEC,3
A23Q,3
AU2C,3
23AF,3
UARP,3
C2,3
SCPA,3
PON2,3
OLW3,3
KR2R,3
AA17,3
PLSC,3
ES1P,3
BU2,3
RUJL,3
ARCP,3
SAKC,3
SA1,3
UN2,3
C3NO,3
IRPO,3
DKRE,3
DKDL,3
PL33,3
C3OC,3
F19F,3
IT4P,3
C3AR,3
C3VL,3
UEQ,3
211S,3
211F,3
ITJ9,3
NLVB,3
REKR,2
KAZP,2
CONC,2
A4B,2
IJSC,2
CB20,2
RS2f,2
BRRS,2
BRA2,2
BRA4,2
IT4C,2
SAPO,2
T1EL,2
CZ3M,2
ARM1,2
S2PO,2
BAPO,2
A1R,2
P23Q,2
RSER,2
CS,2
ALBS,2
ALP3,2
NLAE,2
SC2,2
GB3,2
E21P,2
ISRF,2
LTU2,2
CZ21,2
SANP,2
RKPO,2
SE3S,2
SKKO,2
AUS1,2
AUSF,2
FFAC,2
CH18,2
INSC,2
SSC,2
NO1,2
NO43,2
NOPO,2
SWEP,2
NLBB,2
MNP3,2
17AC,2
BRSC,2
ESTS,2
CHC2,2
BJ,2
BCP1,2
BRNP,2
ROMS,2
RO1C,2
SCIC,2
RLSW,2
WER1,2
RUSS,2
WRPO,2
SE2,2
RPLW,2
POSU,2
FRR2,2
C3PL,2
RLN4,2
AJ,2
P23C,2
C3BR,2
POCC,2
NLBA,2
ILIP,2
NMAP,2
ALGP,2
ALG1,2
DKP,2
EJPD,2
BPO4,2
GE1N,2
GESC,2
GEP1,2
PVCR,2
NLBP,2
IT4A,2
CZ3C,2
RLN3,2
PT3A,2
P3As,2
C3HF,2
NLJV,2
NLAJ,2
IT4E,2
DK3O,2
L1PO,2
GHPL,2
F19C,2
ITJ8,2
A4ST,2
KASC,1
NPPL,1
SPjr,1
BRVE,1
BRP3,1
COLP,1
C1P2,1
COLO,1
CO2T,1
CO22,1
COPO,1
COL1,1
C17P,1
C17C,1
C191,1
C7PO,1
C19C,1
C9PO,1
C9EP,1
CH17,1
IT4H,1
IRLP,1
ISRA,1
GRP2,1
BPP,1
VLBE,1
CYP2,1
OBLF,1
