player_id,player_name,current_team_id,current_team_name,current_position,current_age,nationality,shirt_number,career_seasons,career_clubs,career_competitions,career_matches_in_squad,career_matches_played,career_minutes,career_goals,career_assists,career_shots_total,career_shots_on_goal,career_yellow_cards,career_national_team_matches,first_season,last_season
1333780,Maj Becaj,433,FC Koper,Defensive Midfield,17,Slovenia,0,3,2,2,50,36,2700,3,0,0,0,5,0,2024,2026
217128,Matej Mavric,4507,ND Primorje,Goalkeeper,32,Slovenia,1,12,5,5,203,36,3238,0,0,0,0,6,0,2011,2026
1337655,Jean Carlo Troha,433,FC Koper,Goalkeeper,16,Slovenia,0,3,4,2,44,3,181,0,0,0,0,0,0,2024,2026
537273,Patrik Mohorovic,4507,ND Primorje,Goalkeeper,26,Croatia,30,9,6,7,244,77,6930,0,2,0,0,1,0,2017,2026
686717,Denis Pintol,4772,NK Olimpija Ljubljana,Goalkeeper,26,Slovenia,22,9,5,10,272,130,11476,0,0,0,0,5,1,2017,2026
690789,Tony Macan,4507,ND Primorje,Goalkeeper,25,Croatia,22,8,4,7,169,60,5400,0,1,0,0,3,0,2019,2026
166662,Macky Bagnack,4507,ND Primorje,Centre-Back,30,Cameroon,88,15,10,29,587,207,16673,6,3,13,3,59,4,2011,2025
842658,Gasper Petek,4507,ND Primorje,Centre-Back,23,Slovenia,13,6,3,4,167,139,11539,4,3,0,0,19,0,2020,2025
651844,Maj Fogec,26985,NK Bravo,Left-Back,24,Slovenia,95,8,4,7,195,97,7058,1,6,0,0,20,2,2019,2026
698547,Stefan Melentijevic,4507,ND Primorje,Centre-Back,22,Montenegro,5,8,8,14,278,134,10452,7,3,2,0,27,17,2019,2026
1078234,Daniel Bameyi,4507,ND Primorje,Centre-Back,20,Nigeria,2,4,2,8,98,40,3460,3,1,12,6,6,22,2021,2025
515479,Mirko Mutavcic,4507,ND Primorje,Right-Back,25,Slovenia,80,11,4,12,263,142,9393,5,4,0,0,18,35,2015,2025
935217,Mark Strajnar,6248,NK Domzale,Left-Back,22,Slovenia,0,7,6,9,192,107,6440,6,3,1,1,11,14,2020,2026
183850,Tilen Klemencic,4507,ND Primorje,Right-Back,30,Slovenia,4,17,4,9,596,399,32372,13,5,0,0,58,17,2010,2026
437334,Daniel Pavlev,4507,ND Primorje,Right-Back,25,Slovenia,72,11,7,20,407,180,13027,8,8,0,0,31,2,2015,2025
513640,Miha Dobnikar,31193,NK Brinje Grosuplje,Centre-Back,29,Slovenia,4,10,7,4,247,138,10085,3,7,0,0,26,0,2017,2026
874358,Alexander Stozinic,4507,ND Primorje,Centre-Back,26,Slovenia,0,6,6,4,126,81,6214,1,2,0,0,15,0,2020,2026
1371193,Tilen Colja,4507,ND Primorje,Centre-Back,18,Slovenia,0,3,2,5,54,17,968,1,0,0,0,2,3,2024,2026
944312,Sodiq Ismaila,4507,ND Primorje,Right-Back,22,Nigeria,0,8,2,11,267,93,7873,5,26,1,0,7,6,2016,2026
749003,Sandro Jovanovic,433,FC Koper,Attacking Midfield,24,Slovenia,0,8,4,9,232,180,12238,20,21,0,0,35,4,2019,2026
459937,Elian Demirovic,4507,ND Primorje,Central Midfield,25,Slovenia,8,12,12,24,366,196,9475,21,15,0,0,31,9,2015,2026
801080,Matic Zavnik,4507,ND Primorje,Attacking Midfield,26,Slovenia,10,7,2,6,192,174,12651,20,22,0,0,12,0,2020,2026
351775,Haris Dedic,4507,ND Primorje,Defensive Midfield,28,Slovenia,0,14,4,7,327,191,14801,4,5,0,0,46,18,2012,2026
527238,Nik Jermol,4507,ND Primorje,Defensive Midfield,26,Slovenia,21,11,4,7,258,183,11850,10,8,0,0,24,0,2016,2026
940170,Jon Ficko,26985,NK Bravo,Left Midfield,22,Slovenia,6,6,6,7,99,73,5755,4,0,0,0,22,0,2021,2026
672243,Niko Rak,4507,ND Primorje,Defensive Midfield,22,Croatia,32,7,3,10,259,107,5844,2,4,14,1,9,13,2018,2025
986895,Felipe Pará,4507,ND Primorje,Central Midfield,24,Brazil,0,6,7,12,174,73,3199,1,0,5,0,6,0,2019,2025
1535820,Nejc Prosen,4507,ND Primorje,Midfield,19,Slovenia,0,2,1,3,11,5,229,0,0,0,0,0,0,2025,2026
1160477,Dusan Ignjatovic,4507,ND Primorje,Attacking Midfield,22,Slovenia,0,3,3,4,94,70,2538,3,3,0,0,10,0,2023,2025
1171156,Leo Peranovic,4507,ND Primorje,Defensive Midfield,19,Slovenia,0,4,2,5,93,42,1572,7,0,0,0,3,0,2023,2026
1304672,Mile Parmac,4507,ND Primorje,Midfield,19,Croatia,11,4,4,4,80,15,642,2,0,0,0,1,0,2023,2026
1057529,Luca Santor,4507,ND Primorje,Central Midfield,19,Switzerland,77,4,4,12,120,72,4092,3,0,0,0,8,14,2022,2025
770068,Roger Murillo,4507,ND Primorje,Centre-Forward,24,Colombia,7,8,5,12,194,119,4924,20,5,22,9,7,0,2019,2026
537180,Haris Kadric,4507,ND Primorje,Centre-Forward,26,Slovenia,99,10,12,15,356,237,13370,50,18,27,11,26,9,2017,2026
708239,Zan Besir,4507,ND Primorje,Right Winger,25,Slovenia,17,8,7,7,230,172,10750,22,17,1,0,35,1,2019,2026
491093,Ishaq Kayode Rafiu,4507,ND Primorje,Right Winger,25,Nigeria,31,9,5,9,329,141,6861,22,10,1,0,9,1,2016,2025
862783,Edvin Suljanovic,4507,ND Primorje,Right Winger,23,Slovenia,0,5,5,7,176,104,5245,12,5,0,0,12,0,2021,2025
484487,Mark Gulic,4507,ND Primorje,Centre-Forward,28,Slovenia,9,11,5,9,286,202,8991,29,9,0,0,15,3,2013,2026
1009606,Jakob Raspet,4507,ND Primorje,Centre-Forward,18,Slovenia,0,6,3,6,111,62,3030,18,3,0,0,4,8,2021,2026
340428,Luka Stor,4507,ND Primorje,Centre-Forward,27,Slovenia,95,12,11,24,391,196,9586,27,13,26,15,8,11,2014,2026
952722,Faris Dzevahiric,710,NK Celje,Centre-Forward,18,Bosnia-Herzegovina,0,6,6,10,129,36,1979,21,0,0,0,0,5,2021,2026
1058490,Benjamin Maticic,26985,NK Bravo,Goalkeeper,19,Slovenia,22,5,3,8,173,48,4143,0,0,0,0,1,9,2022,2026
1381417,Filip Kodelja,4507,ND Primorje,Right Winger,16,Slovenia,0,3,3,6,45,25,1189,0,0,0,0,5,8,2024,2026
320871,Rok Vodisek,6248,NK Domzale,Goalkeeper,27,Slovenia,0,13,7,18,450,124,10886,0,0,0,0,7,39,2013,2025
798367,Konstantinos Tsogas,6248,NK Domzale,Goalkeeper,24,Greece,0,7,8,10,128,25,2250,0,0,0,0,3,0,2017,2026
912892,Rene Rantusa Lampreht,6248,NK Domzale,Centre-Back,24,Slovenia,0,6,3,9,196,146,11818,8,3,8,2,17,4,2021,2026
1440122,Leon Milovic,6248,NK Domzale,Goalkeeper,18,Slovenia,0,2,3,2,30,13,1170,0,0,0,0,2,0,2025,2026
822079,Nino Milic,6248,NK Domzale,Left-Back,22,Slovenia,0,7,4,14,212,114,8111,4,8,0,0,16,16,2020,2026
390849,Luka Kambic,9233,NK Nafta 1903,Right-Back,27,Slovenia,23,12,5,6,339,238,17482,23,7,0,0,27,5,2015,2026
981083,Rene Hrvatin,6248,NK Domzale,Right-Back,19,Slovenia,0,6,5,10,210,108,7181,10,6,4,1,8,33,2021,2026
1237801,Danylo Malov,4772,NK Olimpija Ljubljana,Left-Back,18,Ukraine,0,4,5,9,135,56,4239,0,0,1,0,3,12,2023,2026
810017,Abraham Nwankwo,6248,NK Domzale,Centre-Back,24,Nigeria,0,7,4,8,218,111,8452,4,3,18,5,30,0,2020,2026
529596,Alexandros Parras,6248,NK Domzale,Left-Back,27,Greece,0,12,6,9,362,139,9052,5,6,4,1,42,1,2015,2026
949842,Patrik Klancir,21460,NK Radomlje,Left-Back,21,Croatia,85,7,8,11,184,113,8107,3,12,0,0,15,4,2018,2026
591639,Niksa Vujcic,6248,NK Domzale,Centre-Back,27,Serbia,0,8,6,7,191,94,6444,0,0,0,0,18,0,2018,2025
1135645,Lukas Hempt,6248,NK Domzale,Centre-Back,20,Slovenia,0,5,3,7,124,53,4031,3,1,0,0,9,5,2022,2026
991752,Lev Bohinc,6248,NK Domzale,Centre-Back,19,Slovenia,0,6,4,7,153,102,8384,2,1,0,0,9,18,2021,2026
1235096,Victor Ehibe,433,FC Koper,Left-Back,19,Nigeria,35,2,4,4,58,27,2114,1,0,0,0,2,0,2023,2025
1427887,Alexandros Bouris,6248,NK Domzale,Centre-Back,19,Greece,0,2,3,5,23,1,26,0,0,0,0,0,0,2025,2026
996391,Marcel Lorber,6248,NK Domzale,Central Midfield,22,Slovenia,0,6,5,14,174,107,6883,4,5,2,1,19,16,2021,2026
287182,Denis Bosnjak,6248,NK Domzale,Defensive Midfield,29,Austria,0,14,11,17,436,311,21895,25,21,3,1,46,0,2012,2025
945683,Luka Lukanic,26985,NK Bravo,Defensive Midfield,21,Croatia,42,6,8,17,223,111,7022,12,4,12,3,16,14,2019,2025
987753,Edvin Krupic,4059,NS Mura,Central Midfield,21,Slovenia,14,6,5,9,173,98,4542,6,2,0,0,18,15,2021,2026
991758,Gal Kranjcic,6248,NK Domzale,Attacking Midfield,20,Slovenia,0,5,3,7,125,95,6225,11,2,0,0,5,17,2021,2026
1317245,Fallou Faye,26985,NK Bravo,Defensive Midfield,19,Senegal,5,3,5,6,83,42,3138,4,2,3,1,13,0,2024,2026
