competition_id,n_players_with_match
SLO1,525
SKC,478
FS,335
SLAR,303
SK2,288
SLMR,285
ECLQ,255
ELQ,196
SWEP,180
U19Q,157
U21Q,149
U17Q,137
SK19,135
SWRP,113
CLQ,110
TSP,104
TS1,97
19YL,87
UCOL,87
TS2,68
SK2P,63
EL,59
CZ3C,55
CL,46
T1AR,42
T1MR,41
WMQ6,39
T1EL,37
21EU,37
POPU,35
CZ21,34
EMQ,34
CZ3M,30
PL1,29
UNGP,29
CZ19,28
UNG1,27
UNLC,23
FLAP,23
PLIC,23
SKR2,21
17EU,21
EURO,21
19EU,19
UNLB,19
ofb,18
DFB,18
20WC,18
SLP,17
FAC,17
UN2,17
SL1,16
CCB,16
PL2,16
SU20,16
CZJ2,15
UNPO,15
CGB,15
GE1N,14
BE1,14
CITP,14
AA17,14
POEM,14
IJ1,14
EST1,13
ESTP,13
A2,13
GB21,13
KRC,13
UKRP,12
UKR1,12
SCP,12
L2,12
GEP1,12
GR1,12
SC1,11
17WC,11
AFCQ,11
FAYC,11
GRP,11
GB2,11
DFBJ,10
SER1,10
WMQ2,10
GBFL,10
KR1,10
LET1,9
TDV,9
SFA,9
DKP,9
SERP,9
PO1,9
NLP,9
21PL,9
A1,9
SL2,9
L3,8
SKSC,8
GE2P,8
GESC,8
PL2L,8
GB1,8
NL2,8
SB19,8
ES2,8
BOS1,8
CDR,8
KR2,8
CZJ3,7
LETP,7
CPO1,7
DK1,7
IT1,7
ZYP1,7
RLW3,7
SER2,7
ESTS,7
BE2,7
PL33,7
ROMP,7
NL1,7
GB18,7
AJ3,7
BJ3,7
SB17,7
JGD2,7
MLS1,7
BIHP,7
NO1,7
RLB3,7
CIT,6
ZYPA,6
DK2,6
IT2,6
L1,6
CSSP,6
SEC,6
ALBP,6
POBE,6
POPO,6
IJ2A,6
RO1,6
WFVP,6
POWM,6
ATRM,6
POUS,6
MAZ1,6
ITJ5,6
EST3,6
NOPO,6
CZSC,6
BU1,6
UA3L,5
BTCU,5
UNLD,5
SKRP,5
PL34,5
RUP,5
AJ2,5
PLSC,5
SR1R,5
ALB1,5
EST2,5
FIWC,5
RLSW,5
PO2,5
GRS2,5
FI1,5
RO1R,5
GR20,5
SR1C,5
POGR,5
A1EL,5
FRC,5
FR1,5
MLSP,5
USMX,5
DKRE,5
ARM1,5
E3G2,5
ITJ7,5
TR2,5
ITJF,5
ITJ4,5
MNEC,5
MNE1,5
JGD3,5
CAFC,5
NPFL,5
BULP,5
ATRO,5
UKR2,4
LET2,4
DKRQ,4
DKAR,4
RO2,4
LI1,4
LTVP,4
RU1,4
KAZP,4
KAS1,4
CHAN,4
PT23,4
POCP,4
SPjr,4
BRA3,4
GB4,4
GB3,4
FIS,4
BAPO,4
BI19,4
E21P,4
S1PO,4
C220,4
ISPO,4
ISR1,4
ES3D,4
A23Q,4
ARPO,4
SCC,4
TR1,4
TRP,4
E3PL,4
20AC,4
CEF1,4
ITJE,4
E4G1,4
ES17,4
NLVB,4
NLAJ,4
NLJB,4
212F,4
CNAT,4
MNE2,4
UKRA,3
SCPA,3
MWP1,3
MO1N,3
RU2,3
BVP,3
BJ2,3
A4B,3
RSER,3
SE3N,3
RLN4,3
PTPR,3
BRA2,3
RSK1,3
S2PA,3
CB20,3
FR5C,3
FR4D,3
PLZJ,3
BI17,3
18GB,3
AJ,3
PN1C,3
WMQ3,3
PNF1,3
CNLA,3
CNNF,3
GOCU,3
GHPL,3
FR4B,3
FR2,3
USL,3
BEL3,3
SCPM,3
C1,3
ES2P,3
USSP,3
CCL,3
AFCN,3
A4N,3
NMAP,3
ACQU,3
WMQ1,3
SE1,3
IT18,3
ITJ9,3
CLPI,3
EE19,3
FRYC,3
CR19,3
GEO2,3
NLBJ,3
RLN3,3
19S2,3
19S1,3
BJ1,3
ASPK,3
AZ1,3
UEQ,3
FR4C,3
PONL,3
EJPL,3
PON2,3
NLJV,3
NTD,3
CO17,3
NLBV,3
UI,3
MAL1,3
MALC,3
SC2,3
SSC,3
SAPO,3
ITJ1,2
MOP2,2
VFVA,2
BPP,2
P232,2
P23C,2
BRPR,2
BRC,2
AUS1,2
AUSF,2
F1CC,2
OLRP,2
LUX1,2
BVFP,2
RRLS,2
JD21,2
COPA,2
PN1F,2
COLE,2
PN1A,2
PL31,2
ZYPM,2
A1R,2
SA2L,2
ISRA,2
23AF,2
ARM2,2
CHPR,2
POSU,2
POSB,2
MNP3,2
POSL,2
BRA4,2
DKMR,2
SAKC,2
POT2,2
AFAC,2
ES1,2
E3FD,2
ES3B,2
E4G2,2
SCIJ,2
ITJP,2
C2,2
NP34,2
E4G4,2
E3PP,2
E4G5,2
ACL,2
17AC,2
ELME,2
FRL,2
FR5G,2
211S,2
ES3A,2
A4ST,2
BE3V,2
DK2P,2
211F,2
SE3S,2
NO46,2
RUSR,2
ISRF,2
ALP3,2
E3G1,2
SE2,2
BESC,2
ESJP,2
NLBE,2
GEO1,2
GEPO,2
IJ2B,2
POCC,2
GBRN,2
UEFA,2
RO1C,2
ROPC,2
BE2E,2
MNP1,2
PL32,2
BE2A,2
LTU2,2
NLS6,2
NLAE,2
AJ1,2
OLB2,2
RLP,2
OBLC,2
HLER,2
UARP,1
DKRL,1
R2AO,1
NRPO,1
L1PO,1
REET,1
FR5H,1
BEY1,1
BEYP,1
RSKA,1
BRPA,1
BRSC,1
KLUB,1
BCP1,1
R2AP,1
FIL,1
SEN1,1
BAPL,1
P23Q,1
OBLB,1
SWP,1
JGD,1
A4O,1
AJ17,1
UKRL,1
UKRM,1
CA16,1
CLI,1
VZ1P,1
CENC,1
USLP,1
VZ1L,1
JAPC,1
JAP2,1
JEMP,1
AG18,1
JAP1,1
KASC,1
ARSC,1
OLW3,1
ES1P,1
C20P,1
VLBA,1
RORE,1
DKDL,1
SCJ2,1
BE3A,1
BE3B,1
ARCP,1
FARQ,1
W23C,1
ITJ8,1
CILP,1
CHC2,1
OBLN,1
E4G3,1
ES3E,1
ARY3,1
CPP2,1
CPP1,1
CLPF,1
ESTR,1
PVCR,1
FR5L,1
FR5B,1
E17S,1
IRPC,1
IR1,1
IRLC,1
EE17,1
IRPO,1
181F,1
OBLL,1
LLHO,1
SHPO,1
181S,1
ES3C,1
BHSC,1
QFLC,1
KAJ1,1
DK2R,1
DKDD,1
212S,1
NLBP,1
BLPW,1
RESU,1
JUSÖ,1
GBRS,1
GBEG,1
GBR,1
A2RE,1
MAR1,1
A4T,1
ELTI,1
BUEL,1
F19B,1
FR5J,1
NO43,1
CYSC,1
SL19,1
KOP1,1
KO1,1
AL21,1
E3FA,1
NLBA,1
PRTD,1
RESE,1
NO31,1
BPO4,1
NO2,1
NO32,1
RTIP,1
NLSC,1
CSL,1
HRSC,1
CHFA,1
GBCS,1
QUC1,1
AFCL,1
ACLQ,1
QSL,1
QSCP,1
QSJ1,1
QEC1,1
FFAC,1
RUSS,1
RL2,1
ITJ6,1
ROMS,1
2NPP,1
F1CL,1
AR18,1
FRCH,1
K4L,1
RKPO,1
K18C,1
OLYM,1
ALBS,1
POCO,1
POME,1
M2L2,1
POMX,1
MXCC,1
MEXA,1
MEX1,1
MXBA,1
CPMX,1
M20A,1
MEX2,1
MEXB,1
M20C,1
M2L1,1
MXBC,1
G19C,1
MT1P,1
FR5F,1
FR5I,1
FR5D,1
FR3,1
SC3,1
SC4,1
PLJF,1
SC1P,1
PLJZ,1
ATRW,1
A4S,1
POFD,1
A4K,1
BU2,1
BULS,1
BH2S,1
NLC,1
ALB2,1
CYP2,1
NLBB,1
CNLB,1
GCQU,1
AF19,1
IN1L,1
AFSE,1
OQPO,1
SEA1,1
AU2C,1
INP2,1
SPAU,1
INPP,1
MALM,1
ARG1,1
CS,1
WRPO,1
WER1,1
POG2,1
A4W,1
BRVE,1
BRCE,1
BCE1,1
BRCB,1
BRPE,1
BRNE,1
A4V,1
NDSP,1
BRNF,1
TRIN,1
AFQU,1
EAFC,1
UAEP,1
UAE1,1
UALC,1
SA1,1
T191,1
MALS,1
T211,1
MALD,1
3CZP,1
IND1,1
ISR2,1
LTSC,1
DKPL,1
LPB1,1
BJ,1
LUXP,1
OBLF,1
VLHS,1
HEPO,1
FI2,1
FIYK,1
FI3P,1
F4LA,1
TFVP,1
C9PO,1
CHP2,1
C9PL,1
CH18,1
C191,1
C18E,1
C9EP,1
C19C,1
CHC1,1
SUIC,1
C20Q,1
BBPO,1
