competition_id,n_players_with_match
TRP,851
TR1,819
FS,657
TR2,346
ELQ,330
EL,323
ECLQ,294
T191,282
U21Q,278
U19Q,255
CLQ,252
TRS,231
CL,218
UCOL,211
U17Q,187
POT2,161
EMQ,150
WMQ6,147
TR3B,139
19YL,138
TR3A,113
FIWC,103
EURO,103
FRC,101
UNLB,100
FR1,89
FAC,89
POWM,87
CGB,83
CIT,82
WMQ2,78
AFCQ,78
TRP2,77
IT1,76
TR3P,76
UNLC,76
T19P,76
AFCN,72
TR4A,69
GB1,69
TR4C,68
DFB,65
21EU,65
TR4P,64
19EU,64
POPO,63
PO1,62
BE1,60
FR2,60
SU20,59
CCB,59
TR4B,57
UNPO,57
UNLA,56
17EU,54
L1,53
POCP,53
GB2,51
FRL,49
T211,47
ES1,46
NLP,45
CDR,45
CHAN,45
NL1,44
POEM,44
PLIC,43
17WC,41
20WC,40
PO2,40
L2,39
GB21,38
GR1,35
GRP,34
IT2,34
PL1,33
TR4D,33
DFBJ,33
POPU,32
BRC,32
TDV,30
CLI,28
POBE,28
NL2,27
CS,27
AJ2,26
KLUB,26
SA1,26
BRA1,26
EJPL,25
C1,25
AA17,24
BJ2,24
POGR,23
SAKC,23
GBFL,22
RU1,22
SCC,22
CITP,22
FRYC,21
OLYM,21
NLJB,20
NLAJ,20
RUP,20
RLW3,19
L3,19
POSB,19
SER1,19
BJ,19
21PL,19
FAYC,18
KR1,18
KRC,18
DKP,18
DK1,18
ROMP,18
RO1,18
NLBE,17
AFCL,17
FRCH,17
POSU,17
BE2,17
PLSC,17
ofb,17
SC1,16
L1PO,16
WMQ4,16
SERP,16
CN2A,16
UNFI,16
A1,16
NLJV,15
SFA,15
GB18,15
CAFC,15
AJ3,15
USC,15
GBCS,15
CN2D,15
PONL,14
DKRE,14
IJ1,14
ITJE,14
BRCG,14
AJ,14
BRA2,14
CN2B,14
CN2C,14
NLVB,13
WMQ3,13
GOCU,13
GB3,13
C3BR,13
ISR1,13
ISPO,13
CILP,13
PON2,13
COPA,13
BJ3,13
NOPO,13
SCI,13
NLBV,12
NLSC,12
CNLA,12
UNG1,12
CONC,12
SEC,12
SUC,12
NO1,12
POCC,12
FRR1,12
SCP,12
RO1C,12
C3GE,11
SE1,11
SCPM,11
SLP,11
SL1,11
UNGP,11
DKDL,11
FR3,11
MLS1,11
20AC,11
T19Y,11
RLSW,10
BESC,10
C3VL,10
DKAR,10
AJ1,10
ES2,10
ISRF,10
ZYP1,10
ALB1,10
ALBP,10
PT23,10
A2,10
JGD2,10
C3NA,10
BRNE,10
BOS1,10
BRCR,10
BU1,10
BULP,10
NLAE,9
ACLE,9
CNNF,9
WMQ1,9
18GB,9
RLB3,9
RLN3,9
C3NO,9
TS1,9
TSP,9
T1MR,9
ITJ1,9
C3CM,9
CPO1,9
CHFA,9
CSL,9
NLBJ,9
DKMR,9
DKRQ,9
BCP1,9
23AC,9
UKR1,9
UKRP,9
MLSP,9
SR1C,9
ACL,9
ROMS,9
A23Q,8
AFAC,8
KR2,8
23AF,8
RUSS,8
BJ1,8
GB4,8
2SAM,8
IT3P,8
ESJP,8
USMX,8
PL31,8
KO1,8
BRCF,8
T192,8
C3HF,8
JGD3,8
BIHP,8
BRA3,8
IT3C,8
OLW3,7
GCQU,7
ACLQ,7
NRPO,7
SKC,7
SLO1,7
IT3A,7
IT3B,7
CCL,7
CA16,7
GE1N,7
S1PO,7
DFL,7
ATRO,7
ARCP,7
BRRS,7
SPjr,7
C3IF,7
NLBA,6
17AC,6
CHPR,6
DK2,6
PL2,6
TS2,6
RLN4,6
SE3N,6
IRLP,6
MEX1,6
MEXA,6
POMX,6
ITJ3,6
KOP1,6
BRC2,6
OBLB,6
COPO,6
COL1,6
COLP,6
DKPL,6
ITJ4,6
A1EL,6
PLJF,6
RS2f,6
C3AR,6
F19B,6
C3BF,6
CB20,6
ROCL,6
RO1R,6
QSL,5
QSCP,5
CAFA,5
POG3,5
PTRL,5
ISRA,5
CH18,5
CHUC,5
RECO,5
SL2,5
SA2L,5
GESC,5
GEO2,5
GEP1,5
NO45,5
CYSC,5
ZYPM,5
ALBS,5
GR20,5
BRPR,5
UNLD,5
WFVP,5
SCIJ,5
COLF,5
BCPF,5
ITJ2,5
HRSC,5
BRCB,5
BRNF,5
SASS,5
UKRS,5
UKRM,5
TUNP,5
TUN1,5
GBKN,5
F19A,5
FRR2,5
DKRL,5
BULS,5
NO2,5
NLBB,4
WFPO,4
QEC1,4
IRNP,4
IRN1,4
RUJL,4
CNAT,4
E21P,4
GRPL,4
JUNO,4
ITJP,4
C2,4
BE2A,4
MXCA,4
MXCC,4
POME,4
PUSB,4
SCBR,4
CLIY,4
BLPW,4
NLEV,4
ITJF,4
POT1,4
PLJW,4
BRga,4
SAM7,4
POUS,4
BPO4,4
UAE1,4
C20P,4
PL2L,4
BRA4,4
BUEL,4
BVP,4
AFCC,4
NO32,4
SLAR,4
GBQ2,4
CAFS,4
BU2,4
ROPC,4
PL32,4
IJ2A,4
RO2,4
NTD,3
CNLB,3
IRSC,3
A920,3
MRPO,3
P2RL,3
W23C,3
ACQU,3
ACL2,3
RU2,3
NP34,3
ES3D,3
NLAP,3
AR3L,3
POT3,3
PLZJ,3
S21N,3
ISR2,3
CZ21,3
CZJ3,3
CHC1,3
C18E,3
SEN1,3
CH1C,3
CHLA,3
CHIÜ,3
CHL1,3
LCLC,3
CHLP,3
SE2,3
GBR,3
GBQ1,3
NO42,3
19S2,3
19S1,3
ES2P,3
POLL,3
GR2,3
BRCM,3
COLO,3
UN2,3
RL3,3
19LA,3
CIR1,3
17P2,3
SK2,3
C3PL,3
RSFF,3
F19F,3
L2PO,3
RSK2,3
SER2,3
SR1R,3
PTPR,3
PT3A,3
NPFL,3
NO41,3
RO2B,3
19D7,3
UZ1,3
KOBU,3
RCBR,3
BRSC,3
SKKO,3
BI17,3
BI19,3
MOSC,3
RSER,3
RTIP,3
181F,3
GHPL,3
UAEP,3
UALC,3
A168,2
OLNI,2
AG18,2
QUC1,2
DK2P,2
MPPO,2
NLC,2
ARG1,2
CDLP,2
ARCA,2
ARGC,2
AR1N,2
SCAG,2
CDCA,2
ASPK,2
AZ1,2
RESU,2
CZ3C,2
CZ19,2
CH17,2
CHC3,2
CHPL,2
CAMC,2
CSUC,2
SC14,2
CWCQ,2
MXSC,2
SURU,2
CLPD,2
CPMX,2
M20C,2
S21S,2
CSLR,2
ITPO,2
ES3A,2
RLGR,2
RL2,2
COSP,2
F19C,2
17LA,2
SUIC,2
17P1,2
C1P1,2
C220,2
MNP3,2
CO22,2
CO2T,2
PR1A,2
PR1C,2
C2P2,2
OLCC,2
KREG,2
RSKM,2
RKPO,2
RSKA,2
K18C,2
RSK1,2
EAFC,2
EL1A,2
ECUP,2
EL1S,2
LPPL,2
SB19,2
SB17,2
PVCR,2
EGYP,2
EGY1,2
EBEL,2
P3Au,2
UKR2,2
UA3L,2
EJPD,2
OBLG,2
ALPW,2
NO46,2
ROCJ,2
RO19,2
UZSC,2
GRS2,2
BRMA,2
BRNP,2
BRPE,2
BRGO,2
RRLB,2
ATRM,2
FIL,2
IRPO,2
ISP,2
IS1,2
SCPA,2
212S,2
IT3O,2
P23Q,2
SSC,2
JEMP,2
JAP1,2
TUNM,2
ES3C,2
ALP3,2
NO31,2
TUPL,2
ITJ5,2
BBPO,2
BPP,2
R2BP,2
ES3B,2
ES3P,2
RL1,2
MO1N,2
MWP1,2
REKR,2
GE2P,2
MAR1,2
ES1P,2
R2AP,2
511,1
SK2P,1
RPLZ,1
RPLU,1
RPLW,1
ALPL,1
ARY3,1
ARLC,1
MARG,1
CDCO,1
LLM1,1
SUIP,1
BE2E,1
IT4D,1
ESTP,1
NLBF,1
EST1,1
CLLC,1
CHAF,1
WERM,1
WRPO,1
WER1,1
WRSP,1
SCIN,1
ACO1,1
A1P1,1
TDCS,1
JUSÖ,1
S21P,1
GBRP,1
MAZ1,1
19D2,1
POCO,1
NLN6,1
LETP,1
LET1,1
19D9,1
17DH,1
AFT,1
M2L2,1
M20A,1
M2L1,1
CSLC,1
PR1P,1
CENC,1
PN1F,1
PN1A,1
PN1C,1
USL,1
CZJ2,1
EGLC,1
E3G2,1
VLW1,1
FARQ,1
3PTP,1
UKRA,1
UKRL,1
NPPL,1
AFOL,1
IT4P,1
IT4B,1
ITC4,1
212F,1
DK2R,1
BOS2,1
TFVP,1
CPSP,1
CPSB,1
CPSA,1
IJ2B,1
17DG,1
CF20,1
S2PO,1
19LB,1
BRRN,1
USSP,1
CAN,1
OLB2,1
BRCE,1
WAFF,1
AU2C,1
JO1L,1
FI2,1
YKCP,1
IR2,1
ISL,1
ISLS,1
IS2,1
IS1P,1
POG2,1
ACFF,1
LNBR,1
OBLN,1
KO1R,1
HEPO,1
FI1,1
FIS,1
FI3B,1
FJE,1
POFI,1
KCUP,1
FINJ,1
F1CE,1
F1CC,1
CNLQ,1
NCD1,1
GCQ5,1
T1EL,1
FLAP,1
T1AR,1
RESE,1
MOL1,1
CHC2,1
CR2,1
IR1,1
JAPC,1
SWEP,1
UEQ,1
BE21,1
FIYO,1
FIC1,1
181S,1
GR2O,1
GR2S,1
TUSC,1
EC1N,1
ECPL,1
ECSE,1
ECPE,1
SAM2,1
ECSC,1
ELTI,1
ELTA,1
A4T,1
SES,1
PLJZ,1
AJ17,1
OL8,1
IT18,1
ITJ7,1
SAUP,1
IT4A,1
OLWE,1
SC4,1
SC1P,1
SC2,1
SC3,1
SCJ2,1
ARM1,1
ARSC,1
ARPO,1
SLMR,1
ALB2,1
AL21,1
NDSP,1
OLMR,1
510,1
SL19,1
BHSC,1
BJ4R,1
UASC,1
RLP,1
JPP1,1
JPL1,1
T4PL,1
OBLL,1
M23A,1
AGUC,1
A198,1
IRQC,1
IRQ1,1
OLRP,1
BCP2,1
BRAL,1
POSL,1
MOP2,1
GEO1,1
GEOM,1
GEPO,1
MEC1,1
VLMV,1
AJR1,1
R2AO,1
CHSC,1
MALD,1
MAL1,1
AUSF,1
MALC,1
AUS1,1
KASC,1
KAS1,1
KAZP,1
P23C,1
MARP,1
ESCU,1
