competition_id,n_players_with_match
TS1,705
TSP,627
FS,501
TS2,477
T1MR,381
CZ3C,367
T1AR,362
T1EL,310
CZ19,296
ECLQ,293
ELQ,278
FLAP,244
U21Q,243
U19Q,228
CZ3M,225
UCOL,217
EL,207
CZ21,182
U17Q,175
CLQ,174
SU20,165
21EU,118
19YL,112
CL,112
SKC,98
SLO1,95
WMQ6,88
CZJ2,81
EMQ,69
UNLB,67
SK2,61
SLAR,58
EURO,56
CZJ3,55
SLMR,53
PLIC,51
POWM,48
19EU,45
PL1,43
17EU,43
SWEP,43
POPU,36
UNLA,32
FIWC,29
NLP,25
CZSC,24
TDV,24
WMQ2,23
SWRP,22
NL1,22
DFB,22
3CZP,21
17WC,21
UNLC,20
20WC,20
UNPO,20
ofb,20
CCB,20
AFCQ,19
NL2,19
FRC,18
LET1,18
CSSP,18
SK19,18
BE1,17
CIT,17
IT1,17
SL1,16
LETP,16
FR1,16
UKR1,15
PL2,15
FAC,15
SERP,15
KRC,15
UKRP,14
SLP,14
A2,14
L2,14
DKP,14
CITP,14
AFCN,13
KR1,13
A1,13
SEC,13
DK1,13
CHAN,12
20AC,12
NOPO,12
SER1,12
NO1,12
UNG1,12
POEM,12
IT2,12
SK2P,11
CGB,11
L1,11
POPO,11
PON2,11
GBFL,10
CN2C,9
SER2,9
RLB3,9
TRP,9
LI1,9
SE1,9
IJ1,9
DKMR,9
EST1,8
ESTP,8
NO2,8
BTCU,8
GRP,8
UNGP,8
BE2,8
POBE,8
TR1,8
GB2,8
PLSC,8
LTVP,8
PO1,8
DKRE,8
PO2,8
SCC,7
PT23,7
GB21,7
SB19,7
KR2,7
FI1,7
GB1,7
POGR,7
GR1,7
CN2D,7
PL2L,7
POCP,7
DKDL,7
ZYP1,7
CPO1,7
ITJE,7
CLI,7
C1,6
UA3L,6
UKR2,6
EST2,6
SB17,6
ISR1,6
SE2,6
JGD2,6
FRYC,6
FR2,6
EJPL,6
WMQ4,6
COPA,6
CS,6
FIS,6
GEP1,6
GE1N,6
GESC,6
17AC,5
LET2,5
A1EL,5
F1CL,5
F1CE,5
ES2,5
CDR,5
MAZ1,5
RLSW,5
AFAC,5
WMQ1,5
PONL,5
NLJB,5
ACL,5
GB3,5
BESC,5
CR19,5
C3IF,5
SL2,4
NPFL,4
E3PL,4
UNLD,4
FAYC,4
GB18,4
ISPO,4
GR20,4
SKR2,4
DFBJ,4
JGD3,4
LTU2,4
LTSC,4
FRL,4
ESJP,4
CAFC,4
NLAJ,4
ZYPM,4
CILP,4
DKRQ,4
GHPL,4
NO46,4
FIL,4
RO1,4
AGUC,4
ITJ2,4
SR1R,4
NLBE,4
C2,3
POSL,3
SPjr,3
NO41,3
NO31,3
PVCR,3
SR1C,3
ISRF,3
KAS1,3
GRS2,3
BOS1,3
BIHP,3
PL31,3
MLSP,3
C3HF,3
CN2B,3
F19F,3
PL33,3
CN2A,3
BVP,3
NO45,3
23AF,3
NLJV,3
NLBJ,3
DK2,3
MWP1,3
MO1N,3
ITJ5,3
SCIJ,3
ITJF,3
IT3A,3
SC1,3
POSB,3
L3,3
DKAR,3
PTRL,3
BRA1,3
BRC,3
ITJ1,3
RUP,3
CLIY,3
F19A,3
ROMP,3
KOP1,3
RO1C,3
KO1,3
MLS1,3
A4ST,3
ARCP,3
BOS2,3
MNP3,3
NLAE,3
NLVB,3
BI19,3
C3NO,3
IJ2A,3
AJ3,3
ESTS,3
EST3,3
P23Q,3
BJ3,3
UEFA,3
UKRS,3
ZYPA,3
PTPR,3
P232,3
UART,2
SL19,2
CNAT,2
NLS6,2
KASC,2
ISRA,2
KAZP,2
QFLC,2
GR2,2
KLUB,2
BEL3,2
BJ2,2
AJ2,2
RLW3,2
WMQ3,2
CNLA,2
GCQU,2
GOCU,2
ALB1,2
ALBP,2
IRLP,2
F19B,2
RLN3,2
FR3,2
C3OC,2
ACQU,2
LPB1,2
ITJ4,2
ITJ7,2
21PL,2
RTIP,2
A23Q,2
AFCL,2
AJ1,2
AJ,2
BJ1,2
BE2E,2
ELTI,2
SEN1,2
SCP,2
NLC,2
L2PO,2
UN2,2
SCPM,2
SFA,2
NO44,2
RECO,2
SAM7,2
C220,2
ES1,2
AU2C,2
AUS1,2
AUSF,2
212S,2
RU1,2
UA19,2
PL32,2
LT19,2
CHC3,2
EL1A,2
EC1N,2
ECUP,2
LPPL,2
EL1S,2
DKRL,2
FINJ,2
SKKO,2
USMX,2
POUS,2
ATRO,2
ROPC,2
ATRM,2
S1PO,2
FI2,2
E4G5,2
AA17,2
CHPR,2
BASU,2
FRR1,2
RSER,2
WFVP,2
EGY1,2
EGLC,2
MALC,2
HRSC,2
BI17,2
COLP,2
COL1,2
COLO,2
COPO,2
GRPL,2
S21N,2
MOP2,2
BAPO,2
SE3S,2
UARP,2
ITC4,2
IT3B,2
F1CC,2
E4G4,2
GEO2,2
GE2P,2
USL,2
RSK1,2
E3G2,2
NLBV,2
FARQ,2
OM1L,2
CAFA,2
TR2,2
211S,2
211F,2
ARCA,2
AR1N,2
IN1L,2
UKRE,1
NO2R,1
POCO,1
18GB,1
E4G2,1
RLGR,1
ALPW,1
A4V,1
A4N,1
ISL3,1
UL2P,1
BE2A,1
C3CM,1
PLZJ,1
C3NA,1
C3VL,1
ITJ9,1
POSU,1
A198,1
JASP,1
OLYM,1
JAPC,1
EAFC,1
JEMP,1
JAP1,1
NLSC,1
DK2R,1
LTP2,1
SSC,1
SC2,1
SC4,1
BRA2,1
OLCF,1
CB20,1
C20P,1
BRPR,1
NO32,1
CCL,1
CRPO,1
CNNF,1
CRPD,1
CRPV,1
PDV2,1
SCCR,1
COLE,1
PDV1,1
CCAC,1
CVF,1
FFAC,1
E21P,1
W23C,1
COBI,1
PERF,1
TDeC,1
TDeA,1
PERD,1
PUSB,1
PVRR,1
SUIC,1
BRCB,1
EC2L,1
BRNE,1
ECSC,1
ECPE,1
ECSE,1
BRCM,1
DKDD,1
DK2P,1
ELTA,1
NPAM,1
OBLN,1
LNHA,1
WER1,1
WRPO,1
POCC,1
2RHR,1
FRCH,1
NTD,1
ITPO,1
C18E,1
CH18,1
CH17,1
C3P1,1
CHUC,1
BPO4,1
RO1R,1
ROMS,1
CIR6,1
SKSC,1
OBLB,1
UGL1,1
T191,1
MALS,1
T211,1
MALD,1
MAL1,1
A2SW,1
19D7,1
A169,1
A168,1
AF16,1
19LA,1
C3BR,1
IS2,1
IS1,1
ISL,1
ISP,1
ESTR,1
DKPL,1
COLF,1
COSP,1
SE3N,1
JUNO,1
ILI2,1
IL2P,1
HEPO,1
VLHM,1
OBLC,1
EGCP,1
CAFS,1
ESCU,1
EGYP,1
FIC1,1
KP3B,1
FI3B,1
UALC,1
UAE1,1
UAEP,1
GEPO,1
GEO1,1
GEOM,1
GEP3,1
IT4P,1
IT4E,1
IT4A,1
IT4F,1
IT18,1
FI3C,1
ES3P,1
F4LA,1
FJE,1
P2RL,1
NLEV,1
B3AU,1
EJPD,1
USLC,1
USLP,1
UI,1
OL6,1
ATRW,1
EE17,1
ELME,1
ES17,1
RKPO,1
RSKM,1
K4L,1
L1PO,1
RLN4,1
BLPW,1
BJ,1
LBSW,1
AR3L,1
IJ2B,1
ITJ6,1
NMAP,1
CNRS,1
CL1P,1
ELSA,1
CLO,1
NLBB,1
RESE,1
CIR4,1
CO17,1
NLBA,1
GB4,1
