player_id,player_name,game_date_utc,season,competition_id,competition_type_id,is_national_team,game_id,game_day,club_id,venue,opponent_club_id,club_goals,opponent_goals,participation_state,shirt_number,position_id,is_captain,played_minutes,goals,assists,shots_total,shots_on_goal,shots_off_goal,shots_blocked,yellow_card_minute,substituted_in_minute,substituted_out_minute,injury_id,absence_id
621670,Jakub Lapes,2026-07-31T16:00:00+00:00,2026,TS2,2,False,4905330,2,13726,home,13299,1,0,played,30,1,True,90,0,0,0,0,0,0,,,,0,0
621670,Jakub Lapes,2026-07-27T16:00:00+00:00,2026,TS2,2,False,4901923,1,13726,away,479,0,2,in squad,30,,False,0,0,0,0,0,0,0,,,,0,0
621670,Jakub Lapes,2026-05-23T12:00:00+00:00,2025,T1EL,12,False,4886488,4,13726,away,2311,0,4,played,30,1,False,90,0,0,0,0,0,0,,,,0,0
621670,Jakub Lapes,2026-05-20T16:00:00+00:00,2025,TSP,8,False,4868332,9,13726,neutral,1322,3,1,in squad,30,,False,0,0,0,0,0,0,0,,,,0,0
621670,Jakub Lapes,2026-05-16T15:00:00+00:00,2025,T1EL,12,False,4886353,3,13726,home,2311,1,3,in squad,30,,False,0,0,0,0,0,0,0,,,,0,0
621670,Jakub Lapes,2026-05-10T13:00:00+00:00,2025,T1EL,12,False,4870833,2,13726,away,1496,3,1,in squad,30,,False,0,0,0,0,0,0,0,,,,0,0
621670,Jakub Lapes,2026-05-02T13:00:00+00:00,2025,T1EL,12,False,4870831,1,13726,home,1496,1,2,played,30,1,False,90,0,0,0,0,0,0,,,,0,0
621670,Jakub Lapes,2026-04-25T14:00:00+00:00,2025,TS1,1,False,4624739,27,13726,home,5546,0,3,in squad,30,,False,0,0,0,0,0,0,0,,,,0,0
621670,Jakub Lapes,2026-04-21T18:00:00+00:00,2025,TSP,8,False,4843835,8,13726,home,377,2,1,in squad,30,,False,0,0,0,0,0,0,0,,,,0,0
621670,Jakub Lapes,2026-04-18T13:00:00+00:00,2025,TS1,1,False,4624761,30,13726,away,450,2,1,in squad,30,,False,0,0,0,0,0,0,0,,,,0,0
790889,Ondrej Mrozek,2026-08-01T16:00:00+00:00,2026,TS2,2,False,4905326,2,804,home,7975,0,0,in squad,23,,False,0,0,0,0,0,0,0,,,,0,0
790889,Ondrej Mrozek,2026-07-24T16:00:00+00:00,2026,TS2,2,False,4901921,1,804,away,13718,1,1,not in squad,,,False,0,0,0,0,0,0,0,,,,0,0
790889,Ondrej Mrozek,2026-06-13T12:00:00+00:00,2025,CZ3M,3,False,4802324,32,56737,away,19030,2,1,not in squad,,,False,0,0,0,0,0,0,0,,,,0,0
