player_id,player_name,current_team_id,current_team_name,current_position,current_age,nationality,shirt_number,career_seasons,career_clubs,career_competitions,career_matches_in_squad,career_matches_played,career_minutes,career_goals,career_assists,career_shots_total,career_shots_on_goal,career_yellow_cards,career_national_team_matches,first_season,last_season
790889,Ondrej Mrozek,13726,MFK Karvina,Goalkeeper,22,Czech Republic,34,8,7,10,295,69,6143,0,0,0,0,5,0,2018,2026
1010818,Sahmkou Camara,62,SK Slavia Prague,Centre-Back,23,Guinea,41,6,4,13,217,130,10106,3,2,29,5,17,3,2021,2026
1047313,Ondrej Schovanec,13726,MFK Karvina,Goalkeeper,20,Czech Republic,23,5,4,7,210,64,5626,0,0,0,0,2,1,2022,2026
621670,Jakub Lapes,13726,MFK Karvina,Goalkeeper,26,Czech Republic,30,11,7,11,355,166,14949,1,0,1,0,7,0,2016,2026
668311,Vladimir Neuman,1496,FK Pardubice,Goalkeeper,26,Czech Republic,46,10,6,10,330,112,10031,0,0,0,0,9,0,2017,2026
671499,David Krcik,941,FC Viktoria Plzen,Centre-Back,27,Slovakia,37,9,6,15,251,203,16572,26,3,62,27,26,2,2018,2026
728635,Filip Prebsl,941,FC Viktoria Plzen,Centre-Back,23,Czech Republic,98,10,11,18,296,190,13469,4,7,54,12,26,40,2017,2026
671518,Albert Labik,24325,SK Artis Brno,Left-Back,22,Czech Republic,9,7,8,15,281,180,13244,8,17,41,11,23,32,2018,2026
1071300,Aboubacar Traore,377,FC Banik Ostrava,Right-Back,22,Cote d'Ivoire,8,5,4,8,210,90,6284,8,3,17,7,16,0,2022,2026
1078218,Simon Sloncik,5544,1.FC Slovacko,Centre-Back,19,Czech Republic,21,5,8,16,225,106,7374,2,3,2,0,16,36,2022,2026
1052374,Yevgeniy Skyba,377,FC Banik Ostrava,Centre-Back,23,Ukraine,44,5,7,9,144,109,8052,5,4,8,0,25,0,2022,2026
652055,Lukas Endl,13726,MFK Karvina,Centre-Back,22,Czech Republic,0,10,5,15,323,174,12168,7,3,26,4,20,30,2017,2026
212873,Matej Hybl,13726,MFK Karvina,Left-Back,31,Czech Republic,0,16,13,9,440,289,21069,12,10,0,0,55,25,2011,2026
1045168,Jan Chytry,13726,MFK Karvina,Right-Back,21,Czech Republic,24,5,4,9,153,123,8573,5,2,10,3,5,7,2022,2026
70690,Jiri Fleisman,13726,MFK Karvina,Left-Back,41,Czech Republic,25,21,8,13,725,573,48148,24,41,110,25,101,1,2006,2026
822079,Nino Milic,13726,MFK Karvina,Left-Back,22,Slovenia,19,7,4,14,214,115,8201,4,8,0,0,16,16,2020,2026
926793,Vit Vavrik,13726,MFK Karvina,Right-Back,20,Czech Republic,0,6,3,6,189,100,6341,13,4,0,0,9,0,2021,2026
928023,Alexandr Buzek,697,FC Slovan Liberec,Central Midfield,22,Czech Republic,16,6,8,14,238,153,10680,6,11,44,12,12,16,2021,2026
931428,David Planka,377,FC Banik Ostrava,Central Midfield,21,Czech Republic,18,6,6,15,207,190,13396,19,21,57,20,19,48,2021,2026
1050404,Rok Storman,13726,MFK Karvina,Attacking Midfield,21,Slovenia,77,5,6,11,171,106,6763,18,6,35,10,12,8,2022,2026
747444,Samuel Sigut,13726,MFK Karvina,Right Midfield,23,Czech Republic,17,8,4,10,226,147,9913,21,14,66,21,19,6,2019,2026
580154,Sebastian Bohac,941,FC Viktoria Plzen,Central Midfield,24,Czech Republic,66,10,7,14,253,159,10834,11,7,34,10,36,4,2017,2026
500055,Denny Samko,13726,MFK Karvina,Attacking Midfield,25,Czech Republic,10,12,7,9,350,265,18431,57,28,108,35,51,5,2015,2026
389621,Kristian Vallo,13726,MFK Karvina,Right Midfield,27,Slovakia,7,13,6,19,558,286,18752,27,34,70,29,27,29,2014,2026
707731,Jakub Kristan,5544,1.FC Slovacko,Defensive Midfield,22,Czech Republic,0,9,11,19,383,222,14441,15,13,25,6,21,24,2018,2026
1133949,Yahaya Lawali,13726,MFK Karvina,Right Midfield,19,Nigeria,3,4,2,6,88,45,3498,5,7,7,3,3,4,2022,2026
723528,Jan Fiala,2311,SK Sigma Olomouc,Right Midfield,25,Czech Republic,18,8,5,8,251,152,6744,24,6,27,12,17,0,2019,2026
1243197,Vit Valosek,13726,MFK Karvina,Attacking Midfield,18,Czech Republic,28,4,3,6,94,50,2904,12,2,0,0,4,0,2023,2026
985844,Emmanuel Ayaosi,62,SK Slavia Prague,Left Winger,21,Nigeria,20,6,5,8,207,152,10300,36,28,76,30,12,0,2021,2026
972353,Ebrima Singhateh,197,AC Sparta Prague,Left Winger,22,The Gambia,27,6,10,13,219,150,7964,46,14,100,34,26,7,2021,2026
968445,Abdallah Gning,377,FC Banik Ostrava,Centre-Forward,27,Senegal,12,6,5,7,179,140,9414,28,13,235,76,20,0,2021,2026
995525,Pavel Kacor,62,SK Slavia Prague,Right Winger,19,Czech Republic,32,6,6,11,215,122,7511,27,12,22,7,22,14,2021,2026
652051,Filip Vecheta,1322,FK Jablonec,Centre-Forward,23,Czech Republic,27,10,7,17,426,260,12633,61,17,137,58,25,54,2017,2026
1005946,Lucky Ezeh,5225,FC Zbrojovka Brno,Centre-Forward,22,Nigeria,77,6,5,11,224,150,8372,39,10,98,39,12,0,2021,2026
