competition_id,n_players_with_match
UAE1,561
UAEP,550
UALC,507
FS,319
AFCL,188
UASC,178
ACLE,168
ACLQ,139
WMQ1,112
ACL2,104
A23Q,85
23AF,84
KLUB,80
ACEQ,74
AGUC,70
AFAC,69
ARCP,68
BRC,67
BRA1,66
W23C,65
ELQ,55
EL,52
CLI,52
CB20,51
FIWC,50
SPjr,50
CS,50
ECLQ,48
CLQ,47
U21Q,43
POPO,37
FIC1,34
PO1,33
CL,33
U19Q,32
17WC,32
SA1,31
AFCQ,30
C20P,30
SAKC,30
POCP,29
ACL,29
WMQ2,28
CAFC,27
AFCN,27
BRA2,26
BCP1,25
FRC,25
BRCG,24
UCOL,24
WMQ6,24
MAR1,23
TRP,23
TR1,22
MARP,21
20WC,21
19YL,21
SERP,21
PO2,20
OLYM,20
CCB,20
SER1,20
U17Q,20
FR1,19
FAC,19
EMQ,19
BE1,18
AU2C,18
CDR,18
CLIY,18
FR2,17
CHAN,17
EURO,17
ACQU,16
CIT,16
IT1,16
GB1,16
CGB,15
DFB,15
ES1,15
AG18,14
BCPF,14
BRCR,14
A198,14
FRL,14
2SAM,14
ARCA,13
MEC1,13
IRN1,13
IRNP,13
UNLB,13
WAFF,13
BRCM,12
CAFA,12
GB2,12
NLP,12
NL1,12
BRNE,12
POWM,12
PT23,12
UNLC,12
AR1N,12
BRCF,12
POBE,12
TDV,11
PLIC,11
L1,11
C1,11
SCC,11
20AC,11
TUNP,11
TUN1,11
BRA4,11
SCBR,11
21EU,11
UNLA,11
ROMP,10
RO1,10
IT2,10
EJPL,10
RECO,10
RU1,10
RUP,10
MLSP,9
BCP2,9
CDLP,9
GRP,9
GR1,9
GB21,9
BRRS,9
PTPR,9
POEM,9
17EU,9
SL1,9
SER2,9
SB19,9
BE2,9
A920,8
CITP,8
NL2,8
MLS1,8
ARY3,8
BRPE,8
RS2f,8
23AC,8
SLP,8
SR1R,8
RO1C,7
BRSC,7
DKP,7
SU20,7
EGY1,7
A192,7
ES2,7
DKRE,7
DK1,7
ISR1,6
ISPO,6
POUS,6
CCL,6
FRR1,6
21PL,6
GBFL,6
BRA3,6
BRNF,6
QEC1,6
QSL,6
PTRL,6
BRCB,6
CAFS,6
ARG1,6
FR4B,6
RSER,6
P23C,6
EGYP,6
WMQ4,6
USMX,6
OLCF,6
17AC,6
SR1C,6
TRS,6
FAYC,6
TUNM,6
RO1R,5
KOBU,5
ITJE,5
ITJ2,5
POSB,5
SAM7,5
CHFA,5
brti,5
CLPI,5
FR5I,5
FR3,5
L2,5
BESC,5
QSCP,5
RKPO,5
RSK2,5
RSK1,5
AFCC,5
IRSC,5
CDCA,5
ARLC,5
FIYO,5
ofb,5
19EU,5
A1,5
BRPR,5
CHPR,5
PL1,5
T191,5
GB18,5
DKMR,5
POSU,5
UNFI,5
NLBE,5
SA2L,5
PONL,5
BRGO,4
BRVE,4
UZ1,4
PON2,4
ARG2,4
FRYC,4
GBCS,4
CSL,4
BRCE,4
POGR,4
IRQ1,4
WAF1,4
RO2,4
SEN1,4
ARGC,4
PVCR,4
JGD3,4
EGLC,4
ESCU,4
COPA,4
MEXA,4
MEX1,4
ES3C,4
DKAR,4
RSKM,4
POPU,4
SB17,4
TR2,4
KRC,4
NLVB,4
NLJB,4
JEMP,4
TUSC,4
NLBV,4
UNG1,4
UNGP,4
COL1,4
COPO,4
VEC1,4
L3,4
GB4,4
CPO1,4
ZYP1,4
ROPC,3
ROMS,3
SEC,3
SE1,3
NOPO,3
DK2,3
ASPK,3
AZ1,3
F19B,3
F19F,3
FR4C,3
S1PO,3
AJ2,3
C2,3
KREG,3
IRQC,3
PT3A,3
TUPL,3
AR2T,3
UKRP,3
MARG,3
BRga,3
UNPO,3
AA17,3
A1EL,3
JGD2,3
EGCP,3
POMX,3
ES2P,3
ES1P,3
ISRF,3
SAM2,3
RUSR,3
A169,3
EAFC,3
FR4D,3
E3G1,3
BIHP,3
BOS1,3
BE2A,3
FR4A,3
KR1,3
CR19,3
KR2,3
CHUC,3
CH18,3
SASS,3
UEFA,3
JAP1,3
NLSC,3
COLF,3
COLP,3
COLO,3
FR5B,3
MAZ1,3
IT3A,3
CILP,3
VZ1P,3
VZ1L,3
ITPO,3
IRN2,3
NLAE,3
ESJP,3
CYSC,3
ZYPM,3
FIS,2
ISR2,2
UZSC,2
UZP2,2
NO1,2
SE2,2
SE3S,2
MO1N,2
LPL,2
USL,2
USLP,2
CLPF,2
FR5H,2
FR5K,2
POCC,2
L1PO,2
CHC2,2
BRC2,2
BRNP,2
GHPL,2
WER1,2
WRPO,2
FARQ,2
P23Q,2
NPFL,2
LUX1,2
P3Au,2
AFOL,2
QU2L,2
AMCQ,2
ALPS,2
CLPD,2
P232,2
A2,2
RLN4,2
SCAG,2
POME,2
SFA,2
E3G2,2
E3FA,2
BRMS,2
IRLP,2
KAS1,2
A1P1,2
A168,2
CH1C,2
EC1N,2
