competition_id,n_players_with_match
UKR1,750
UKRP,710
FS,370
UKR2,348
UA3L,305
ECLQ,287
UARP,229
ELQ,225
UA2P,210
UA19,194
U19Q,167
U21Q,166
19YL,142
EL,134
UCOL,127
CLQ,125
U17Q,117
UKRA,94
UKRM,92
CL,79
19EU,56
UART,56
WMQ6,54
UKRS,52
21EU,50
20WC,46
UKRE,45
POWM,41
UNLB,41
UKRL,41
EMQ,38
SPjr,38
BRC,37
BRA1,33
EURO,31
CLI,30
CB20,30
CS,29
UNPO,28
POEM,27
17EU,23
BRA2,21
TDV,21
CDR,21
POPO,20
UA3P,20
UNLA,18
POPU,16
GEP1,16
PO2,15
KRC,15
TR1,15
BCP1,15
LET1,15
TRP,15
AFCQ,14
KR1,14
LETP,14
OLYM,14
SKC,14
GE1N,14
2SAM,14
ALB1,13
ALBP,13
C20P,13
ISR1,13
SLO1,13
FRC,12
CCB,12
PL1,12
GESC,12
UNG1,12
BE1,11
17WC,11
ES2,11
ES1,11
POCP,10
VZ1C,10
PLIC,10
ARM1,10
UNGP,10
CAFC,9
MO1N,9
TSP,9
TS1,9
KR2,9
BRCM,9
ALP3,9
BRCG,9
VEC1,9
VZ1A,9
WMQ2,9
ISPO,9
KOP1,9
KO1,9
E3PL,9
KAS1,9
SL1,9
ACL,8
MWP1,8
MOP2,8
PO1,8
BRA4,8
PT23,8
VZ1L,8
BRA3,8
BRNE,8
ISRA,8
ARPO,8
LTVP,8
AZ1,8
ASPK,8
ES2P,8
SCC,7
BRRS,7
TR2,7
VZOA,7
VZOC,7
20AC,7
LI1,7
BOS1,7
BIHP,7
BRPR,7
E3G2,7
E3G1,7
ISRF,7
FR1,6
C1,6
RUP,6
PTPR,6
BRCF,6
BRNF,6
ARM2,6
WER1,6
WRPO,6
IT2,6
SLMR,6
KAZP,6
SLAR,6
PL2,6
IJ1,6
SAM7,6
KLUB,6
CIT,6
BCPF,6
GR1,6
GRP,6
FAC,6
21PL,6
ES3A,6
E4G3,6
NPFL,5
FR3,5
FRL,5
ALBS,5
PT3A,5
POBE,5
P23C,5
ALB2,5
VZ1P,5
CHAN,5
FR2,5
BU1,5
CZ3C,5
FI1,5
ES3B,5
CITP,5
SLP,5
DK1,5
DKP,5
SA1,5
RECO,5
IT1,5
MLS1,5
UNLC,5
FIWC,5
POGR,5
BRSC,5
MAZ1,5
PN1C,5
PN1A,5
GB21,5
CGB,5
E3FA,5
CEF1,5
E4G5,5
FR4D,4
FRYC,4
RU1,4
BRVE,4
C2,4
BCP2,4
FIS,4
USMX,4
T191,4
CZ3M,4
PL31,4
RU2,4
SL2,4
DFB,4
AA17,4
L1,4
ES3C,4
POUS,4
NL1,4
NLP,4
ES3D,4
CLIY,4
IRLP,4
CPO1,4
WMQ3,4
CNNF,4
GOCU,4
PN1F,4
GB2,4
C220,4
UN2,4
PNF1,4
E4G4,4
FR4A,3
P3As,3
FR4B,3
BASU,3
RS2f,3
BRGO,3
LTU2,3
PL2L,3
GR20,3
OLCF,3
P3Au,3
CPSB,3
CHPR,3
AFCN,3
UAEP,3
F1CC,3
IJ2B,3
DKRE,3
EST1,3
SK2,3
BO12,3
BO1A,3
WMQ4,3
BO1C,3
CR19,3
RO1,3
MNPP,3
MLSP,3
MNP3,3
AL21,3
SAM2,3
CCL,3
SERP,3
SER1,3
EJPL,3
SAKC,3
PTRL,3
CZ19,3
SKKO,3
ZYP1,3
CNLA,3
COLE,3
COPA,3
BULP,3
BRPA,3
CLPI,3
ARY3,3
CLPF,3
AR1N,3
GRS2,3
ALPO,3
KO1R,3
BRCE,3
BCE1,3
brti,3
ES3P,3
GEO1,3
ofb,3
BU2,3
PL34,3
E3PP,3
CPSC,2
CPSD,2
CHFA,2
BE2,2
CHC2,2
RLN4,2
QU2L,2
BRSE,2
P23F,2
P232,2
F19A,2
BRCB,2
17AC,2
TRP2,2
A23Q,2
T19P,2
23AF,2
PL32,2
IT4P,2
UNLD,2
KG1L,2
AUSF,2
MALC,2
AUS1,2
POLL,2
DKRQ,2
DKAR,2
ESTP,2
RO1C,2
RO1R,2
SU20,2
ROMP,2
SCJ2,2
EL1A,2
SUC,2
IJ2A,2
CWCQ,2
SR1C,2
NL2,2
SCP,2
SFA,2
SC1,2
FIYO,2
SCBR,2
GEO2,2
23AC,2
NO1,2
NOPO,2
LET2,2
T1MR,2
ZYPA,2
PLSC,2
GCQU,2
NMAP,2
CO17,2
ISR2,2
UAE1,2
UALC,2
GB1,2
GBFL,2
BUEL,2
PLZJ,2
BRNP,2
ARG1,2
