player_id,player_name,current_team_id,current_team_name,current_position,current_age,nationality,shirt_number,career_seasons,career_clubs,career_competitions,career_matches_in_squad,career_matches_played,career_minutes,career_goals,career_assists,career_shots_total,career_shots_on_goal,career_yellow_cards,career_national_team_matches,first_season,last_season
738154,Christopher Nwaeze,10690,Zorya Lugansk,Centre-Back,23,Nigeria,25,9,5,10,265,151,12643,12,2,0,0,29,0,2018,2026
1160405,Viktor Dolgyi,18303,FC Oleksandriya,Goalkeeper,22,Ukraine,1,4,3,8,148,37,3285,0,0,0,0,2,1,2023,2026
1378963,Mykyta Stovba,18303,FC Oleksandriya,Goalkeeper,17,Ukraine,0,3,3,4,70,18,1542,0,0,0,0,1,0,2024,2026
1241968,Nazar Makarenko,18303,FC Oleksandriya,Goalkeeper,18,Ukraine,72,4,4,11,145,68,5972,0,0,0,0,0,8,2023,2026
631819,Danil Skorko,18303,FC Oleksandriya,Right-Back,24,Ukraine,22,10,6,13,260,106,6843,6,5,0,0,16,11,2017,2026
80312,Mykyta Shevchenko,18303,FC Oleksandriya,Goalkeeper,33,Ukraine,0,17,5,18,586,181,15840,0,1,0,0,16,7,2008,2025
335744,Miguel Campos,18303,FC Oleksandriya,Centre-Back,29,Portugal,26,11,11,15,343,131,10380,6,3,3,3,34,0,2014,2025
807784,Jocelin Behiratche,18303,FC Oleksandriya,Centre-Back,25,Cote d'Ivoire,50,7,5,14,233,173,13253,4,2,3,1,33,0,2020,2026
838384,Anton Bol,18303,FC Oleksandriya,Centre-Back,23,Ukraine,86,7,4,13,189,60,4229,1,1,0,0,11,9,2018,2025
629567,Yanis Hamache,18303,FC Oleksandriya,Left-Back,26,Algeria,25,10,8,16,296,141,10235,19,19,80,24,17,1,2016,2025
935053,Mykola Ogarkov,87883,FC Kudrivka,Left-Back,21,Ukraine,25,6,6,13,147,89,6652,3,4,0,0,21,19,2021,2026
882224,Ilya Ukhan,81401,SC Poltava,Right-Back,22,Ukraine,24,6,6,5,148,43,3196,0,1,0,0,11,0,2020,2026
1117106,Artur Andreichyk,18303,FC Oleksandriya,Left-Back,20,Ukraine,17,5,4,7,140,90,4990,4,5,0,0,11,0,2022,2026
837283,Yuriy Matviiv,18303,FC Oleksandriya,Centre-Back,22,Ukraine,0,7,8,7,117,46,3645,0,0,0,0,8,2,2018,2025
461595,Théo Ndicka,18303,FC Oleksandriya,Left-Back,26,France,0,11,9,23,339,232,14511,20,13,55,13,29,18,2015,2025
94922,Bogdan Butko,18303,FC Oleksandriya,Right-Back,35,Ukraine,91,17,9,26,596,384,32043,11,33,3,1,33,54,2008,2025
1218821,Goulart,18303,FC Oleksandriya,Centre-Back,20,Brazil,0,3,6,6,94,27,1986,1,0,0,0,8,0,2023,2025
396530,Artem Kozak,84122,Epitsentr Kamyanets-Podilskyi,Right Midfield,28,Ukraine,59,12,9,9,308,194,11850,32,22,0,0,20,8,2015,2026
726016,Denys Shostak,39097,Obolon Kyiv,Attacking Midfield,23,Ukraine,50,9,7,16,215,98,4590,8,1,1,0,22,17,2018,2026
404846,Sergiy Buletsa,18303,FC Oleksandriya,Attacking Midfield,27,Ukraine,10,12,8,23,321,245,15805,38,42,50,17,10,51,2015,2026
396532,Yevgeniy Smyrnyi,87883,FC Kudrivka,Central Midfield,28,Ukraine,8,12,7,12,329,156,8957,15,5,1,0,31,15,2015,2026
140676,Kyrylo Kovalets,84122,Epitsentr Kamyanets-Podilskyi,Attacking Midfield,33,Ukraine,6,16,6,11,429,268,17267,33,26,6,2,39,3,2011,2026
1134676,Daniil Vashchenko,18303,FC Oleksandriya,Defensive Midfield,20,Ukraine,20,5,2,11,171,77,4580,3,1,8,1,16,21,2022,2026
1035982,Dmytro Chernysh,18303,FC Oleksandriya,Central Midfield,21,Ukraine,40,5,5,8,193,63,3436,8,0,0,0,3,3,2022,2026
1027018,Mateus Amaral,18303,FC Oleksandriya,Attacking Midfield,21,Brazil,49,6,3,9,147,62,2693,7,1,0,0,1,0,2021,2026
1293692,Nazar Prokopenko,18303,FC Oleksandriya,Defensive Midfield,20,Ukraine,97,2,3,6,97,32,1822,1,0,0,0,8,0,2024,2025
815673,Fernando Henrique,18303,FC Oleksandriya,Defensive Midfield,24,Brazil,5,8,7,18,331,83,3894,0,2,16,3,21,0,2019,2026
212243,Dmytro Myshnyov,39097,Obolon Kyiv,Central Midfield,32,Ukraine,15,16,4,13,492,402,28895,24,34,10,6,57,44,2011,2026
1121524,Denys Khmelyovskyi,18303,FC Oleksandriya,Defensive Midfield,20,Ukraine,0,5,7,8,94,55,3927,1,1,0,0,5,0,2022,2026
1083965,Juan Bezerra,18303,FC Oleksandriya,Right Winger,23,Brazil,0,8,4,16,192,114,6897,22,22,51,20,17,0,2019,2026
1074055,Danylo Khan,18303,FC Oleksandriya,Central Midfield,20,Ukraine,0,5,5,9,118,54,3341,5,5,0,0,3,9,2022,2026
646153,Tedi Cara,63007,LNZ Cherkasy,Left Winger,26,Albania,77,11,5,13,327,285,17677,67,29,5,0,29,14,2016,2026
633728,Bryan Castillo,18303,FC Oleksandriya,Centre-Forward,24,Venezuela,99,10,4,15,267,167,7867,26,5,96,37,39,2,2017,2026
404848,Andriy Kulakov,18303,FC Oleksandriya,Centre-Forward,27,Ukraine,0,11,5,15,265,163,8594,20,11,2,2,21,26,2015,2025
568702,Papa Ndiaga Yade,18303,FC Oleksandriya,Left Winger,26,Mauritania,37,10,7,22,331,212,10812,35,21,95,28,25,16,2017,2026
744099,Jota,18303,FC Oleksandriya,Right Winger,23,Portugal,19,8,5,15,242,101,6119,21,9,0,0,11,3,2019,2026
261780,Artem Shulyanskyi,39097,Obolon Kyiv,Left Winger,25,Ukraine,14,8,4,10,192,95,5495,10,8,0,0,5,16,2017,2026
514623,Mauro Rodrigues,18303,FC Oleksandriya,Right Winger,25,Guinea-Bissau,67,10,6,16,432,261,14637,32,9,64,21,31,20,2017,2026
1095335,Jhonnatan Silva,18303,FC Oleksandriya,Right Winger,21,Brazil,44,5,5,11,145,72,3733,7,2,2,0,21,0,2022,2026
938300,Yaroslav Bazaev,18303,FC Oleksandriya,Left Winger,21,Ukraine,0,5,5,6,154,50,3821,13,0,0,0,10,0,2021,2026
935094,Dmitriy Kremchanin,18303,FC Oleksandriya,Right Winger,21,Ukraine,77,5,5,12,131,77,4896,36,18,1,1,5,16,2021,2026
717394,Yuriy-Volodymyr Gereta,85465,Karpaty Lviv,Goalkeeper,22,Ukraine,99,8,5,6,223,73,6453,0,0,0,0,5,7,2019,2026
618487,Hussayn Touati,18303,FC Oleksandriya,Right Winger,24,France,24,8,9,16,217,113,5479,23,10,75,31,11,0,2018,2026
1256873,Mykola Siruk,48726,Rukh Lviv,Goalkeeper,17,Ukraine,0,3,3,5,103,5,363,0,0,0,0,0,0,2023,2025
1121518,Oleksiy Vorobyov,48726,Rukh Lviv,Goalkeeper,19,Ukraine,0,4,4,5,82,18,1620,0,0,0,0,2,0,2022,2026
1295301,Yegor Klymenko,48726,Rukh Lviv,Goalkeeper,18,Ukraine,28,4,3,6,105,36,3240,0,0,0,0,2,1,2022,2026
1050852,Vitaliy Kholod,85465,Karpaty Lviv,Centre-Back,22,Ukraine,44,5,4,7,167,102,8203,3,4,1,0,13,8,2022,2026
