player_id,player_name,current_team_id,current_team_name,current_position,current_age,nationality,shirt_number,career_seasons,career_clubs,career_competitions,career_matches_in_squad,career_matches_played,career_minutes,career_goals,career_assists,career_shots_total,career_shots_on_goal,career_yellow_cards,career_national_team_matches,first_season,last_season
1117773,Iván Rodríguez,17428,CA Juventud,Right Midfield,25,Uruguay,31,5,3,9,150,86,5661,2,3,0,0,16,0,2021,2025
1053719,José Vanetta,17595,CA Progreso,Left Winger,24,Argentina,20,5,5,11,150,41,1709,1,0,0,0,1,0,2021,2025
1062316,Alexis Cuadro,17595,CA Progreso,Central Midfield,20,Uruguay,0,3,1,4,37,1,34,0,0,0,0,0,1,2022,2025
263052,Hugo Silveira,1306,Danubio FC,Centre-Forward,33,Uruguay,0,14,11,20,497,303,19157,72,36,74,31,55,0,2012,2025
898333,Facundo Saravia,18074,CA Boston River,Left-Back,23,Uruguay,0,6,2,6,211,28,1712,0,0,3,1,6,0,2020,2025
657760,Ignacio Suárez,866,Club Nacional,Goalkeeper,24,Uruguay,25,8,1,11,362,40,3388,0,0,0,0,2,3,2018,2025
360521,Alexis Martín Arias,866,Club Nacional,Goalkeeper,34,Argentina,22,13,6,14,536,328,29392,0,1,0,0,31,0,2013,2025
76715,Luis Mejía,866,Club Nacional,Goalkeeper,35,Panama,1,19,8,33,1012,391,34776,0,1,0,0,31,68,2006,2025
410456,Juan Pintado,866,Club Nacional,Right-Back,28,Uruguay,0,12,6,21,413,285,22268,5,18,37,7,50,1,2014,2025
577406,Emiliano Ancheta,866,Club Nacional,Right-Back,27,Uruguay,13,9,5,12,336,210,16688,4,14,14,2,40,16,2017,2025
188470,Francisco Calvo,866,Club Nacional,Centre-Back,34,Costa Rica,5,16,13,33,862,592,50371,70,22,275,78,142,119,2010,2025
1149317,Benjamín Núñez,866,Club Nacional,Left-Back,23,Uruguay,24,4,2,5,109,57,4478,8,7,0,0,7,0,2022,2025
456535,Agustín Rogel,866,Club Nacional,Centre-Back,28,Uruguay,2,11,9,30,464,209,17150,14,6,81,23,47,18,2015,2025
997825,Paolo Calione,866,Club Nacional,Centre-Back,20,Uruguay,15,5,1,10,117,49,3599,0,1,2,1,7,23,2021,2025
382473,Camilo Cándido,866,Club Nacional,Left-Back,31,Uruguay,21,12,7,28,504,379,28148,15,47,80,16,97,0,2014,2025
1310240,Tomás Viera,866,Club Nacional,Centre-Back,20,Uruguay,32,2,1,8,50,17,1312,0,0,1,0,6,1,2024,2025
1232131,Facundo González,866,Club Nacional,Right-Back,21,Uruguay,0,4,4,8,124,61,3357,3,4,9,1,10,13,2022,2025
1379675,Federico Bais,866,Club Nacional,Left-Back,18,Uruguay,34,2,1,6,39,20,1263,1,0,0,0,1,10,2024,2025
898318,Santiago Silva,866,Club Nacional,Central Midfield,21,Uruguay,0,7,2,13,256,156,9201,5,3,51,12,18,4,2019,2025
196187,Nicolás Rodríguez,866,Club Nacional,Right-Back,34,Uruguay,77,17,9,12,614,368,27938,25,56,21,4,43,0,2009,2025
577259,Luciano Boggio,866,Club Nacional,Central Midfield,27,Uruguay,6,9,4,14,334,255,15739,18,27,70,19,33,3,2017,2025
102427,Sebastián Coates,866,Club Nacional,Centre-Back,35,Uruguay,4,18,6,30,1031,658,56009,57,28,219,70,154,58,2008,2025
697408,Mauricio Vera,866,Club Nacional,Defensive Midfield,28,Argentina,0,10,9,14,278,187,12157,4,8,4,0,43,0,2015,2025
1339507,Agustín Dos Santos,866,Club Nacional,Central Midfield,18,Uruguay,10,3,1,10,56,34,1929,3,1,2,1,5,10,2023,2025
1021366,Juan Ignacio García,866,Club Nacional,Defensive Midfield,20,Uruguay,56,3,2,5,20,11,736,1,0,2,1,3,3,2021,2025
115507,Bruno Zuculini,866,Club Nacional,Defensive Midfield,33,Argentina,36,17,10,34,793,386,25009,28,12,85,28,107,2,2009,2025
338641,Lucas Rodríguez,866,Club Nacional,Central Midfield,33,Uruguay,23,13,8,12,415,303,21480,17,4,38,7,83,0,2013,2025
396894,Maxi Gómez,866,Club Nacional,Centre-Forward,29,Uruguay,9,12,6,22,519,393,27653,119,51,353,143,66,32,2014,2025
72653,Nicolás Lodeiro,866,Club Nacional,Attacking Midfield,37,Uruguay,14,20,9,40,1065,641,43968,117,139,394,125,80,67,2006,2025
365827,Maximiliano Silvera,866,Club Nacional,Centre-Forward,28,Uruguay,11,11,8,17,371,308,22870,88,30,100,38,27,0,2014,2025
988662,Juan Cruz de los Santos,866,Club Nacional,Left Winger,23,Uruguay,19,5,2,13,233,154,8573,16,14,12,1,18,27,2021,2025
624096,Tomás Verón Lupi,866,Club Nacional,Right Winger,25,Argentina,27,6,4,15,208,159,8939,23,14,61,23,15,0,2018,2025
1037724,Tiziano Correa,866,Club Nacional,Centre-Forward,21,Uruguay,29,5,3,6,141,70,4075,8,5,0,0,6,2,2021,2025
891569,Baltasar Barcia,866,Club Nacional,Right Winger,25,Uruguay,30,7,6,16,262,139,7672,8,6,38,8,23,0,2019,2025
403014,Gonzalo Carneiro,866,Club Nacional,Centre-Forward,30,Uruguay,20,12,6,20,522,184,9460,38,19,72,26,49,0,2014,2025
1379671,Rodrigo Martínez,866,Club Nacional,Left Winger,18,Uruguay,31,2,1,6,34,21,893,0,0,0,0,0,6,2024,2025
1372201,Pavel Núñez,866,Club Nacional,Centre-Forward,20,Uruguay,18,2,2,4,25,18,740,4,2,1,0,0,0,2024,2025
1247306,Federico Bonilla,866,Club Nacional,Goalkeeper,20,Uruguay,0,3,1,8,71,7,620,0,0,0,0,0,7,2023,2025
1523886,Juan Bianchi,866,Club Nacional,Goalkeeper,20,Uruguay,0,1,2,4,21,3,270,0,0,0,0,1,0,2025,2025
1414578,Roman Clematte,866,Club Nacional,Left-Back,18,Uruguay,0,2,2,5,17,6,444,0,0,0,0,0,3,2024,2025
495689,Julián Millán,866,Club Nacional,Centre-Back,28,Colombia,0,11,7,22,389,246,20787,16,4,59,14,33,0,2015,2025
1523888,Federico Pedrouzo,866,Club Nacional,Centre-Back,20,Uruguay,0,1,2,2,4,3,270,0,0,0,0,0,0,2025,2025
