competition_id,n_players_with_match
ZYP1,593
CPO1,578
FS,438
ELQ,285
ECLQ,244
ZYPM,240
ZYPA,227
U21Q,214
CLQ,209
U19Q,205
CYP2,184
EL,181
U17Q,180
CYSC,177
UCOL,173
1CY2,109
19YL,100
CL,91
WMQ6,86
GRP,84
GR1,78
EMQ,76
POPO,66
PO1,61
POCP,56
UNLC,54
CDR,50
2CYP,45
AFCQ,45
WMQ2,43
PO2,42
S1PO,41
FRC,39
CIT,39
ES2,37
NLP,37
17EU,37
GRS2,36
FAC,36
UNPO,35
PLIC,35
AFCN,35
NL1,34
POGR,34
BRC,33
CGB,32
BE1,31
IT1,31
CCB,30
FR2,28
NL2,28
BU1,28
TRP,28
ES1,28
FRL,27
CS,27
FIWC,27
BRA1,26
SER1,26
GR20,25
DFB,25
IT2,25
BULP,25
ES2P,24
KR1,24
KRC,24
PT23,23
FR1,23
CLI,23
GB21,23
GB1,23
SERP,23
TR1,23
BRA2,22
GB2,22
19EU,21
21EU,21
SE1,20
SEC,20
20WC,20
CITP,20
EURO,20
SPjr,19
ES3C,19
POPU,19
CHAN,19
PL1,19
UNLB,19
ISR1,18
RO1,18
POWM,18
ofb,17
ISPO,17
SU20,17
ZYPP,17
ES3A,16
L2,16
L1,16
CB20,15
EJPL,15
BIHP,15
BOS1,15
ROMP,15
SER2,15
GBFL,15
A1,14
S2PA,14
NLJB,14
BRA3,14
RUP,14
FAYC,14
21PL,14
SCC,14
C1,14
AA17,14
S2PO,14
BRNE,14
POSB,14
NLBE,14
UNGP,14
ES3B,13
IJ1,13
TDV,13
UNG1,13
NLAJ,12
POBE,12
FRR1,12
ISRA,12
E3G2,12
PON2,12
ES1P,12
A2,12
SL1,12
DKP,12
CN2A,11
BRPR,11
BE2,11
PTPR,11
AR1N,11
GB18,11
SCP,11
SFA,11
SKC,11
SA1,11
WRPO,11
WER1,11
KAS1,11
RU1,11
17WC,11
KR2,11
SLP,11
FRYC,11
SR1C,11
SC1,11
PONL,11
C20P,10
ES3D,10
BRCM,10
PT3A,10
UKR1,10
UKRP,10
SLO1,10
KAZP,10
E3G1,10
L3,10
BESC,10
AFCL,10
POEM,10
DK1,10
NLBV,10
UNLA,10
GR2,9
PL2,9
ARY3,9
ARCA,9
POSU,9
SAKC,9
ITJ2,9
BCP1,9
RLW3,9
RO1R,9
MWP1,9
C3NO,9
ATRO,8
CN2D,8
P3As,8
BRCG,8
AZ1,8
18GB,8
PTRL,8
ISRF,8
NOPO,8
ITJE,8
TR2,8
SCPM,8
DKRE,8
KLUB,8
NLAE,8
NLSC,8
SE2,8
OLYM,8
MO1N,8
GB3,8
GESC,7
MEXA,7
FR3,7
CN2B,7
CAFC,7
ASPK,7
RU2,7
CDLP,7
E3PL,7
BRSC,7
NO1,7
SLAR,7
GRPL,7
MLSP,7
JGD2,7
HRSC,7
BRNF,7
C3IF,7
NLJV,7
CILP,7
ARCP,7
PLSC,7
NLBA,7
P23Q,6
23AC,6
P2RL,6
ACL2,6
C3BF,6
ARGC,6
IND1,6
BRA4,6
THFA,6
THA1,6
ISR2,6
NO2,6
CHFA,6
CSL,6
C2,6
MLS1,6
GE1N,6
CEF1,6
IJ2A,6
P232,6
BRCB,6
FI1,6
ALBP,6
ALB1,6
ACL,6
BCPF,6
L1PO,6
DKMR,6
RECO,6
NLBB,6
NLVB,6
POCC,6
POLL,6
FIS,6
CN2C,5
ARM1,5
ARPO,5
BRPE,5
VIE1,5
C3PL,5
FRR2,5
LET1,5
CLPI,5
ARG2,5
TSP,5
TS1,5
CHPR,5
MAL1,5
SSC,5
UZ1,5
UN2,5
SK2,5
GEP1,5
ITJ5,5
ITJF,5
BUEL,5
JGD3,5
AJ2,5
AUS1,5
MAZ1,5
MALC,5
DKRQ,5
CONC,5
BRRS,5
BULS,5
NLEV,5
S21N,5
ITJ4,5
P3Au,5
SE3N,5
ESJP,5
C3HF,5
C3NA,5
IN1L,5
USMX,5
F19F,5
brti,4
VPO1,4
20AC,4
LETP,4
ARG1,4
TS2,4
E21P,4
E3FD,4
INDP,4
INSC,4
THLC,4
SWEP,4
OBLB,4
AJ3,4
BE2E,4
RLN3,4
2SAM,4
A1EL,4
BRNP,4
SLMR,4
RO1C,4
SCI,4
SAM7,4
S21P,4
DFBJ,4
JEMP,4
NLBJ,4
SB19,4
PUSB,4
F19B,4
FRCH,4
BRCF,4
IT3B,4
ITJ1,4
POUS,4
MOP2,4
MAR1,4
MARP,4
BI19,4
ITJ3,4
GOCU,4
WMQ3,4
510,4
GB4,4
ROPC,4
SR1R,4
POMX,4
C3VL,4
IT3A,4
DK2,4
SCPA,4
BU2,4
P23A,3
P23F,3
COLP,3
COPO,3
COLF,3
COL1,3
COLO,3
C3BR,3
C3GE,3
ARLC,3
CLPF,3
URU1,3
URUC,3
URU2,3
CPP2,3
CDCO,3
INDC,3
SA2L,3
BRCR,3
BRAL,3
G2SC,3
WRSP,3
CHUC,3
CH18,3
E3FA,3
USL,3
BJ3,3
NP34,3
UKRS,3
KOBU,3
VZ1A,3
VZ1C,3
IT4C,3
ITC4,3
BCP2,3
ATRM,3
SL2,3
ACQU,3
RKPO,3
ALPO,3
NMAP,3
KO1,3
KOP1,3
SCIJ,3
F19D,3
DKAR,3
JUSÖ,3
S21S,3
AFAC,3
JAP1,3
WMQ1,3
BRMS,3
C3CM,3
SB17,3
SE3S,3
RESE,3
212S,3
UEFA,3
SCBR,3
ITJ7,3
NTD,3
BJ2,3
CLO,3
GR2O,3
POG3,3
NLAP,3
BRC2,3
PLZJ,3
NEDC,3
E3FI,3
UEQ,3
GCQU,3
CNNF,3
CNLA,3
TRS,3
ACLE,3
SAM2,3
AUSF,3
E3PP,3
E4G2,3
UAEP,3
IT3P,3
MEX1,3
POME,3
FJE,3
FI3B,3
BRVE,3
NLBP,3
RSER,3
REKR,3
E4G3,3
A23Q,3
F1CC,3
FIL,3
CLIY,2
CPSB,2
MXSC,2
MXCA,2
MEXB,2
CPP1,2
CDCA,2
URP1,2
URUI,2
UKRA,2
AC2Q,2
SC1P,2
SC2,2
WER2,2
CHC1,2
CHC2,2
BASU,2
GEO2,2
USLC,2
L2PO,2
RLB3,2
HEPO,2
AJ1,2
BJ1,2
UKRM,2
AJ17,2
JGD,2
CR19,2
ATRW,2
A4V,2
RO2,2
LIB1,2
GE2P,2
RSK2,2
RUJL,2
KAZA,2
ITJP,2
JAPC,2
EJPD,2
ALPS,2
AR2T,2
LET2,2
ROMS,2
PVCR,2
CA16,2
USC,2
GBCS,2
COPA,2
WMQ4,2
BRCE,2
UNFI,2
RSK1,2
URU3,2
AJ,2
GHPL,2
CZ3C,2
CSSP,2
CZ21,2
T1MR,2
17AC,2
GR2S,2
MNE1,2
MNEC,2
DKPL,2
211F,2
POT2,2
PL31,2
SFA1,2
TELK,2
SFAL,2
NRPO,2
WFPO,2
MRPO,2
BAPO,2
PL2L,2
ACEQ,2
ES3P,2
IJ2B,2
IRLP,2
CH1C,2
CLPD,2
VZ1L,2
E4G5,2
EGYP,2
EGY1,2
211S,2
RLSW,2
E4G1,2
FFAC,2
UALC,2
UAE1,2
IT3C,2
CCL,2
CNAT,2
RS2f,2
FI3A,2
DK2P,2
FARQ,2
BRGO,2
181F,2
181S,2
212F,2
RUSR,2
MYSP,2
MYC1,2
MYS1,2
RORE,2
F19A,2
INPP,2
C3P2,2
MT1N,2
MT1P,2
GR2N,2
GR2T,2
E4G4,2
SUC,2
EST1,2
ESTP,2
SPAU,2
SEA1,2
23AF,2
MARG,2
