player_id,player_name,current_team_id,current_team_name,current_position,current_age,nationality,shirt_number,career_seasons,career_clubs,career_competitions,career_matches_in_squad,career_matches_played,career_minutes,career_goals,career_assists,career_shots_total,career_shots_on_goal,career_yellow_cards,career_national_team_matches,first_season,last_season
982545,Lucas Flores,4590,Ethnikos Achnas,Goalkeeper,23,Brazil,40,7,5,15,223,95,8579,0,0,0,0,18,0,2019,2025
1472636,Markos Adoni,4590,Ethnikos Achnas,Goalkeeper,16,Cyprus,0,1,1,2,29,0,0,0,0,0,0,0,0,2025,2025
479213,Ioakim Toumpas,4590,Ethnikos Achnas,Goalkeeper,27,Cyprus,38,10,3,14,404,55,4819,0,0,0,0,6,0,2017,2026
993874,Nikitas Papakonstantinou,1402,Olympiakos Nicosia,Goalkeeper,18,Cyprus,0,6,3,5,51,8,536,0,0,0,0,0,7,2021,2026
1190827,Ilyas Papanikolaou Baig,4590,Ethnikos Achnas,Goalkeeper,21,Cyprus,0,4,4,5,96,6,495,0,0,0,0,0,0,2022,2025
560465,Emmanuel Lomotey,4590,Ethnikos Achnas,Centre-Back,28,Ghana,12,9,5,19,362,206,14998,10,4,34,6,43,11,2017,2025
534471,Patrick Bahanack,4590,Ethnikos Achnas,Centre-Back,28,Cameroon,29,9,7,15,321,152,11715,3,4,1,0,27,0,2017,2025
941388,Georgios Nikolas Angelopoulos,2784,APOEL Nicosia,Centre-Back,22,Cyprus,4,6,2,8,175,95,5507,0,1,0,0,16,16,2021,2026
379782,Marios Pechlivanis,1402,Olympiakos Nicosia,Left-Back,31,Cyprus,23,15,10,12,415,242,14892,20,11,0,0,18,2,2012,2026
341025,Paris Psaltis,4590,Ethnikos Achnas,Right-Back,29,Cyprus,24,13,8,17,508,272,18561,5,8,4,1,37,20,2014,2026
198484,Richard Ofori,4590,Ethnikos Achnas,Left-Back,33,Ghana,37,15,9,14,558,217,15638,1,4,5,1,64,0,2011,2025
236447,Marios Dimitriou,4590,Ethnikos Achnas,Right-Back,33,Cyprus,14,15,8,10,524,136,8257,6,7,1,0,20,4,2012,2026
1263850,Andreas Soulis,16024,Omonia Aradippou,Defensive Midfield,19,Cyprus,2,4,2,3,74,1,3,0,0,0,0,0,0,2023,2026
700680,Luis Felipe,4590,Ethnikos Achnas,Centre-Back,24,Brazil,5,8,9,18,295,103,6647,1,0,11,3,18,0,2019,2026
1509206,Giorgos Andreou,4590,Ethnikos Achnas,Centre-Back,17,Cyprus,4,2,1,3,20,2,5,0,0,0,0,0,0,2025,2026
653427,Martim Maia,4590,Ethnikos Achnas,Defensive Midfield,27,Portugal,8,8,9,16,286,148,9325,6,9,6,3,27,0,2018,2025
339543,Giorgos Papageorgiou,786,AEL Limassol,Central Midfield,29,Cyprus,30,12,4,10,338,216,12269,15,22,0,0,14,7,2013,2026
292820,Aloïs Confais,18945,Nea Salamina Famagusta,Defensive Midfield,30,France,27,15,9,18,495,302,21904,3,4,26,6,45,8,2011,2026
262951,Neneco,4590,Ethnikos Achnas,Defensive Midfield,30,Colombia,77,14,13,25,644,274,16222,9,4,84,21,57,2,2012,2025
497156,Bautista Cejas,4590,Ethnikos Achnas,Attacking Midfield,28,Argentina,0,10,8,20,422,180,7848,15,13,40,10,17,0,2016,2025
490297,Mamadou Kané,4590,Ethnikos Achnas,Defensive Midfield,29,Guinea,36,11,9,25,363,210,14408,10,7,6,0,51,26,2009,2026
215457,Pablo González,4590,Ethnikos Achnas,Attacking Midfield,32,Spain,17,16,11,21,586,383,24883,53,14,134,50,74,0,2011,2026
537859,Andriy Kravchuk,4590,Ethnikos Achnas,Central Midfield,27,Ukraine,0,8,6,15,239,118,7293,7,14,7,3,14,4,2018,2025
