player_id,player_name,game_date_utc,season,competition_id,competition_type_id,is_national_team,game_id,game_day,club_id,venue,opponent_club_id,club_goals,opponent_goals,participation_state,shirt_number,position_id,is_captain,played_minutes,goals,assists,shots_total,shots_on_goal,shots_off_goal,shots_blocked,yellow_card_minute,substituted_in_minute,substituted_out_minute,injury_id,absence_id
1328089,Javi Navarro,2026-08-30T15:00:00+00:00,2026,ES1,1,False,4909485,3,418,home,1084,4,0,in squad,31,,False,0,0,0,0,0,0,0,,,,0,0
973314,Sergio Mestre,2026-08-26T19:00:00+00:00,2026,ES1,1,False,4909447,1,418,home,681,4,1,in squad,26,,False,0,0,0,0,0,0,0,,,,0,0
973314,Sergio Mestre,2026-08-22T19:30:00+00:00,2026,ES1,1,False,4909472,2,418,away,714,2,1,in squad,26,,False,0,0,0,0,0,0,0,,,,0,0
1055220,Fran González,2026-08-29T19:30:00+00:00,2026,ES1,1,False,4909487,3,368,home,13,1,3,in squad,13,,False,0,0,0,0,0,0,0,,,,0,0
1055220,Fran González,2026-08-22T15:00:00+00:00,2026,ES1,1,False,4909468,2,368,away,621,3,1,in squad,13,,False,0,0,0,0,0,0,0,,,,0,0
1055220,Fran González,2026-08-15T19:30:00+00:00,2026,ES1,1,False,4909448,1,368,home,367,2,1,in squad,13,,False,0,0,0,0,0,0,0,,,,0,0
1186245,Víctor Valdepeñas,2026-08-29T16:30:00+00:00,2026,IT1,1,False,4893355,2,430,home,8970,0,3,played,21,4,False,90,0,0,0,0,0,0,,,,0,0
1186245,Víctor Valdepeñas,2026-08-24T18:45:00+00:00,2026,IT1,1,False,4893349,1,430,away,12,0,4,played,21,4,False,10,0,0,0,0,0,0,,80,,0,0
1186245,Víctor Valdepeñas,2026-08-14T19:15:00+00:00,2026,CIT,8,False,4904469,2,430,home,4171,4,1,played,21,4,False,90,0,0,0,0,0,0,,,,0,0
940464,Manu Serrano,2026-08-29T17:15:00+00:00,2026,E3G1,3,False,4909741,1,11603,away,46854,0,1,played,24,3,False,83,0,0,0,0,0,0,,,83,0,0
1176520,Mario Rivas,2026-08-30T15:00:00+00:00,2026,ES1,1,False,4909485,3,418,home,1084,4,0,in squad,33,,False,0,0,0,0,0,0,0,,,,0,0
1176520,Mario Rivas,2026-08-26T19:00:00+00:00,2026,ES1,1,False,4909447,1,418,home,681,4,1,in squad,33,,False,0,0,0,0,0,0,0,,,,0,0
1176520,Mario Rivas,2026-08-22T19:30:00+00:00,2026,ES1,1,False,4909472,2,418,away,714,2,1,in squad,33,,False,0,0,0,0,0,0,0,,,,0,0
1375227,Thiago Pitarch,2026-08-30T15:00:00+00:00,2026,ES1,1,False,4909485,3,418,home,1084,4,0,injured,,,False,0,0,0,0,0,0,0,,,,126,0
1375227,Thiago Pitarch,2026-08-26T19:00:00+00:00,2026,ES1,1,False,4909447,1,418,home,681,4,1,injured,,,False,0,0,0,0,0,0,0,,,,126,0
1375227,Thiago Pitarch,2026-08-22T19:30:00+00:00,2026,ES1,1,False,4909472,2,418,away,714,2,1,injured,,,False,0,0,0,0,0,0,0,,,,126,0
948272,César Palacios,2026-08-30T13:00:00+00:00,2026,GB1,1,False,4899200,2,931,away,289,0,1,played,8,9,False,77,0,0,1,0,1,0,59,,77,0,0
948272,César Palacios,2026-08-27T19:00:00+00:00,2026,CGB,14,False,5016489,3,931,home,3884,3,0,played,8,0,False,17,0,0,0,0,0,0,,73,,0,0
948272,César Palacios,2026-08-24T19:00:00+00:00,2026,GB1,1,False,4899191,1,931,home,631,2,3,played,8,11,False,73,0,0,2,0,1,1,,,73,0,0
1186235,Jorge Cestero,2026-08-30T15:00:00+00:00,2026,ES1,1,False,4909485,3,418,home,1084,4,0,in squad,29,,False,0,0,0,0,0,0,0,,,,0,0
1186235,Jorge Cestero,2026-08-26T19:00:00+00:00,2026,ES1,1,False,4909447,1,418,home,681,4,1,in squad,29,,False,0,0,0,0,0,0,0,,,,0,0
1186235,Jorge Cestero,2026-08-22T19:30:00+00:00,2026,ES1,1,False,4909472,2,418,away,714,2,1,in squad,29,,False,0,0,0,0,0,0,0,,,,0,0
646824,Manuel Ángel,2026-08-22T15:00:00+00:00,2026,ES1,1,False,4909468,2,368,away,621,0,0,in squad,26,0,False,0,0,0,0,0,0,0,,,,0,0
668182,Bruno Iglesias,2026-08-29T12:30:00+00:00,2026,UKR1,1,False,4974423,4,85465,away,86209,1,1,played,21,10,False,15,0,0,0,0,0,0,,75,,0,0
668182,Bruno Iglesias,2026-08-22T15:00:00+00:00,2026,UKRP,8,False,4985631,1,85465,home,39097,2,0,played,21,0,False,19,1,0,0,0,0,0,,71,,0,0
668182,Bruno Iglesias,2026-08-15T15:00:00+00:00,2026,UKR1,1,False,4974316,3,85465,home,21903,3,0,played,21,10,False,31,0,0,0,0,0,0,,59,,0,0
