player_id,player_name,season,competition_id,club_id,is_national_team,matches_total,matches_played,matches_injured_absent,minutes,goals,assists,shots_total,shots_on_goal,yellow_cards
1365581,James Bailey,2026,ECLQ,3909,False,1,0,0,0,0,0,0,0,0
1299765,Callum Doherty,2026,NIR2,47059,False,4,2,0,74,0,0,0,0,0
1299765,Callum Doherty,2026,ELQ,920,False,2,0,0,0,0,0,0,0,0
1475565,Shea Callister,2026,NIR1,21532,False,3,3,0,270,0,0,0,0,0
1475565,Shea Callister,2026,ELQ,920,False,2,0,0,0,0,0,0,0,0
957309,Jason Healy,2026,NIR2,41137,False,4,3,0,270,0,0,0,0,0
1226933,Zak Reddy,2026,CLQ,3258,False,3,0,0,0,0,0,0,0,0
683665,Rob Slevin,2026,NIR1,3831,False,3,3,0,270,0,0,0,0,0
683665,Rob Slevin,2026,ELQ,920,False,2,1,0,83,0,0,0,0,0
683665,Rob Slevin,2026,ECLQ,920,False,2,0,0,0,0,0,0,0,0
596142,Wessel Speel,2026,NL2,723,False,3,3,0,270,0,0,0,0,0
596142,Wessel Speel,2026,ECLQ,3909,False,2,0,0,0,0,0,0,0,0
546159,Will Fitzgerald,2026,ELQ,3258,False,2,2,0,180,0,0,0,0,0
546159,Will Fitzgerald,2026,ECLQ,3258,False,1,1,0,90,0,0,0,0,0
546159,Will Fitzgerald,2026,CLQ,3258,False,1,0,0,0,0,0,0,0,0
1110017,Jesse Dempsey,2026,GB4,11177,False,2,0,0,0,0,0,0,0,0
1110017,Jesse Dempsey,2026,CGB,11177,False,1,0,0,0,0,0,0,0,0
1472548,Ryan Long,2026,NIR3,35843,False,3,0,0,0,0,0,0,0,0
1472548,Ryan Long,2026,ELQ,920,False,2,0,0,0,0,0,0,0,0
1472548,Ryan Long,2026,ECLQ,920,False,2,0,0,0,0,0,0,0,0
1260401,TJ Molloy,2026,NIR2,21930,False,4,2,0,160,0,0,0,0,0
478712,Ed McGinty,2026,ELQ,3258,False,2,2,0,180,0,0,0,0,0
478712,Ed McGinty,2026,ECLQ,3258,False,1,1,0,90,0,0,0,0,0
478712,Ed McGinty,2026,CLQ,3258,False,4,4,0,360,0,0,0,0,0
1134233,Alex Noonan,2026,U19Q,23102,True,3,3,0,270,0,0,0,0,0
1134233,Alex Noonan,2026,ELQ,3258,False,2,0,0,0,0,0,0,0,0
1134233,Alex Noonan,2026,ECLQ,3258,False,1,0,0,0,0,0,0,0,0
1134233,Alex Noonan,2026,CLQ,3258,False,4,0,0,0,0,0,0,0,0
217752,Lee Steacy,2026,ELQ,3258,False,2,0,0,0,0,0,0,0,0
217752,Lee Steacy,2026,ECLQ,3258,False,1,0,0,0,0,0,0,0,0
217752,Lee Steacy,2026,CLQ,3258,False,4,0,0,0,0,0,0,0,0
1366903,Todd Bazunu,2026,ELQ,3258,False,2,0,0,0,0,0,0,0,0
1366903,Todd Bazunu,2026,CLQ,3258,False,4,0,0,0,0,0,0,0,0
264193,Dan Cleary,2026,ELQ,3258,False,2,0,2,0,0,0,0,0,0
264193,Dan Cleary,2026,CLQ,3258,False,4,0,4,0,0,0,0,0,0
458633,Tunmise Sobowale,2026,ELQ,3258,False,2,2,0,135,0,0,0,0,0
458633,Tunmise Sobowale,2026,ECLQ,3258,False,1,1,0,80,0,0,0,0,0
458633,Tunmise Sobowale,2026,CLQ,3258,False,4,3,1,205,0,0,0,0,0
957327,Cory O'Sullivan,2026,ELQ,3258,False,2,0,0,0,0,0,0,0,0
957327,Cory O'Sullivan,2026,ECLQ,3258,False,1,0,0,0,0,0,0,0,0
957327,Cory O'Sullivan,2026,CLQ,3258,False,4,3,0,270,0,0,0,0,0
166158,Roberto Lopes,2026,ELQ,3258,False,2,2,0,180,1,0,0,0,0
166158,Roberto Lopes,2026,ECLQ,3258,False,1,1,0,90,0,0,0,0,0
166158,Roberto Lopes,2026,CLQ,3258,False,4,3,1,270,0,0,0,0,1
365180,Lee Grace,2026,ELQ,3258,False,2,1,0,45,0,0,0,0,0
365180,Lee Grace,2026,ECLQ,3258,False,1,1,0,90,0,0,0,0,0
365180,Lee Grace,2026,CLQ,3258,False,4,4,0,332,1,0,0,0,1
741232,Cian Barrett,2026,ELQ,3258,False,2,0,1,0,0,0,0,0,0
741232,Cian Barrett,2026,CLQ,3258,False,4,0,0,0,0,0,0,0,0
108878,Adam Matthews,2026,ELQ,3258,False,2,0,0,0,0,0,0,0,0
108878,Adam Matthews,2026,CLQ,3258,False,4,0,0,0,0,0,0,0,0
1124848,Luke O'Regan,2026,ELQ,3258,False,2,0,0,0,0,0,0,0,0
1124848,Luke O'Regan,2026,ECLQ,3258,False,1,0,0,0,0,0,0,0,0
1124848,Luke O'Regan,2026,CLQ,3258,False,4,2,0,49,0,0,0,0,0
85706,Enda Stevens,2026,ELQ,3258,False,2,2,0,160,0,0,0,0,1
85706,Enda Stevens,2026,ECLQ,3258,False,1,1,0,90,1,0,0,0,0
85706,Enda Stevens,2026,CLQ,3258,False,4,2,0,103,0,0,0,0,0
586628,Matthew Healy,2026,ELQ,3258,False,2,2,0,180,0,0,0,0,1
586628,Matthew Healy,2026,ECLQ,3258,False,1,1,0,90,0,0,0,0,0
586628,Matthew Healy,2026,CLQ,3258,False,4,3,1,238,1,0,0,0,2
217757,Jack Byrne,2026,ELQ,3258,False,2,2,0,167,1,1,0,0,0
217757,Jack Byrne,2026,ECLQ,3258,False,1,1,0,69,0,0,0,0,0
217757,Jack Byrne,2026,CLQ,3258,False,4,4,0,360,1,2,0,0,0
1260393,Victor Ozhianvuna,2026,ELQ,3258,False,2,0,2,0,0,0,0,0,0
1260393,Victor Ozhianvuna,2026,CLQ,3258,False,4,0,4,0,0,0,0,0,0
957295,Naj Razi,2026,ELQ,3258,False,2,1,1,21,0,0,0,0,0
957295,Naj Razi,2026,CLQ,3258,False,4,3,0,19,0,0,0,0,1
293783,Daniel Mandroiu,2026,ELQ,3258,False,2,2,0,41,0,0,0,0,0
293783,Daniel Mandroiu,2026,ECLQ,3258,False,1,1,0,21,0,0,0,0,0
293783,Daniel Mandroiu,2026,CLQ,3258,False,4,1,3,5,0,0,0,0,0
365201,Dylan Watts,2026,ELQ,3258,False,2,2,0,159,0,1,0,0,1
365201,Dylan Watts,2026,ECLQ,3258,False,1,1,0,90,0,0,0,0,0
365201,Dylan Watts,2026,CLQ,3258,False,4,4,0,316,1,2,0,0,1
577557,Danny Grant,2026,ELQ,3258,False,2,0,2,0,0,0,0,0,0
577557,Danny Grant,2026,CLQ,3258,False,4,0,4,0,0,0,0,0,0
1259889,Adam Brennan,2026,ELQ,3258,False,2,1,0,45,0,0,0,0,0
1259889,Adam Brennan,2026,ECLQ,3258,False,1,1,0,10,0,0,0,0,0
1259889,Adam Brennan,2026,CLQ,3258,False,4,4,0,337,0,1,0,0,0
485998,Connor Malley,2026,ELQ,3258,False,2,0,0,0,0,0,0,0,0
485998,Connor Malley,2026,CLQ,3258,False,4,1,0,13,0,0,0,0,0
1061560,John O'Sullivan,2026,ELQ,3258,False,2,1,0,13,0,0,0,0,0
1061560,John O'Sullivan,2026,ECLQ,3258,False,1,0,0,0,0,0,0,0,0
1061560,John O'Sullivan,2026,CLQ,3258,False,4,2,0,103,0,0,0,0,0
307513,Gary O'Neill,2026,ELQ,3258,False,2,0,0,0,0,0,0,0,0
307513,Gary O'Neill,2026,CLQ,3258,False,4,0,0,0,0,0,0,0,0
713240,John McGovern,2026,ELQ,3258,False,2,0,2,0,0,0,0,0,0
713240,John McGovern,2026,CLQ,3258,False,4,2,2,96,1,0,0,0,1
1134231,Michael Noonan,2026,ELQ,3258,False,2,0,0,0,0,0,0,0,0
1134231,Michael Noonan,2026,ECLQ,3258,False,1,1,0,22,0,0,0,0,0
1134231,Michael Noonan,2026,CLQ,3258,False,4,3,0,86,0,0,0,0,0
264206,Jake Mulraney,2026,ELQ,3258,False,2,2,0,109,0,0,0,0,0
264206,Jake Mulraney,2026,ECLQ,3258,False,1,0,0,0,0,0,0,0,0
264206,Jake Mulraney,2026,CLQ,3258,False,4,4,0,229,0,1,0,0,0
939272,Maleace Asamoah,2026,ELQ,3258,False,2,1,0,26,0,0,0,0,0
939272,Maleace Asamoah,2026,ECLQ,3258,False,1,0,0,0,0,0,0,0,0
939272,Maleace Asamoah,2026,CLQ,3258,False,4,1,0,18,0,0,0,0,0
177892,Graham Burke,2026,ELQ,3258,False,2,2,0,159,2,0,0,0,0
177892,Graham Burke,2026,ECLQ,3258,False,1,1,0,68,0,0,0,0,0
177892,Graham Burke,2026,CLQ,3258,False,4,4,0,327,1,0,0,0,0
444209,Jonathan Afolabi,2026,ELQ,3258,False,2,2,0,77,0,0,0,0,0
444209,Jonathan Afolabi,2026,ECLQ,3258,False,1,1,0,69,0,0,0,0,0
444209,Jonathan Afolabi,2026,CLQ,3258,False,4,3,0,49,0,0,0,0,1
1134229,Max Kovalevskis,2026,ELQ,3258,False,2,0,0,0,0,0,0,0,0
1134229,Max Kovalevskis,2026,CLQ,3258,False,4,0,0,0,0,0,0,0,0
184007,Rory Gaffney,2026,ELQ,3258,False,2,0,2,0,0,0,0,0,0
184007,Rory Gaffney,2026,CLQ,3258,False,4,0,4,0,0,0,0,0,0
1226935,Eric Koufie,2026,ELQ,3258,False,2,0,0,0,0,0,0,0,0
1226935,Eric Koufie,2026,CLQ,3258,False,4,0,0,0,0,0,0,0,0
122407,Aaron Greene,2026,ELQ,3258,False,2,2,0,103,0,0,0,0,0
122407,Aaron Greene,2026,ECLQ,3258,False,1,1,0,21,0,0,0,0,0
122407,Aaron Greene,2026,CLQ,3258,False,4,2,0,144,1,1,0,0,0
1380362,Ben Mahon,2026,ELQ,3258,False,2,0,0,0,0,0,0,0,0
1380362,Ben Mahon,2026,ECLQ,3258,False,1,0,0,0,0,0,0,0,0
1380362,Ben Mahon,2026,CLQ,3258,False,4,0,0,0,0,0,0,0,0
1165129,Luke Cullen,2026,U19Q,23102,True,3,0,0,0,0,0,0,0,0
1109570,Egor Vassenin,2026,CLQ,3258,False,2,0,0,0,0,0,0,0,0
320897,Kacper Chorazka,2026,ECLQ,9211,False,6,0,0,0,0,0,0,0,0
1001936,Paul Walters,2026,ECLQ,9211,False,6,6,0,570,0,0,0,0,0
1260710,Finn McDonnell,2026,U19Q,28031,True,2,2,0,180,0,0,0,0,0
1260710,Finn McDonnell,2026,ECLQ,9211,False,6,0,0,0,0,0,0,0,0
1033923,Patrick Hickey,2026,ECLQ,9211,False,6,6,0,557,1,0,0,0,0
983810,Senan Mullen,2026,ECLQ,9211,False,6,5,0,310,0,0,1,1,0
683670,Darragh Power,2026,ECLQ,9211,False,6,5,0,403,0,0,1,0,1
334703,Jordan Flores,2026,ECLQ,9211,False,6,6,0,552,0,0,0,0,1
451942,Sam Todd,2026,ECLQ,9211,False,6,5,0,480,0,0,0,0,1
434217,Ryan Burke,2026,ECLQ,9211,False,6,0,0,0,0,0,0,0,0
867909,Harry Vaughan,2026,ECLQ,9211,False,6,6,0,228,0,0,1,0,0
623740,Ross Tierney,2026,ECLQ,9211,False,6,6,0,536,1,0,2,0,1
683530,Dawson Devoy,2026,ECLQ,9211,False,6,6,0,570,0,1,1,0,2
585658,Niall Morahan,2026,ECLQ,9211,False,6,3,0,123,0,1,0,0,0
314365,Sadou Diallo,2026,ECLQ,9211,False,6,4,0,160,0,1,1,0,1
1121731,Markuss Strods,2026,ECLQ,9211,False,6,5,0,217,0,0,0,0,0
633654,Josh Adam,2026,ECLQ,9211,False,2,0,0,0,0,0,0,0,0
251822,Adam McDonnell,2026,ECLQ,9211,False,6,4,0,193,0,0,0,0,1
1226925,Rhys Brennan,2026,ECLQ,9211,False,5,0,0,0,0,0,0,0,0
527294,Cian Byrne,2026,ECLQ,9211,False,6,5,0,245,0,0,0,0,0
1339597,Christopher Conlon,2026,ECLQ,9211,False,6,0,0,0,0,0,0,0,0
535670,Colm Whelan,2026,ECLQ,9211,False,6,5,0,208,0,0,0,0,0
814340,Douglas James-Taylor,2026,ECLQ,9211,False,6,6,0,393,3,1,3,2,1
491629,Dayle Rooney,2026,ECLQ,9211,False,6,6,0,234,1,1,1,1,2
906411,Zane Myers,2026,ECLQ,9211,False,6,1,0,33,1,0,2,1,0
504198,Connor Parsons,2026,ECLQ,9211,False,6,5,0,259,1,0,1,1,2
92488,Paddy Madden,2026,ECLQ,9211,False,1,0,0,0,0,0,0,0,0
1380190,Hugh Martin,2026,ECLQ,9211,False,6,0,0,0,0,0,0,0,0
1380363,Josh Harpur,2026,ECLQ,9211,False,6,0,0,0,0,0,0,0,0
434205,Brian Maher,2026,ELQ,920,False,2,2,0,180,0,0,0,0,0
434205,Brian Maher,2026,ECLQ,920,False,2,2,0,180,0,0,0,0,0
828171,Tom Norcott,2026,ELQ,920,False,2,0,0,0,0,0,0,0,0
828171,Tom Norcott,2026,ECLQ,920,False,2,0,0,0,0,0,0,0,0
490854,Barry Cotter,2026,ELQ,920,False,2,2,0,180,0,0,0,0,1
