player_id,player_name,game_date_utc,season,competition_id,competition_type_id,is_national_team,game_id,game_day,club_id,venue,opponent_club_id,club_goals,opponent_goals,participation_state,shirt_number,position_id,is_captain,played_minutes,goals,assists,shots_total,shots_on_goal,shots_off_goal,shots_blocked,yellow_card_minute,substituted_in_minute,substituted_out_minute,injury_id,absence_id
1191069,Louis Buffon,2026-03-31T10:00:00+00:00,2026,U19Q,20,True,4825256,3,21102,away,20794,1,1,not in squad,,,False,0,0,0,0,0,0,0,,,,0,0
1191069,Louis Buffon,2026-03-28T16:00:00+00:00,2026,U19Q,20,True,4825227,2,21102,away,21233,3,1,not in squad,,,False,0,0,0,0,0,0,0,,,,0,0
726526,Stefan Mitrović,2026-07-19T17:00:00+00:00,2026,SER1,1,False,4936433,1,448,home,53,4,0,in squad,7,,False,0,0,0,0,0,0,0,,,,0,0
726526,Stefan Mitrović,2026-07-16T18:15:00+00:00,2026,ELQ,10,False,4897224,2,448,away,279,0,3,played,7,0,False,14,0,0,0,0,0,0,,76,,0,0
726526,Stefan Mitrović,2026-07-09T18:00:00+00:00,2026,ELQ,10,False,4897218,1,448,home,279,1,2,played,7,9,False,63,0,0,1,1,0,0,,,63,0,0
883055,Matteo Duțu,2026-07-19T16:30:00+00:00,2026,RO1,1,False,4912996,1,312,away,9465,0,1,in squad,30,,False,0,0,0,0,0,0,0,,,,0,0
568617,Răzvan Sava,2026-07-18T18:15:00+00:00,2026,RO1,1,False,4912994,1,40812,home,952,4,0,played,90,1,False,90,0,0,0,0,0,0,,,,0,0
568617,Răzvan Sava,2026-07-15T17:30:00+00:00,2026,CLQ,10,False,4897207,2,40812,home,36596,1,0,in squad,90,,False,0,0,0,0,0,0,0,,,,0,0
568617,Răzvan Sava,2026-07-12T17:30:00+00:00,2026,ROMS,9,False,4924498,1,40812,home,6429,6,4,played,90,1,False,90,0,0,0,0,0,0,,,,0,0
568617,Răzvan Sava,2026-07-08T17:00:00+00:00,2026,CLQ,10,False,4897193,1,40812,neutral,36596,4,1,in squad,90,,False,0,0,0,0,0,0,0,,,,0,0
1210116,Abdoulaye Camara,2026-03-31T16:30:00+00:00,2026,U19Q,20,True,4825262,3,23101,away,19429,3,2,played,6,6,True,90,0,0,0,0,0,0,90,,,0,0
1289670,Rendijs Mihelsons,2026-05-21T09:00:00+00:00,2026,U19Q,20,True,4825276,3,28426,away,26373,0,0,in squad,12,,False,0,0,0,0,0,0,0,,,,0,0
1289670,Rendijs Mihelsons,2026-05-18T09:00:00+00:00,2026,U19Q,20,True,4825273,2,28426,away,25960,1,1,played,12,1,False,90,0,0,0,0,0,0,,,,0,0
1009622,Alin Kumer Celik,2026-07-20T18:30:00+00:00,2026,RO1,1,False,4912998,1,455,home,54585,1,0,not in squad,,,False,0,0,0,0,0,0,0,,,,0,0
