player_id,player_name,season,competition_id,club_id,is_national_team,matches_total,matches_played,matches_injured_absent,minutes,goals,assists,shots_total,shots_on_goal,yellow_cards
686717,Denis Pintol,2026,SL1,4772,False,2,0,0,0,0,0,0,0,0
300340,Matej Markovic,2026,ECLQ,1008,False,1,1,0,90,0,0,0,0,0
450290,Antonio Bosec,2026,SL1,21460,False,2,2,0,157,0,0,0,0,0
615107,Antonio Djakovic,2026,ECLQ,6808,False,1,0,0,0,0,0,0,0,0
844946,Moreno Zivkovic,2026,ECLQ,144,False,1,0,0,0,0,0,0,0,0
828467,Paul Tabinas,2026,CLQ,419,False,1,0,0,0,0,0,0,0,0
663189,Eniss Shabani,2026,PL1,759,False,1,1,0,15,0,0,0,0,0
217751,Jakov Puljic,2026,ECLQ,144,False,1,0,0,0,0,0,0,0,0
1249161,Simun Butic,2026,SL1,4059,False,2,2,0,119,0,0,0,0,0
1009487,Lovre Loncar,2026,ELQ,447,False,2,0,0,0,0,0,0,0,0
1173475,Roko Domjanic,2026,ECLQ,599,False,1,0,0,0,0,0,0,0,0
205927,Dominik Livakovic,2026,CLQ,36,False,1,0,1,0,0,0,0,0,0
261988,Filip Krovinovic,2026,ELQ,447,False,3,0,0,0,0,0,0,0,0
293185,Ivan Nevistic,2026,CLQ,419,False,1,0,0,0,0,0,0,0,0
587505,Nikola Cavlina,2026,PL1,30974,False,1,0,0,0,0,0,0,0,0
1137943,Antonio Rajic,2026,U19Q,17379,True,3,0,0,0,0,0,0,0,0
1137943,Antonio Rajic,2026,CLQ,419,False,1,0,0,0,0,0,0,0,0
234187,Ivan Filipovic,2026,CLQ,419,False,1,1,0,90,0,0,0,0,0
1009621,Tai Znuderl,2026,U19Q,21142,True,3,0,0,0,0,0,0,0,0
741258,Sergi Domínguez,2026,CLQ,419,False,1,1,0,90,0,0,0,0,0
131310,Danijel Zagorac,2026,CLQ,419,False,1,0,0,0,0,0,0,0,0
528835,Niko Galesic,2026,CLQ,419,False,1,0,0,0,0,0,0,0,0
255906,Scott McKenna,2026,CLQ,419,False,1,1,0,90,0,0,3,1,0
631222,Raúl Torrente,2026,CLQ,419,False,1,0,0,0,0,0,0,0,0
920283,Matteo Pérez Vinlöf,2026,CLQ,419,False,1,0,0,0,0,0,0,0,0
502686,Moris Valincic,2026,CLQ,419,False,1,1,0,90,0,0,1,1,0
1137274,Leon Jakirović,2026,U19Q,17379,True,3,3,0,249,0,0,0,0,1
414956,Bruno Goda,2026,CLQ,419,False,1,1,0,90,0,0,0,0,0
1107315,Noa Mikic,2026,U19Q,17379,True,3,0,0,0,0,0,0,0,0
1107315,Noa Mikic,2026,CLQ,419,False,1,0,0,0,0,0,0,0,0
1121428,Marko Zebic,2026,U19Q,17379,True,3,0,0,0,0,0,0,0,0
1121428,Marko Zebic,2026,CLQ,419,False,1,0,0,0,0,0,0,0,0
1071997,Nikola Radnic,2026,U19Q,17379,True,3,2,0,47,0,0,0,0,1
665266,Luka Stojkovic,2026,CLQ,419,False,1,0,1,0,0,0,0,0,0
623825,Marko Soldo,2026,TS1,2311,False,1,1,0,60,0,0,0,0,0
1009603,Sven Sunta,2026,U19Q,21142,True,3,0,0,0,0,0,0,0,0
1009603,Sven Sunta,2026,CLQ,419,False,1,0,0,0,0,0,0,0,0
227035,Josip Misic,2026,CLQ,419,False,1,1,0,90,0,0,2,0,0
149829,Miha Zajc,2026,CLQ,419,False,1,1,0,90,1,0,3,1,1
339584,Robert Mudrazija,2026,CLQ,419,False,1,0,0,0,0,0,0,0,0
618350,Dion Beljo,2026,CLQ,419,False,1,1,0,90,0,0,1,1,0
604327,Gabriel Vidovic,2026,CLQ,419,False,1,1,0,80,0,0,2,0,0
854382,Mounsef Bakrar,2026,CLQ,419,False,1,0,0,0,0,0,0,0,0
458367,Arbër Hoxha,2026,CLQ,419,False,1,1,0,25,0,0,0,0,0
665275,Mateo Lisica,2026,CLQ,419,False,1,1,0,65,0,0,3,0,1
927306,Fran Topic,2026,CLQ,419,False,1,1,0,10,0,1,1,0,0
