player_id,player_name,game_date_utc,season,competition_id,competition_type_id,is_national_team,game_id,game_day,club_id,venue,opponent_club_id,club_goals,opponent_goals,participation_state,shirt_number,position_id,is_captain,played_minutes,goals,assists,shots_total,shots_on_goal,shots_off_goal,shots_blocked,yellow_card_minute,substituted_in_minute,substituted_out_minute,injury_id,absence_id
639390,Facundo Almada,2026-07-22T01:00:00+00:00,2026,MEXA,1,False,4904186,2,5662,away,3711,1,2,played,5,3,False,90,0,0,2,1,0,1,,,,0,0
639390,Facundo Almada,2026-07-18T03:00:00+00:00,2026,MEXA,1,False,4895111,1,5662,away,49283,1,0,played,5,3,False,90,0,0,2,0,2,0,,,,0,0
371167,André Alcaráz,2026-07-23T17:00:00+00:00,2026,ECLQ,10,False,4897986,3,10854,home,170,1,3,played,12,1,False,90,0,0,0,0,0,0,,,,0,0
371167,André Alcaráz,2026-07-16T17:00:00+00:00,2026,ECLQ,10,False,4897255,2,10854,home,62026,3,0,played,12,1,False,90,0,0,0,0,0,0,,,,0,0
371167,André Alcaráz,2026-07-09T18:45:00+00:00,2026,ECLQ,10,False,4897229,1,10854,away,62026,1,0,played,12,1,False,90,0,0,0,0,0,0,,,,0,0
354666,Shamar Nicholson,2026-07-26T12:00:00+00:00,2026,WRPO,8,False,4953861,5,36596,away,1180,0,0,not in squad,,,False,0,0,0,0,0,0,0,,,,0,0
354666,Shamar Nicholson,2026-07-23T17:00:00+00:00,2026,ECLQ,10,False,4945484,3,36596,neutral,3070,3,0,in squad,11,,False,0,0,0,0,0,0,0,,,,0,0
354666,Shamar Nicholson,2026-07-15T17:30:00+00:00,2026,CLQ,10,False,4897207,2,36596,away,40812,0,1,played,11,14,False,14,0,0,0,0,0,0,,76,,0,0
354666,Shamar Nicholson,2026-07-08T17:00:00+00:00,2026,CLQ,10,False,4897193,1,36596,neutral,40812,1,4,played,11,14,False,27,0,0,0,0,0,0,,63,,0,0
354666,Shamar Nicholson,2026-06-17T15:00:00+00:00,2026,WRPO,8,False,4891031,4,36596,away,27204,5,3,in squad,11,,False,0,0,0,0,0,0,0,,,,0,0
1087247,Sebastián Santos,2026-07-25T03:00:00+00:00,2026,MEXA,1,False,4904190,2,4941,away,13353,0,1,in squad,22,,False,0,0,0,0,0,0,0,,,,0,0
1087247,Sebastián Santos,2026-07-18T01:00:00+00:00,2026,MEXA,1,False,4895110,1,4941,home,8590,2,3,played,22,12,False,55,0,0,1,1,0,0,,,55,0,0
