player_id,player_name,season,competition_id,club_id,is_national_team,matches_total,matches_played,matches_injured_absent,minutes,goals,assists,shots_total,shots_on_goal,yellow_cards
487603,Domen Gril,2026,PL1,6112,False,1,1,0,90,0,0,0,0,0
911487,Samba Koné,2026,MO1N,2481,False,5,5,0,283,1,0,0,0,1
911487,Samba Koné,2026,ELQ,2481,False,3,3,0,204,0,0,0,0,0
962060,Issoufi Maïga,2026,PT23,110988,False,7,0,0,0,0,0,0,0,0
796739,Júnior Almeida,2026,CLQ,63993,False,3,1,0,90,0,0,0,0,0
504091,Pedrinho,2026,PT23,67837,False,7,0,0,0,0,0,0,0,0
465848,Preslav Borukov,2026,BU1,26462,False,2,2,0,52,0,0,0,0,0
549028,Miguel Mota,2026,MO1N,2481,False,5,4,0,254,0,0,0,0,1
549028,Miguel Mota,2026,ELQ,2481,False,3,3,0,148,0,0,0,0,1
836182,Ronaldo Lumungo,2026,AFCQ,15236,True,2,1,0,90,0,0,0,0,0
700166,André Liberal,2026,BU1,40416,False,2,2,0,8,0,0,0,0,0
933713,Eirô,2026,BU1,730,False,1,0,0,0,0,0,0,0,0
785967,Ibrahima Kébé,2026,SER1,32113,False,1,0,0,0,0,0,0,0,0
1342817,Yoan Pereira,2026,U19Q,16372,True,3,3,0,196,0,0,0,0,1
1075878,Mateus Mide,2026,U19Q,16372,True,3,2,0,180,0,1,0,0,0
935477,Rui Monteiro,2026,ECLQ,663,False,1,0,0,0,0,0,0,0,0
1471256,Eduardo Ferreira,2026,U19Q,16372,True,3,3,0,107,1,0,0,0,1
1134199,Daniel Banjaqui,2026,ELQ,294,False,1,0,0,0,0,0,0,0,0
1233701,José Neto,2026,ELQ,294,False,1,0,0,0,0,0,0,0,0
958934,Rui Silva,2026,ELQ,294,False,1,0,0,0,0,0,0,0,0
1061744,Gonçalo Moreira,2026,ELQ,294,False,1,0,0,0,0,0,0,0,0
1439651,Miguel Figueiredo,2026,U19Q,16372,True,3,2,0,129,0,0,0,0,1
1439651,Miguel Figueiredo,2026,ELQ,294,False,1,1,0,66,0,0,2,0,0
931415,João Rego,2026,ELQ,294,False,1,1,0,6,0,0,0,0,0
617267,Henrique Araújo,2026,ELQ,294,False,1,0,0,0,0,0,0,0,0
1165820,Gonçalo da Silva,2026,PT23,68780,False,6,0,0,0,0,0,0,0,0
646747,Rafa Obrador,2026,ELQ,294,False,1,0,0,0,0,0,0,0,0
504087,Tomás Araújo,2026,ELQ,294,False,1,0,0,0,0,0,0,0,0
801443,Guilherme Gaspar,2026,PT23,68780,False,7,0,0,0,0,0,0,0,0
1092964,Anísio Cabral,2026,U19Q,16372,True,3,3,0,177,0,0,0,0,0
1092964,Anísio Cabral,2026,ELQ,294,False,1,0,0,0,0,0,0,0,0
1443801,João Afonso,2026,PT23,68780,False,6,0,0,0,0,0,0,0,0
931416,Ivan Lima,2026,PL1,6112,False,1,0,0,0,0,0,0,0,0
981397,Zaïd Bafdili,2026,U19Q,16338,True,3,0,1,0,0,0,0,0,0
937721,Rayhan Momade,2026,PT23,67909,False,12,0,0,0,0,0,0,0,0
958973,Rafael Camacho,2026,PT23,67909,False,12,0,0,0,0,0,0,0,0
478317,Diogo Travassos,2026,ECLQ,1075,False,1,0,0,0,0,0,0,0,0
974506,Rafael Pontelo,2026,SER1,33328,False,2,1,0,25,0,0,0,0,0
1072812,Miguel Alves,2026,PT23,67909,False,12,0,0,0,0,0,0,0,0
1302174,Afonso Lee,2026,PT23,67909,False,12,0,0,0,0,0,0,0,0
1070477,Atanásio,2026,PT23,67909,False,12,0,0,0,0,0,0,0,0
905345,Henrique Arreiol,2026,PL1,255,False,1,1,0,7,0,0,1,0,0
1061568,Alexandre Brito,2026,ELQ,45457,False,1,1,0,27,0,0,0,0,1
848090,Ivanildo,2026,PT23,67909,False,12,0,0,0,0,0,0,0,0
826490,Luís Gomes,2026,PT23,68403,False,7,0,0,0,0,0,0,0,0
1051766,Denilson Santos,2026,PT23,67909,False,12,0,0,0,0,0,0,0,0
1454699,Sandro Ferreira,2026,PT23,67909,False,5,0,0,0,0,0,0,0,0
964705,Silas Bjerre,2026,PT23,109718,False,6,0,0,0,0,0,0,0,0
987537,David Ivanov,2026,PT23,109718,False,4,0,0,0,0,0,0,0,0
625648,Álex Carbonell,2026,PT23,109718,False,6,0,0,0,0,0,0,0,0
871382,Bachirou Yaméogo,2026,TS2,6377,False,1,1,0,90,0,0,0,0,1
527967,Jack Ipalibo,2026,ECLQ,17149,False,2,2,0,135,0,0,0,0,0
935478,Ricardo Rei,2026,PT23,109718,False,6,0,0,0,0,0,0,0,0
1038701,Ismaïl Seydi,2026,DK1,5817,False,1,1,0,22,0,0,1,0,0
1077816,Duarte Furtado,2026,PT23,91911,False,7,0,0,0,0,0,0,0,0
1082888,Matheus Rodrigues,2026,PT23,91911,False,7,0,0,0,0,0,0,0,0
1446625,Victor Ubong,2026,PT23,91911,False,7,0,0,0,0,0,0,0,0
1445767,Baye Gora,2026,PT23,91910,False,6,0,0,0,0,0,0,0,0
681989,Nikita Demchenko,2026,RU2,14590,False,3,3,0,166,0,0,0,0,0
1445756,Moustapha Sanogo,2026,PT23,91910,False,6,0,0,0,0,0,0,0,0
1441368,Karamoko Bamba,2026,PT23,91910,False,6,0,0,0,0,0,0,0,0
