player_id,player_name,game_date_utc,season,competition_id,competition_type_id,is_national_team,game_id,game_day,club_id,venue,opponent_club_id,club_goals,opponent_goals,participation_state,shirt_number,position_id,is_captain,played_minutes,goals,assists,shots_total,shots_on_goal,shots_off_goal,shots_blocked,yellow_card_minute,substituted_in_minute,substituted_out_minute,injury_id,absence_id
495830,Adrian Knurovsky,2026-07-25T14:00:00+00:00,2026,SK2,2,False,4970812,1,4531,away,61909,2,1,played,1,1,False,90,0,0,0,0,0,0,90,,,0,0
654787,Denys Taraduda,2026-07-25T15:00:00+00:00,2026,TS1,1,False,4901919,1,814,home,715,3,1,in squad,13,,False,0,0,0,0,0,0,0,,,,0,0
239957,Michal Siplak,2026-07-25T14:00:00+00:00,2026,SK2,2,False,4970812,1,4531,away,61909,2,1,played,3,3,False,90,0,0,0,0,0,0,,,,0,0
289460,Jurij Medvedev,2026-07-26T17:00:00+00:00,2026,SLO1,1,False,4971552,1,540,away,20758,4,0,not in squad,,,False,0,0,0,0,0,0,0,,,,0,0
289460,Jurij Medvedev,2026-07-21T16:00:00+00:00,2026,CLQ,10,False,4897894,3,540,away,41133,2,0,played,17,7,False,90,0,0,0,0,0,0,67,,,0,0
958383,Séverin Tatolna,2026-07-25T18:30:00+00:00,2026,SLO1,1,False,4971549,1,20063,home,13744,2,0,absent,,,False,0,0,0,0,0,0,0,,,,0,3
403512,Jozef Menich,2026-07-25T14:00:00+00:00,2026,SK2,2,False,4970812,1,4531,away,61909,2,1,played,31,3,False,90,0,1,0,0,0,0,,,,0,0
132375,Patrik Simko,2026-07-25T14:00:00+00:00,2026,SK2,2,False,4970812,1,4531,away,61909,2,1,played,4,6,True,90,0,0,0,0,0,0,,,,0,0
344311,Jan Bernat,2026-07-25T16:00:00+00:00,2026,SLO1,1,False,4971547,1,32314,away,7918,1,1,played,23,14,False,56,0,0,3,0,3,0,,,56,0,0
988188,Dominique Simon,2026-07-26T18:00:00+00:00,2026,TS1,1,False,4901917,1,1496,away,1897,1,2,not in squad,,,False,0,0,0,0,0,0,0,,,,0,0
474143,Roman Begala,2026-07-25T16:00:00+00:00,2026,SLO1,1,False,4971548,1,365,home,35488,1,1,played,5,0,False,45,0,0,0,0,0,0,,46,,0,0
474143,Roman Begala,2026-07-22T18:30:00+00:00,2026,ECLQ,10,False,4897990,3,365,home,61955,0,0,played,5,7,False,90,0,0,0,0,0,0,,,,0,0
333024,Taras Bondarenko,2026-07-26T18:30:00+00:00,2026,SER1,1,False,4937753,2,6622,home,4633,0,0,in squad,14,,False,0,0,0,0,0,0,0,,,,0,0
333024,Taras Bondarenko,2026-07-19T17:00:00+00:00,2026,SER1,1,False,4936434,1,6622,away,33328,1,1,in squad,14,,False,0,0,0,0,0,0,0,,,,0,0
672840,Filip Soucek,2026-07-26T15:00:00+00:00,2026,SLO1,1,False,4971550,1,7087,home,4529,1,1,played,10,7,False,88,0,0,0,0,0,0,,,88,0,0
1138683,Artur Ukhan,2026-07-25T14:00:00+00:00,2026,SK2,2,False,4970812,1,4531,away,61909,2,1,played,20,12,False,13,0,0,0,0,0,0,,77,,0,0
1237871,Jakub Molnar,2026-07-25T14:00:00+00:00,2026,SK2,2,False,4970812,1,4531,away,61909,2,1,in squad,44,,False,0,0,0,0,0,0,0,,,,0,0
344314,Denis Potoma,2026-07-25T18:00:00+00:00,2026,PL2L,3,False,4904320,1,31568,away,18565,1,1,played,9,0,False,9,0,0,0,0,0,0,,81,,0,0
356515,Lukasz Wolsztynski,2026-07-25T14:00:00+00:00,2026,SK2,2,False,4970812,1,4531,away,61909,2,1,not in squad,,,False,0,0,0,0,0,0,0,,,,0,0
1267383,Marek Terpak,2026-07-25T14:00:00+00:00,2026,SK2,2,False,4970812,1,4531,away,61909,2,1,not in squad,,,False,0,0,0,0,0,0,0,,,,0,0
655731,Stanislav Olejnik,2026-07-25T14:00:00+00:00,2026,SK2,2,False,4970812,1,4531,away,61909,2,1,injured,,,False,0,0,0,0,0,0,0,,,,101,0
908677,Landing Sagna,2026-07-25T14:00:00+00:00,2026,SK2,2,False,4970812,1,4531,away,61909,2,1,played,80,14,False,4,1,0,0,0,0,0,,86,,0,0
941453,Andy Masaryk,2026-07-25T16:00:00+00:00,2026,SLO1,1,False,4971547,1,32314,away,7918,1,1,played,77,14,False,90,1,0,3,1,1,1,38,,90,0,0
382211,Martin Regali,2026-07-25T14:00:00+00:00,2026,SK2,2,False,4970812,1,4531,away,61909,2,1,played,9,11,False,90,0,1,0,0,0,0,,,,0,0
1450730,David Griger,2026-07-25T14:00:00+00:00,2026,SK2,2,False,4970812,1,4531,away,61909,2,1,played,79,12,False,57,0,0,0,0,0,0,,,57,0,0
1466079,Rachid Sande Barro,2026-07-27T15:00:00+00:00,2026,SK2,2,False,4970819,1,34775,home,46955,2,0,played,25,4,False,1,0,0,0,0,0,0,,90,,0,0
1466079,Rachid Sande Barro,2026-07-23T16:30:00+00:00,2026,ECLQ,10,False,4897975,3,4529,home,628,1,0,not in squad,,,False,0,0,0,0,0,0,0,,,,0,0
969346,Alex Hudok,2026-07-27T15:00:00+00:00,2026,SK2,2,False,4970819,1,34775,home,46955,2,0,played,38,1,False,90,0,0,0,0,0,0,,,,0,0
1190130,Lukas Pristach,2026-07-27T15:00:00+00:00,2026,SK2,2,False,4970819,1,46955,away,34775,0,2,in squad,2,,False,0,0,0,0,0,0,0,,,,0,0
1190130,Lukas Pristach,2026-07-22T18:30:00+00:00,2026,ECLQ,10,False,4897990,3,365,home,61955,0,0,not in squad,,,False,0,0,0,0,0,0,0,,,,0,0
1190130,Lukas Pristach,2026-05-21T09:00:00+00:00,2026,U19Q,20,True,4825275,3,25960,away,28312,0,3,not in squad,,,False,0,0,0,0,0,0,0,,,,0,0
1190130,Lukas Pristach,2026-05-18T09:00:00+00:00,2026,U19Q,20,True,4825273,2,25960,away,28426,1,1,not in squad,,,False,0,0,0,0,0,0,0,,,,0,0
1190130,Lukas Pristach,2026-05-15T09:00:00+00:00,2026,U19Q,20,True,4825271,1,25960,away,26373,4,2,not in squad,,,False,0,0,0,0,0,0,0,,,,0,0
1146632,Jakub Michlik,2026-07-25T15:00:00+00:00,2026,SK2,2,False,4970814,1,38269,away,24455,3,3,played,17,8,False,33,1,0,0,0,0,0,,57,,0,0
726672,Adrian Fiala,2026-07-26T12:30:00+00:00,2026,TS2,2,False,4901922,1,6201,home,13299,2,2,played,12,10,False,6,0,0,0,0,0,0,,84,,0,0
1303146,Patrik Filippov,2026-07-25T15:00:00+00:00,2026,SK2,2,False,4970814,1,38269,away,24455,3,3,played,15,7,False,19,0,0,0,0,0,0,,71,,0,0
1146646,Lukas Dvorsky,2026-07-25T15:00:00+00:00,2026,SK2,2,False,4970813,1,36093,away,24526,1,1,played,12,5,False,16,0,0,0,0,0,0,,74,,0,0
930393,David Petrik,2026-07-25T14:00:00+00:00,2026,SK2,2,False,4970812,1,61909,home,4531,1,2,in squad,11,,False,0,0,0,0,0,0,0,,,,0,0
1198209,Jakub Peter Bamburak,2026-07-25T14:00:00+00:00,2026,SK2,2,False,4970812,1,61909,home,4531,1,2,played,22,7,False,61,0,0,0,0,0,0,,,61,0,0
471164,Dominik Takac,2026-07-26T17:00:00+00:00,2026,SLO1,1,False,4971552,1,540,away,20758,4,0,in squad,71,,False,0,0,0,0,0,0,0,,,,0,0
471164,Dominik Takac,2026-07-21T16:00:00+00:00,2026,CLQ,10,False,4897894,3,540,away,41133,2,0,played,71,1,False,90,0,0,0,0,0,0,,,,0,0
381477,Matus Macik,2026-07-26T17:00:00+00:00,2026,SLO1,1,False,4971552,1,540,away,20758,4,0,not in squad,,,False,0,0,0,0,0,0,0,,,,0,0
381477,Matus Macik,2026-07-21T16:00:00+00:00,2026,CLQ,10,False,4897894,3,540,away,41133,2,0,not in squad,,,False,0,0,0,0,0,0,0,,,,0,0
376449,Aleksandar Popovic,2026-07-26T17:00:00+00:00,2026,SLO1,1,False,4971552,1,540,away,20758,4,0,played,1,1,False,90,0,0,0,0,0,0,,,,0,0
376449,Aleksandar Popovic,2026-07-21T16:00:00+00:00,2026,CLQ,10,False,4897894,3,540,away,41133,2,0,in squad,1,,False,0,0,0,0,0,0,0,,,,0,0
470790,Svetozar Markovic,2026-07-26T17:00:00+00:00,2026,SLO1,1,False,4971552,1,540,away,20758,4,0,played,15,3,False,90,0,0,0,0,0,0,,,,0,0
470790,Svetozar Markovic,2026-07-21T16:00:00+00:00,2026,CLQ,10,False,4897894,3,540,away,41133,2,0,in squad,15,,False,0,0,0,0,0,0,0,,,,0,0
440383,César Blackman,2026-07-26T17:00:00+00:00,2026,SLO1,1,False,4971552,1,540,away,20758,4,0,played,28,5,False,73,0,1,1,0,0,1,,,73,0,0
