player_id,player_name,game_date_utc,season,competition_id,competition_type_id,is_national_team,game_id,game_day,club_id,venue,opponent_club_id,club_goals,opponent_goals,participation_state,shirt_number,position_id,is_captain,played_minutes,goals,assists,shots_total,shots_on_goal,shots_off_goal,shots_blocked,yellow_card_minute,substituted_in_minute,substituted_out_minute,injury_id,absence_id
724968,Nikoloz Ugrekhelidze,2026-07-16T17:00:00+00:00,2026,ECLQ,10,False,4897266,2,663,home,21274,1,1,played,4,6,False,5,0,0,0,0,0,0,,115,,0,0
724968,Nikoloz Ugrekhelidze,2026-07-09T17:15:00+00:00,2026,ECLQ,10,False,4897240,1,663,away,21274,2,1,absent,,,False,0,0,0,0,0,0,0,,,,0,3
916920,Shavy Babicka,2026-07-17T18:00:00+00:00,2026,SER1,1,False,4936429,1,159,home,4657,5,0,absent,,,False,0,0,0,0,0,0,0,,,,0,9
250844,Alexander Djiku,2026-07-18T16:30:00+00:00,2026,RUSS,9,False,4892372,1,232,away,964,3,5,played,4,3,False,16,0,0,0,0,0,0,,74,,0,0
1076981,Berat Luş,2026-03-30T12:00:00+00:00,2026,U19Q,20,True,4825250,3,22585,home,54396,1,3,not in squad,,,False,0,0,0,0,0,0,0,,,,0,0
422281,Muhammed Cham,2026-07-17T18:00:00+00:00,2026,SER1,1,False,4936429,1,159,home,4657,5,0,played,70,12,False,27,0,0,0,0,0,0,,63,,0,0
834899,Felipe Augusto,2026-07-18T16:30:00+00:00,2026,RUSS,9,False,4892372,1,964,home,232,5,3,played,9,14,False,31,0,0,2,0,2,0,,59,,0,0
1193794,Saba Kharebashvili,2026-06-09T15:00:00+00:00,2026,U19Q,20,True,4825285,3,25740,home,25785,2,3,played,5,3,True,90,1,0,0,0,0,0,,,,0,0
1193794,Saba Kharebashvili,2026-06-03T15:00:00+00:00,2026,U19Q,20,True,4825279,1,25740,home,26101,1,1,not in squad,,,False,0,0,0,0,0,0,0,,,,0,0
345437,Mateusz Lis,2026-07-16T17:00:00+00:00,2026,PLSC,9,False,4903945,1,238,home,428,3,1,played,1,1,False,90,0,0,0,0,0,0,,,,0,0
1108966,Jeh,2026-07-18T18:00:00+00:00,2026,SER1,1,False,4936432,1,669,away,3521,2,2,played,89,14,False,19,0,0,4,2,0,2,,71,,0,0
598399,Marius Mouandilmadji,2026-03-31T13:00:00+00:00,2026,AFCQ,19,True,4841193,2,13978,away,13943,0,4,not in squad,,,False,0,0,0,0,0,0,0,,,,0,0
685795,Marius Ștefănescu,2026-07-19T14:00:00+00:00,2026,RO1,1,False,4912995,1,6429,home,29831,2,1,played,14,11,False,55,0,0,0,0,0,0,,,55,0,0
685795,Marius Ștefănescu,2026-07-16T17:30:00+00:00,2026,ELQ,10,False,4897219,2,6429,home,338,2,4,played,14,12,False,46,0,0,0,0,0,0,,,46,0,0
685795,Marius Ștefănescu,2026-07-12T17:30:00+00:00,2026,ROMS,9,False,4924498,1,6429,away,40812,4,6,played,14,0,False,45,0,0,0,0,0,0,,46,,0,0
685795,Marius Ștefănescu,2026-07-09T17:00:00+00:00,2026,ELQ,10,False,4897213,1,6429,neutral,338,0,0,played,14,12,False,90,0,0,0,0,0,0,,,,0,0
505463,Oleksandr Syrota,2026-07-16T17:30:00+00:00,2026,ELQ,10,False,4897219,2,338,away,6429,4,2,not in squad,,,False,0,0,0,0,0,0,0,,,,0,0
505463,Oleksandr Syrota,2026-07-09T17:00:00+00:00,2026,ELQ,10,False,4897213,1,338,neutral,6429,0,0,not in squad,,,False,0,0,0,0,0,0,0,,,,0,0
846333,Ibrahim Zubairu,2026-07-18T18:00:00+00:00,2026,SER1,1,False,4936432,1,669,away,3521,2,2,played,39,12,False,15,0,0,0,0,0,0,82,75,,0,0
1197994,Hasanege Akdoğan,2026-03-30T12:00:00+00:00,2026,U19Q,20,True,4825250,3,22585,home,54396,1,3,played,9,14,False,18,0,0,0,0,0,0,,72,,0,0
1296109,Ömer Arda Kara,2026-03-30T12:00:00+00:00,2026,U19Q,20,True,4825250,3,22585,home,54396,1,3,not in squad,,,False,0,0,0,0,0,0,0,,,,0,0
1296109,Ömer Arda Kara,2026-03-27T13:00:00+00:00,2026,U19Q,20,True,4825221,2,22585,home,25724,1,1,not in squad,,,False,0,0,0,0,0,0,0,,,,0,0
542469,Lumbardh Dellova,2026-07-09T18:00:00+00:00,2026,ELQ,10,False,4897216,1,208,home,920,3,2,not in squad,,,False,0,0,0,0,0,0,0,,,,0,0
603368,Svit Seslar,2026-07-17T18:15:00+00:00,2026,SL1,1,False,4899237,1,710,home,4059,2,2,played,10,10,False,90,2,0,0,0,0,0,90,,,0,0
641989,Denis Radu,2026-07-19T16:30:00+00:00,2026,RO1,1,False,4912996,1,9465,home,312,1,0,not in squad,,,False,0,0,0,0,0,0,0,,,,0,0
599224,Ángel Torres,2026-07-16T17:30:00+00:00,2026,ELQ,10,False,4897219,2,338,away,6429,4,2,not in squad,,,False,0,0,0,0,0,0,0,,,,0,0
599224,Ángel Torres,2026-07-09T17:00:00+00:00,2026,ELQ,10,False,4897213,1,338,neutral,6429,0,0,not in squad,,,False,0,0,0,0,0,0,0,,,,0,0
