player_id,player_name,game_date_utc,season,competition_id,competition_type_id,is_national_team,game_id,game_day,club_id,venue,opponent_club_id,club_goals,opponent_goals,participation_state,shirt_number,position_id,is_captain,played_minutes,goals,assists,shots_total,shots_on_goal,shots_off_goal,shots_blocked,yellow_card_minute,substituted_in_minute,substituted_out_minute,injury_id,absence_id
372115,Rihards Matrevics,2026-07-16T16:30:00+00:00,2026,ECLQ,10,False,4897268,2,33783,home,9026,2,0,in squad,1,,False,0,0,0,0,0,0,0,,,,0,0
372115,Rihards Matrevics,2026-07-09T18:30:00+00:00,2026,ECLQ,10,False,4897242,1,33783,away,9026,2,1,in squad,1,,False,0,0,0,0,0,0,0,,,,0,0
470789,Zlatan Sehovic,2026-07-19T17:00:00+00:00,2026,SER1,1,False,4936435,1,6621,home,32113,0,1,played,3,4,False,66,0,0,0,0,0,0,,,66,0,0
1161671,Viktor Vitályos,2026-03-31T16:30:00+00:00,2026,U19Q,20,True,4825263,3,22513,away,26181,4,0,not in squad,,,False,0,0,0,0,0,0,0,,,,0,0
1161671,Viktor Vitályos,2026-03-28T11:00:00+00:00,2026,U19Q,20,True,4825233,2,22513,away,23101,0,1,not in squad,,,False,0,0,0,0,0,0,0,,,,0,0
343558,Ondrej Zmrzly,2026-07-16T17:00:00+00:00,2026,PLSC,9,False,4903945,1,428,away,238,1,3,played,21,0,False,24,0,0,0,0,0,0,,66,,0,0
422281,Muhammed Cham,2026-07-17T18:00:00+00:00,2026,SER1,1,False,4936429,1,159,home,4657,5,0,played,70,12,False,27,0,0,0,0,0,0,,63,,0,0
1077713,Adam Rajnoha,2026-05-21T09:00:00+00:00,2026,U19Q,20,True,4825275,3,25960,away,28312,0,3,played,20,10,True,90,0,0,0,0,0,0,,,,0,0
1077713,Adam Rajnoha,2026-05-18T09:00:00+00:00,2026,U19Q,20,True,4825273,2,25960,away,28426,1,1,played,20,7,True,90,0,0,0,0,0,0,58,,,0,0
1077713,Adam Rajnoha,2026-05-15T09:00:00+00:00,2026,U19Q,20,True,4825271,1,25960,away,26373,4,2,played,20,6,True,90,3,1,0,0,0,0,,,90,0,0
446573,Erik Prekop,2026-07-16T17:00:00+00:00,2026,PLSC,9,False,4903945,1,428,away,238,1,3,played,11,14,False,65,0,0,0,0,0,0,,,65,0,0
547812,Andres Dumitrescu,2026-07-19T16:30:00+00:00,2026,RO1,1,False,4912996,1,9465,home,312,1,0,played,2,4,False,90,0,0,0,0,0,0,,,,0,0
1080006,Sebastian Zajac,2026-05-21T09:00:00+00:00,2026,U19Q,20,True,4825275,3,25960,away,28312,0,3,not in squad,,,False,0,0,0,0,0,0,0,,,,0,0
1080006,Sebastian Zajac,2026-05-18T09:00:00+00:00,2026,U19Q,20,True,4825273,2,25960,away,28426,1,1,not in squad,,,False,0,0,0,0,0,0,0,,,,0,0
1080006,Sebastian Zajac,2026-05-15T09:00:00+00:00,2026,U19Q,20,True,4825271,1,25960,away,26373,4,2,not in squad,,,False,0,0,0,0,0,0,0,,,,0,0
242084,Lukas Sadilek,2026-07-16T17:00:00+00:00,2026,PLSC,9,False,4903945,1,428,away,238,1,3,played,13,10,False,90,0,0,0,0,0,0,,,,0,0
726014,Maksym Dyachuk,2026-07-09T17:00:00+00:00,2026,ELQ,10,False,4897213,1,338,neutral,6429,0,0,not in squad,,,False,0,0,0,0,0,0,0,,,,0,0
410281,Renato Pantalon,2026-07-18T15:30:00+00:00,2026,RO1,1,False,4912993,1,7769,away,4959,1,2,not in squad,,,False,0,0,0,0,0,0,0,,,,0,0
1529250,Idris Hopi,2026-03-31T10:00:00+00:00,2026,U19Q,20,True,4825256,3,21102,away,20794,1,1,played,7,11,False,88,0,0,0,0,0,0,,,88,0,0
1529250,Idris Hopi,2026-03-28T16:00:00+00:00,2026,U19Q,20,True,4825227,2,21102,away,21233,3,1,played,7,11,False,79,0,0,0,0,0,0,,,79,0,0
1529250,Idris Hopi,2026-03-25T11:00:00+00:00,2026,U19Q,20,True,4825190,1,21102,away,25907,2,0,played,7,11,False,45,0,0,0,0,0,0,,46,,0,0
682856,Zviad Natchkebia,2026-07-14T16:00:00+00:00,2026,CLQ,10,False,4897201,2,41133,home,1002,2,2,played,10,11,False,90,0,1,0,0,0,0,,,90,0,0
682856,Zviad Natchkebia,2026-07-08T16:00:00+00:00,2026,CLQ,10,False,4897187,1,41133,away,1002,3,2,played,10,11,False,90,1,0,0,0,0,0,,,,0,0
