player_id,player_name,team_id,team_name,season,competition,shirt_number,position,age,nationality,in_squad,appearances,goals,minutes_played
315344,Farid Chaâl,8850,MC Algiers,2021,ALG1,1,Goalkeeper,26,Algeria,31,31,0,2790
295101,Abdelkadir Salhi,8850,MC Algiers,2021,ALG1,0,Goalkeeper,28,Algeria,2,0,0,0
376657,Oussama Litim,8850,MC Algiers,2021,ALG1,16,Goalkeeper,31,Algeria,29,3,0,270
748440,Mohamed El Amine Yacoubi,8850,MC Algiers,2021,ALG1,0,Goalkeeper,18,Algeria,6,0,0,0
645727,Ayoub Ghezala,8850,MC Algiers,2021,ALG1,19,Centre-Back,25,Algeria,31,30,0,2629
518078,Kamel Hamidi,8850,MC Algiers,2021,ALG1,17,Right-Back,25,Algeria,34,33,0,2956
326655,Mohamed Amine Ezzemani,8850,MC Algiers,2021,ALG1,3,Left-Back,26,Algeria,27,25,0,2234
499666,M'hammed Merouani,8850,MC Algiers,2021,ALG1,12,Centre-Back,24,Algeria,19,3,0,181
106534,Abderrahmane Hachoud,8850,MC Algiers,2021,ALG1,27,Right-Back,32,Algeria,32,16,1,938
434452,Nabil Saâdou,8850,MC Algiers,2021,ALG1,0,Centre-Back,31,Algeria,4,4,0,341
573975,Mouad Hadded,8850,MC Algiers,2021,ALG1,4,Centre-Back,24,Algeria,29,29,0,2521
499668,Aymen Attou,8850,MC Algiers,2021,ALG1,13,Right-Back,23,Algeria,22,19,0,1019
863185,Djelloul Boukerma,8850,MC Algiers,2021,ALG1,65,Right-Back,20,Algeria,1,0,0,0
345810,Abdelraouf Benguit,8850,MC Algiers,2021,ALG1,14,Central Midfield,25,Algeria,9,9,1,357
322572,Fethallah Tahar,8850,MC Algiers,2021,ALG1,8,Attacking Midfield,27,Algeria,31,30,0,2289
949424,Badr Eddine Touki,8850,MC Algiers,2021,ALG1,25,Defensive Midfield,21,Algeria,30,26,0,2028
243688,Miloud Rebiai,8850,MC Algiers,2021,ALG1,6,Defensive Midfield,27,Algeria,28,23,2,1548
537395,Isla Daoudi Diomande,8850,MC Algiers,2021,ALG1,0,Defensive Midfield,23,Cote d'Ivoire,2,1,0,26
