player_id,player_name,team_id,team_name,season,competition,shirt_number,position,age,nationality,in_squad,appearances,goals,minutes_played
983578,Patrick Beach,25580,Melbourne City FC,2023,AUS1,33,Goalkeeper,19,Australia,24,0,0,0
1064381,James Nieuwenhuizen,25580,Melbourne City FC,2023,AUS1,40,Goalkeeper,19,Australia,3,0,0,0
13435,Jamie Young,25580,Melbourne City FC,2023,AUS1,1,Goalkeeper,37,England,27,27,0,2430
1118086,Sebastian Esposito,25580,Melbourne City FC,2023,AUS1,0,Centre-Back,18,Australia,0,0,0,0
534263,Vicente Fernández,25580,Melbourne City FC,2023,AUS1,14,Left-Back,24,Chile,11,11,0,832
294857,Germán Ferreyra,25580,Melbourne City FC,2023,AUS1,22,Centre-Back,27,Argentina,0,0,0,0
1118085,Harry Politidis,25580,Melbourne City FC,2023,AUS1,38,Left-Back,21,Australia,18,12,0,307
843401,Callum Talbot,25580,Melbourne City FC,2023,AUS1,25,Right-Back,22,Australia,23,22,0,1777
179471,Curtis Good,25580,Melbourne City FC,2023,AUS1,22,Centre-Back,30,Australia,26,20,1,1694
136834,Aziz Behich,25580,Melbourne City FC,2023,AUS1,16,Left-Back,32,Australia,10,10,0,895
1144487,Harrison Shillington,25580,Melbourne City FC,2023,AUS1,36,Right-Back,18,Australia,1,0,0,0
60599,Samuel Souprayen,25580,Melbourne City FC,2023,AUS1,26,Centre-Back,34,France,24,20,1,1800
257415,Scott Galloway,25580,Melbourne City FC,2023,AUS1,2,Left-Back,28,Australia,16,12,0,791
83485,Nuno Reis,25580,Melbourne City FC,2023,AUS1,4,Centre-Back,32,Portugal,20,15,1,1085
927115,Jordon Hall,25580,Melbourne City FC,2023,AUS1,18,Centre-Back,25,England,9,4,0,256
1234223,Jayden Necovski,25580,Melbourne City FC,2023,AUS1,34,Centre-Back,15,Australia,0,0,0,0
691326,Kai Trewin,25580,Melbourne City FC,2023,AUS1,27,Defensive Midfield,22,Australia,0,0,0,0
263951,Hamza Sakhi,25580,Melbourne City FC,2023,AUS1,8,Attacking Midfield,27,Morocco,13,13,1,1089
53536,Tolgay Arslan,25580,Melbourne City FC,2023,AUS1,10,Attacking Midfield,32,Germany,23,23,12,1841
262971,Steven Ugarkovic,25580,Melbourne City FC,2023,AUS1,6,Defensive Midfield,28,Australia,27,26,3,1978
819840,Alessandro Lopane,25580,Melbourne City FC,2023,AUS1,21,Attacking Midfield,19,Australia,26,24,1,894
1111965,Zane Schreiber,25580,Melbourne City FC,2023,AUS1,35,Defensive Midfield,18,Australia,9,5,0,40
1066862,Emin Durakovic,25580,Melbourne City FC,2023,AUS1,39,Central Midfield,17,Australia,0,0,0,0
1289575,Lawrence Wong,25580,Melbourne City FC,2023,AUS1,41,Attacking Midfield,15,Australia,0,0,0,0
179467,James Jeggo,25580,Melbourne City FC,2023,AUS1,8,Defensive Midfield,31,Australia,13,13,0,953
153880,Terry Antonis,25580,Melbourne City FC,2023,AUS1,17,Defensive Midfield,29,Australia,27,21,5,698
1118893,Benjamin Dunbar,25580,Melbourne City FC,2023,AUS1,42,Central Midfield,17,Australia,0,0,0,0
173591,Jamie Maclaren,25580,Melbourne City FC,2023,AUS1,9,Centre-Forward,29,Australia,27,27,10,2040
565531,Marco Tilio,25580,Melbourne City FC,2023,AUS1,23,Right Winger,21,Australia,4,4,1,212
261963,Marin Jakolis,25580,Melbourne City FC,2023,AUS1,44,Left Winger,26,Croatia,23,23,2,1737
899868,Max Caputo,25580,Melbourne City FC,2023,AUS1,37,Centre-Forward,17,Australia,26,20,1,500
351750,Léo Natel,25580,Melbourne City FC,2023,AUS1,11,Left Winger,26,Brazil,24,24,6,1545
126214,Mathew Leckie,25580,Melbourne City FC,2023,AUS1,7,Left Winger,32,Australia,12,12,1,610
247289,Andrew Nabbout,25580,Melbourne City FC,2023,AUS1,15,Right Winger,30,Australia,10,10,0,434
1183854,Medin Memeti,25580,Melbourne City FC,2023,AUS1,35,Centre-Forward,16,Australia,0,0,0,0
1183855,Benjamin Mazzeo,25580,Melbourne City FC,2023,AUS1,46,Right Winger,17,Australia,10,10,2,300
1066861,Arion Sulemani,25580,Melbourne City FC,2023,AUS1,34,Centre-Forward,18,Australia,0,0,0,0
1118893,Benjamin Dunbar,25580,Melbourne City FC,2025,AUS1,42,Central Midfield,20,Australia,0,0,0,0
983578,Patrick Beach,25580,Melbourne City FC,2022,AUS1,0,Goalkeeper,18,Australia,0,0,0,0
335615,Tom Glover,25580,Melbourne City FC,2022,AUS1,1,Goalkeeper,24,Australia,26,26,0,2340
561484,Matt Sutton,25580,Melbourne City FC,2022,AUS1,33,Goalkeeper,22,Australia,24,0,0,0
1064381,James Nieuwenhuizen,25580,Melbourne City FC,2022,AUS1,40,Goalkeeper,18,Australia,2,0,0,0
855731,Jordan Bos,25580,Melbourne City FC,2022,AUS1,38,Left-Back,19,Australia,25,25,2,2211
1118086,Sebastian Esposito,25580,Melbourne City FC,2022,AUS1,43,Centre-Back,17,Australia,1,0,0,0
1118085,Harry Politidis,25580,Melbourne City FC,2022,AUS1,45,Left-Back,20,Australia,0,0,0,0
131821,Thomas Lam,25580,Melbourne City FC,2022,AUS1,6,Centre-Back,28,Finland,24,24,1,1975
843401,Callum Talbot,25580,Melbourne City FC,2022,AUS1,25,Right-Back,21,Australia,26,25,0,1814
179471,Curtis Good,25580,Melbourne City FC,2022,AUS1,22,Centre-Back,29,Australia,19,19,0,1536
136834,Aziz Behich,25580,Melbourne City FC,2022,AUS1,16,Left-Back,31,Australia,0,0,0,0
1144487,Harrison Shillington,25580,Melbourne City FC,2022,AUS1,53,Right-Back,17,Australia,0,0,0,0
257415,Scott Galloway,25580,Melbourne City FC,2022,AUS1,2,Left-Back,27,Australia,26,19,0,412
52498,Scott Jamieson,25580,Melbourne City FC,2022,AUS1,3,Left-Back,33,Australia,23,21,0,955
83485,Nuno Reis,25580,Melbourne City FC,2022,AUS1,4,Centre-Back,31,Portugal,20,18,0,993
927115,Jordon Hall,25580,Melbourne City FC,2022,AUS1,18,Centre-Back,24,England,18,2,0,38
704397,Kerrin Stokes,25580,Melbourne City FC,2022,AUS1,36,Centre-Back,19,Australia,10,0,0,0
385918,Aiden O'Neill,25580,Melbourne City FC,2022,AUS1,13,Defensive Midfield,23,Australia,25,25,4,2153
979025,Jordi Valadon,25580,Melbourne City FC,2022,AUS1,0,Defensive Midfield,19,Australia,0,0,0,0
1111965,Zane Schreiber,25580,Melbourne City FC,2022,AUS1,26,Defensive Midfield,17,Australia,0,0,0,0
819840,Alessandro Lopane,25580,Melbourne City FC,2022,AUS1,36,Attacking Midfield,18,Australia,0,0,0,0
794888,Taras Gomulka,25580,Melbourne City FC,2022,AUS1,0,Defensive Midfield,20,Australia,12,6,0,221
145115,Valon Berisha,25580,Melbourne City FC,2022,AUS1,14,Central Midfield,29,Kosovo,24,24,1,1889
1066862,Emin Durakovic,25580,Melbourne City FC,2022,AUS1,39,Central Midfield,16,Australia,1,0,0,0
376675,Richard van der Venne,25580,Melbourne City FC,2022,AUS1,8,Attacking Midfield,30,Netherlands,20,19,5,1383
111040,Florin Bérenguer,25580,Melbourne City FC,2022,AUS1,10,Attacking Midfield,33,France,16,15,1,777
153880,Terry Antonis,25580,Melbourne City FC,2022,AUS1,17,Defensive Midfield,28,Australia,0,0,0,0
855847,Luke Oresti,25580,Melbourne City FC,2022,AUS1,30,Attacking Midfield,19,Australia,2,0,0,0
1118353,Emile Peios,25580,Melbourne City FC,2022,AUS1,50,Defensive Midfield,19,Australia,2,0,0,0
173591,Jamie Maclaren,25580,Melbourne City FC,2022,AUS1,9,Centre-Forward,28,Australia,26,26,24,2322
565531,Marco Tilio,25580,Melbourne City FC,2022,AUS1,23,Right Winger,20,Australia,26,26,9,1822
261963,Marin Jakolis,25580,Melbourne City FC,2022,AUS1,44,Left Winger,25,Croatia,0,0,0,0
899868,Max Caputo,25580,Melbourne City FC,2022,AUS1,37,Centre-Forward,16,Australia,8,4,1,10
