player_id,player_name,team_id,team_name,season,competition,shirt_number,position,age,nationality,in_squad,appearances,goals,minutes_played
352324,Agustín Rossi,614,CR Flamengo,2023,BRA1,1,Goalkeeper,27,Argentina,36,35,0,3150
876739,Matheus Cunha,614,CR Flamengo,2023,BRA1,25,Goalkeeper,22,Brazil,38,3,0,270
1082543,Dyogo Alves,614,CR Flamengo,2023,BRA1,49,Goalkeeper,19,Brazil,15,0,0,0
1087843,Lucas Furtado,614,CR Flamengo,2023,BRA1,0,Goalkeeper,18,Brazil,5,0,0,0
1082544,João Vitor,614,CR Flamengo,2023,BRA1,68,Goalkeeper,19,Brazil,0,0,0,0
1087860,Caio Barone,614,CR Flamengo,2023,BRA1,0,Goalkeeper,17,Brazil,1,0,0,0
964580,Wesley,614,CR Flamengo,2023,BRA1,43,Right-Back,19,Brazil,35,31,0,2341
374136,Léo Ortiz,614,CR Flamengo,2023,BRA1,3,Centre-Back,27,Brazil,34,25,1,1882
432773,Fabrício Bruno,614,CR Flamengo,2023,BRA1,15,Centre-Back,27,Brazil,35,28,1,2310
288431,Léo Pereira,614,CR Flamengo,2023,BRA1,4,Centre-Back,27,Brazil,33,28,0,2020
594226,Matheuzinho,614,CR Flamengo,2023,BRA1,34,Right-Back,22,Brazil,0,0,0,0
349585,Ayrton Lucas,614,CR Flamengo,2023,BRA1,6,Left-Back,26,Brazil,34,32,3,2405
439072,Matías Viña,614,CR Flamengo,2023,BRA1,17,Left-Back,25,Uruguay,11,9,0,420
79960,Alex Sandro,614,CR Flamengo,2023,BRA1,26,Left-Back,32,Brazil,9,8,0,509
188862,Guillermo Varela,614,CR Flamengo,2023,BRA1,2,Right-Back,30,Uruguay,24,18,1,1038
1012174,Iago Teodoro,614,CR Flamengo,2023,BRA1,57,Centre-Back,18,Brazil,9,0,0,0
1193868,João Souza,614,CR Flamengo,2023,BRA1,0,Centre-Back,16,Brazil,3,1,0,3
943237,Cleiton,614,CR Flamengo,2023,BRA1,33,Centre-Back,20,Brazil,28,4,0,96
149577,Pablo,614,CR Flamengo,2023,BRA1,30,Centre-Back,32,Brazil,0,0,0,0
1221548,Carbone,614,CR Flamengo,2023,BRA1,0,Centre-Back,18,Brazil,2,0,0,0
627215,Gabriel Noga,614,CR Flamengo,2023,BRA1,41,Centre-Back,21,Brazil,0,0,0,0
