player_id,player_name,team_id,team_name,season,competition,shirt_number,position,age,nationality,in_squad,appearances,goals,minutes_played
104220,Hendrik Bonmann,31614,Ludogorets Razgrad,2024,BU1,39,Goalkeeper,30,Germany,30,14,0,1246
79573,Sergio Padt,31614,Ludogorets Razgrad,2024,BU1,1,Goalkeeper,34,Netherlands,29,17,0,1454
817632,Damyan Hristov,31614,Ludogorets Razgrad,2024,BU1,67,Goalkeeper,21,Bulgaria,1,0,0,0
555058,Edvin Kurtulus,31614,Ludogorets Razgrad,2024,BU1,15,Centre-Back,24,Sweden,27,23,0,1848
218441,Anton Nedyalkov,31614,Ludogorets Razgrad,2024,BU1,3,Left-Back,31,Bulgaria,12,8,0,485
349856,Son,31614,Ludogorets Razgrad,2024,BU1,17,Right-Back,30,Spain,27,26,5,2071
504125,Olivier Verdon,31614,Ludogorets Razgrad,2024,BU1,24,Centre-Back,28,Benin,27,22,2,1771
329519,Dinis Almeida,31614,Ludogorets Razgrad,2024,BU1,4,Centre-Back,29,Portugal,28,24,1,1978
313944,Aslak Witry,31614,Ludogorets Razgrad,2024,BU1,16,Right-Back,28,Norway,24,22,1,1479
249121,Noah Sonko Sundberg,31614,Ludogorets Razgrad,2024,BU1,0,Centre-Back,28,The Gambia,1,0,0,0
681693,Pedro Henrique,31614,Ludogorets Razgrad,2024,BU1,55,Centre-Back,23,Brazil,0,0,0,0
624717,Denny Gropper,31614,Ludogorets Razgrad,2024,BU1,14,Left-Back,25,Israel,20,14,0,1032
95790,Georgi Terziev,31614,Ludogorets Razgrad,2024,BU1,5,Centre-Back,32,Bulgaria,16,2,0,2
377243,Jakub Piotrowski,31614,Ludogorets Razgrad,2024,BU1,6,Central Midfield,26,Poland,20,20,6,1435
543529,Aguibou Camara,31614,Ludogorets Razgrad,2024,BU1,20,Attacking Midfield,23,Guinea,26,22,0,893
252767,Ivaylo Chochev,31614,Ludogorets Razgrad,2024,BU1,18,Central Midfield,31,Bulgaria,30,27,4,1886
432852,Deroy Duarte,31614,Ludogorets Razgrad,2024,BU1,23,Central Midfield,24,Cape Verde,27,24,1,1536
646679,Pedro Naressi,31614,Ludogorets Razgrad,2024,BU1,30,Defensive Midfield,26,Brazil,26,26,2,1899
541288,Ivan Yordanov,31614,Ludogorets Razgrad,2024,BU1,82,Defensive Midfield,23,Bulgaria,23,12,0,238
217593,Todor Nedelev,31614,Ludogorets Razgrad,2024,BU1,8,Attacking Midfield,31,Bulgaria,18,6,2,230
475428,Metodiy Stefanov,31614,Ludogorets Razgrad,2024,BU1,0,Central Midfield,23,Bulgaria,1,0,0,0
987341,Rosen Ivanov,31614,Ludogorets Razgrad,2024,BU1,0,Attacking Midfield,21,Bulgaria,1,0,0,0
973569,Rwan Cruz,31614,Ludogorets Razgrad,2024,BU1,0,Centre-Forward,23,Brazil,18,18,10,1033
815686,Caio Vidal,31614,Ludogorets Razgrad,2024,BU1,11,Left Winger,23,Brazil,28,26,4,1679
834481,Erick Marcus,31614,Ludogorets Razgrad,2024,BU1,77,Right Winger,20,Brazil,23,22,7,1367
422380,Bernard Tekpetey,31614,Ludogorets Razgrad,2024,BU1,37,Right Winger,26,Ghana,1,1,0,77
645955,Rick,31614,Ludogorets Razgrad,2024,BU1,0,Left Winger,24,Brazil,19,18,4,1317
254955,Kwadwo Duah,31614,Ludogorets Razgrad,2024,BU1,9,Centre-Forward,27,Switzerland,21,21,5,1075
442425,Georgi Rusev,31614,Ludogorets Razgrad,2024,BU1,19,Right Winger,25,Bulgaria,24,18,1,522
715140,Emerson Rodríguez,31614,Ludogorets Razgrad,2024,BU1,25,Left Winger,23,Colombia,10,5,1,40
1096637,Yves Erick Bile,31614,Ludogorets Razgrad,2024,BU1,29,Centre-Forward,19,Cote d'Ivoire,9,9,0,268
503001,Matías Tissera,31614,Ludogorets Razgrad,2024,BU1,0,Centre-Forward,27,Argentina,6,5,0,103
463666,Antoine Baroan,31614,Ludogorets Razgrad,2024,BU1,10,Centre-Forward,24,France,8,6,1,397
1068236,Filip Gigov,31614,Ludogorets Razgrad,2024,BU1,0,Centre-Forward,17,Bulgaria,2,0,0,0
124869,Spas Delev,31614,Ludogorets Razgrad,2024,BU1,0,Right Winger,34,Bulgaria,13,11,2,299
188201,Simon Sluga,31614,Ludogorets Razgrad,2022,BU1,12,Goalkeeper,29,Croatia,28,3,0,270
817632,Damyan Hristov,31614,Ludogorets Razgrad,2022,BU1,0,Goalkeeper,19,Bulgaria,2,0,0,0
79573,Sergio Padt,31614,Ludogorets Razgrad,2022,BU1,1,Goalkeeper,32,Netherlands,30,27,0,2430
446248,Shaquille Pinas,31614,Ludogorets Razgrad,2022,BU1,0,Centre-Back,24,Suriname,0,0,0,0
218441,Anton Nedyalkov,31614,Ludogorets Razgrad,2022,BU1,3,Left-Back,29,Bulgaria,20,16,0,1242
504125,Olivier Verdon,31614,Ludogorets Razgrad,2022,BU1,24,Centre-Back,26,Benin,25,22,1,1980
423166,Pipa,31614,Ludogorets Razgrad,2022,BU1,2,Right-Back,24,Spain,11,10,0,771
313944,Aslak Witry,31614,Ludogorets Razgrad,2022,BU1,16,Right-Back,26,Norway,19,19,0,1548
329519,Dinis Almeida,31614,Ludogorets Razgrad,2022,BU1,61,Centre-Back,27,Portugal,0,0,0,0
507403,Zan Karnicnik,31614,Ludogorets Razgrad,2022,BU1,0,Right-Back,27,Slovenia,8,5,0,420
378463,Franco Russo,31614,Ludogorets Razgrad,2022,BU1,22,Centre-Back,27,Argentina,12,10,1,900
681693,Pedro Henrique,31614,Ludogorets Razgrad,2022,BU1,0,Centre-Back,21,Brazil,1,0,0,0
624717,Denny Gropper,31614,Ludogorets Razgrad,2022,BU1,14,Left-Back,23,Israel,18,15,0,950
412539,Dimitar Iliev,31614,Ludogorets Razgrad,2022,BU1,0,Left-Back,22,Bulgaria,1,0,0,0
97335,Igor Plastun,31614,Ludogorets Razgrad,2022,BU1,32,Centre-Back,31,Ukraine,28,22,0,1554
465087,Tihomir Dimitrov,31614,Ludogorets Razgrad,2022,BU1,0,Centre-Back,22,Bulgaria,0,0,0,0
95790,Georgi Terziev,31614,Ludogorets Razgrad,2022,BU1,5,Centre-Back,30,Bulgaria,21,8,1,549
101294,Cicinho,31614,Ludogorets Razgrad,2022,BU1,0,Right-Back,33,Bulgaria,15,13,1,753
725080,Aleksandar Ganchev,31614,Ludogorets Razgrad,2022,BU1,0,Centre-Back,20,Bulgaria,0,0,0,0
377243,Jakub Piotrowski,31614,Ludogorets Razgrad,2022,BU1,6,Central Midfield,24,Poland,25,25,2,1695
162812,Cauly,31614,Ludogorets Razgrad,2022,BU1,0,Attacking Midfield,26,Brazil,16,16,5,996
568216,Show,31614,Ludogorets Razgrad,2022,BU1,23,Defensive Midfield,23,Angola,24,21,1,986
646679,Pedro Naressi,31614,Ludogorets Razgrad,2022,BU1,30,Defensive Midfield,24,Brazil,18,18,0,1083
219835,Alex Santana,31614,Ludogorets Razgrad,2022,BU1,0,Central Midfield,27,Brazil,3,3,1,269
546172,Nonato,31614,Ludogorets Razgrad,2022,BU1,20,Central Midfield,24,Brazil,21,19,1,865
541288,Ivan Yordanov,31614,Ludogorets Razgrad,2022,BU1,0,Defensive Midfield,21,Bulgaria,10,7,1,422
541287,Dominik Yankov,31614,Ludogorets Razgrad,2022,BU1,64,Attacking Midfield,21,Bulgaria,10,10,0,401
217593,Todor Nedelev,31614,Ludogorets Razgrad,2022,BU1,88,Attacking Midfield,29,Bulgaria,5,3,0,218
280178,Claude Gonçalves,31614,Ludogorets Razgrad,2022,BU1,8,Defensive Midfield,28,Portugal,16,15,1,585
277111,Jorginho,31614,Ludogorets Razgrad,2022,BU1,0,Attacking Midfield,26,Guinea-Bissau,5,3,1,93
728327,Petar Georgiev,31614,Ludogorets Razgrad,2022,BU1,0,Attacking Midfield,20,Bulgaria,0,0,0,0
739443,Igor Thiago,31614,Ludogorets Razgrad,2022,BU1,9,Centre-Forward,21,Brazil,28,28,13,1684
221540,Kiril Despodov,31614,Ludogorets Razgrad,2022,BU1,11,Right Winger,25,Bulgaria,26,26,11,1794
815686,Caio Vidal,31614,Ludogorets Razgrad,2022,BU1,77,Left Winger,21,Brazil,7,6,2,264
422380,Bernard Tekpetey,31614,Ludogorets Razgrad,2022,BU1,37,Right Winger,24,Ghana,24,23,8,1308
645955,Rick,31614,Ludogorets Razgrad,2022,BU1,73,Left Winger,22,Brazil,18,17,2,1191
503001,Matías Tissera,31614,Ludogorets Razgrad,2022,BU1,10,Centre-Forward,25,Argentina,26,24,11,1105
182392,Pieros Sotiriou,31614,Ludogorets Razgrad,2022,BU1,0,Centre-Forward,29,Cyprus,3,2,1,31
462065,Hyusein Kelyovluev,31614,Ludogorets Razgrad,2022,BU1,0,Centre-Forward,22,Bulgaria,0,0,0,0
585868,Vladislav Naydenov,31614,Ludogorets Razgrad,2022,BU1,0,Left Winger,20,Bulgaria,0,0,0,0
124869,Spas Delev,31614,Ludogorets Razgrad,2022,BU1,90,Right Winger,32,Bulgaria,26,25,6,1183
483499,Raí Nascimento,31614,Ludogorets Razgrad,2022,BU1,7,Left Winger,24,Brazil,11,5,0,104
188201,Simon Sluga,31614,Ludogorets Razgrad,2023,BU1,12,Goalkeeper,30,Croatia,27,15,0,1350
817632,Damyan Hristov,31614,Ludogorets Razgrad,2023,BU1,0,Goalkeeper,20,Bulgaria,5,1,0,90
79573,Sergio Padt,31614,Ludogorets Razgrad,2023,BU1,1,Goalkeeper,33,Netherlands,23,14,0,1260
877116,Umut Habil,31614,Ludogorets Razgrad,2023,BU1,0,Goalkeeper,17,Bulgaria,2,0,0,0
892038,Plamen Pepelyashev,31614,Ludogorets Razgrad,2023,BU1,0,Goalkeeper,20,Bulgaria,3,0,0,0
218441,Anton Nedyalkov,31614,Ludogorets Razgrad,2023,BU1,3,Left-Back,30,Bulgaria,6,4,0,315
349856,Son,31614,Ludogorets Razgrad,2023,BU1,17,Right-Back,29,Spain,29,29,2,2227
504125,Olivier Verdon,31614,Ludogorets Razgrad,2023,BU1,24,Centre-Back,27,Benin,25,24,1,2129
423166,Pipa,31614,Ludogorets Razgrad,2023,BU1,0,Right-Back,25,Spain,1,1,0,73
329519,Dinis Almeida,31614,Ludogorets Razgrad,2023,BU1,4,Centre-Back,28,Portugal,10,7,1,544
313944,Aslak Witry,31614,Ludogorets Razgrad,2023,BU1,16,Right-Back,27,Norway,25,23,5,1916
249121,Noah Sonko Sundberg,31614,Ludogorets Razgrad,2023,BU1,26,Centre-Back,27,The Gambia,22,17,0,1431
378463,Franco Russo,31614,Ludogorets Razgrad,2023,BU1,22,Centre-Back,28,Argentina,18,11,2,781
624717,Denny Gropper,31614,Ludogorets Razgrad,2023,BU1,14,Left-Back,24,Israel,2,1,0,27
109830,Marcel Heister,31614,Ludogorets Razgrad,2023,BU1,44,Left-Back,30,Germany,9,6,0,339
412539,Dimitar Iliev,31614,Ludogorets Razgrad,2023,BU1,0,Left-Back,23,Bulgaria,0,0,0,0
97335,Igor Plastun,31614,Ludogorets Razgrad,2023,BU1,32,Centre-Back,32,Ukraine,5,3,0,196
927310,Anastas Pemperski,31614,Ludogorets Razgrad,2023,BU1,0,Centre-Back,20,Bulgaria,0,0,0,0
976611,Nikolay Nikolov,31614,Ludogorets Razgrad,2023,BU1,0,Left-Back,17,Bulgaria,0,0,0,0
628039,Aleks Lukanov,31614,Ludogorets Razgrad,2023,BU1,0,Centre-Back,21,Bulgaria,0,0,0,0
95790,Georgi Terziev,31614,Ludogorets Razgrad,2023,BU1,5,Centre-Back,31,Bulgaria,23,11,1,588
377243,Jakub Piotrowski,31614,Ludogorets Razgrad,2023,BU1,6,Central Midfield,25,Poland,28,27,11,2246
252767,Ivaylo Chochev,31614,Ludogorets Razgrad,2023,BU1,18,Central Midfield,30,Bulgaria,11,9,1,281
568216,Show,31614,Ludogorets Razgrad,2023,BU1,0,Defensive Midfield,24,Angola,1,1,0,17
646679,Pedro Naressi,31614,Ludogorets Razgrad,2023,BU1,30,Defensive Midfield,25,Brazil,30,26,2,1584
546172,Nonato,31614,Ludogorets Razgrad,2023,BU1,0,Central Midfield,25,Brazil,2,2,0,46
541288,Ivan Yordanov,31614,Ludogorets Razgrad,2023,BU1,82,Defensive Midfield,22,Bulgaria,10,10,0,731
541287,Dominik Yankov,31614,Ludogorets Razgrad,2023,BU1,64,Attacking Midfield,22,Bulgaria,16,9,2,397
217593,Todor Nedelev,31614,Ludogorets Razgrad,2023,BU1,88,Attacking Midfield,30,Bulgaria,25,15,2,769
280178,Claude Gonçalves,31614,Ludogorets Razgrad,2023,BU1,8,Defensive Midfield,29,Portugal,28,25,1,1669
475428,Metodiy Stefanov,31614,Ludogorets Razgrad,2023,BU1,0,Central Midfield,22,Bulgaria,0,0,0,0
987341,Rosen Ivanov,31614,Ludogorets Razgrad,2023,BU1,0,Attacking Midfield,20,Bulgaria,0,0,0,0
1268608,Elisey Syrov,31614,Ludogorets Razgrad,2023,BU1,0,Attacking Midfield,15,Russia,0,0,0,0
221540,Kiril Despodov,31614,Ludogorets Razgrad,2023,BU1,0,Right Winger,26,Bulgaria,6,4,2,166
815686,Caio Vidal,31614,Ludogorets Razgrad,2023,BU1,77,Left Winger,22,Brazil,30,27,5,1133
973569,Rwan Cruz,31614,Ludogorets Razgrad,2023,BU1,99,Centre-Forward,22,Brazil,28,28,11,1627
422380,Bernard Tekpetey,31614,Ludogorets Razgrad,2023,BU1,37,Right Winger,25,Ghana,28,28,10,1967
355641,Mounir Chouiar,31614,Ludogorets Razgrad,2023,BU1,11,Left Winger,24,Morocco,9,7,0,243
645955,Rick,31614,Ludogorets Razgrad,2023,BU1,7,Left Winger,23,Brazil,30,28,2,1573
254955,Kwadwo Duah,31614,Ludogorets Razgrad,2023,BU1,9,Centre-Forward,26,Switzerland,20,20,10,1186
503001,Matías Tissera,31614,Ludogorets Razgrad,2023,BU1,10,Centre-Forward,26,Argentina,24,10,2,106
462065,Hyusein Kelyovluev,31614,Ludogorets Razgrad,2023,BU1,0,Centre-Forward,23,Bulgaria,0,0,0,0
585868,Vladislav Naydenov,31614,Ludogorets Razgrad,2023,BU1,0,Left Winger,21,Bulgaria,0,0,0,0
1068236,Filip Gigov,31614,Ludogorets Razgrad,2023,BU1,0,Centre-Forward,16,Bulgaria,0,0,0,0
987329,Yoan Yordanov,31614,Ludogorets Razgrad,2023,BU1,0,Centre-Forward,19,Bulgaria,0,0,0,0
124869,Spas Delev,31614,Ludogorets Razgrad,2023,BU1,90,Right Winger,33,Bulgaria,27,23,3,618
483499,Raí Nascimento,31614,Ludogorets Razgrad,2023,BU1,18,Left Winger,25,Brazil,10,2,0,64
895473,Aleks Bozhev,208,CSKA Sofia,2021,BU1,12,Goalkeeper,15,Bulgaria,0,0,0,0
198418,Dimitar Evtimov,208,CSKA Sofia,2021,BU1,25,Goalkeeper,27,Bulgaria,26,4,0,360
745448,Iliya Shalamanov-Trenkov,208,CSKA Sofia,2021,BU1,0,Goalkeeper,18,Australia,0,0,0,0
136574,Gustavo Busatto,208,CSKA Sofia,2021,BU1,1,Goalkeeper,30,Brazil,26,22,0,1980
877124,Rosen Bozhinov,208,CSKA Sofia,2021,BU1,0,Centre-Back,16,Bulgaria,1,1,0,19
227347,Valentin Antov,208,CSKA Sofia,2021,BU1,0,Centre-Back,20,Bulgaria,1,1,0,90
358507,Bradley Mazikou,208,CSKA Sofia,2021,BU1,0,Left-Back,25,Congo,20,19,2,1710
139304,Karol Mets,208,CSKA Sofia,2021,BU1,0,Centre-Back,28,Estonia,14,12,0,708
550466,Ivan Turitsov,208,CSKA Sofia,2021,BU1,19,Right-Back,21,Bulgaria,23,22,0,1684
628042,Hristiyan Petrov,208,CSKA Sofia,2021,BU1,6,Centre-Back,19,Bulgaria,7,3,0,172
188501,Thibaut Vion,208,CSKA Sofia,2021,BU1,15,Right-Back,27,France,16,16,0,1000
725085,Asen Donchev,208,CSKA Sofia,2021,BU1,16,Right-Back,19,Bulgaria,10,5,0,292
131821,Thomas Lam,208,CSKA Sofia,2021,BU1,0,Centre-Back,27,Finland,22,19,0,1478
329055,Enes Mahmutovic,208,CSKA Sofia,2021,BU1,0,Centre-Back,24,Luxembourg,0,0,0,0
182578,Menno Koch,208,CSKA Sofia,2021,BU1,4,Centre-Back,26,Netherlands,8,8,1,655
221545,Plamen Galabov,208,CSKA Sofia,2021,BU1,0,Centre-Back,25,Bulgaria,14,7,0,210
877131,Rosen Marinov,208,CSKA Sofia,2021,BU1,0,Centre-Back,16,Bulgaria,0,0,0,0
993353,Kaloyan Pehlivanov,208,CSKA Sofia,2021,BU1,0,Centre-Back,17,Bulgaria,1,0,0,0
188660,Jurgen Mattheij,208,CSKA Sofia,2021,BU1,2,Centre-Back,28,Netherlands,22,22,4,1908
360314,Geferson,208,CSKA Sofia,2021,BU1,3,Left-Back,27,Brazil,22,22,0,1534
388042,Karlo Muhar,208,CSKA Sofia,2021,BU1,0,Defensive Midfield,25,Croatia,21,21,2,1538
499449,Yoan Baurenski,208,CSKA Sofia,2021,BU1,0,Defensive Midfield,19,Bulgaria,0,0,0,0
309980,Federico Varela,208,CSKA Sofia,2021,BU1,5,Attacking Midfield,25,Argentina,14,11,0,496
203540,Amos Youga,208,CSKA Sofia,2021,BU1,21,Central Midfield,28,Central African Republic,20,20,3,1240
653707,Martin Smolenski,208,CSKA Sofia,2021,BU1,0,Attacking Midfield,18,Bulgaria,0,0,0,0
978808,Georgi Chorbadzhiyski,208,CSKA Sofia,2021,BU1,0,Attacking Midfield,16,Bulgaria,0,0,0,0
80339,Graham Carey,208,CSKA Sofia,2021,BU1,8,Left Midfield,32,Ireland,19,19,1,1254
701315,Junior Nzila,208,CSKA Sofia,2021,BU1,0,Defensive Midfield,20,France,5,2,0,3
725082,Hristo Radkov,208,CSKA Sofia,2021,BU1,0,Central Midfield,20,Bulgaria,0,0,0,0
360412,Jordy Caicedo,208,CSKA Sofia,2021,BU1,9,Centre-Forward,23,Ecuador,24,24,15,1942
802809,Maurício Garcez,208,CSKA Sofia,2021,BU1,27,Left Winger,24,Brazil,7,6,1,269
389306,Hamza Catakovic,208,CSKA Sofia,2021,BU1,0,Centre-Forward,24,Bosnia-Herzegovina,9,6,0,295
345412,Ahmed Ahmedov,208,CSKA Sofia,2021,BU1,0,Centre-Forward,26,Bulgaria,9,6,0,257
429706,Mitko Mitkov,208,CSKA Sofia,2021,BU1,0,Left Winger,20,Bulgaria,0,0,0,0
755161,Bismark Charles,208,CSKA Sofia,2021,BU1,17,Centre-Forward,20,Ghana,12,11,0,253
550468,Radoslav Zhivkov,208,CSKA Sofia,2021,BU1,0,Centre-Forward,22,Bulgaria,1,1,0,59
469039,Yohan Baï,208,CSKA Sofia,2021,BU1,7,Right Winger,24,France,22,19,3,932
411410,Kaloyan Krastev,208,CSKA Sofia,2021,BU1,14,Centre-Forward,22,Bulgaria,20,13,0,213
412547,Ivan Mitrev,208,CSKA Sofia,2021,BU1,0,Right Winger,22,Bulgaria,0,0,0,0
423348,Georgi Yomov,208,CSKA Sofia,2021,BU1,10,Right Winger,23,Bulgaria,23,22,6,1697
778476,Brayan Moreno,208,CSKA Sofia,2021,BU1,28,Centre-Forward,21,Colombia,1,1,0,29
151189,Yanic Wildschut,208,CSKA Sofia,2021,BU1,30,Left Winger,29,Suriname,26,24,0,1428
133831,Kristijan Kahlina,31614,Ludogorets Razgrad,2021,BU1,0,Goalkeeper,28,Croatia,17,10,0,900
