player_id,player_name,team_id,team_name,season,competition,shirt_number,position,age,nationality,in_squad,appearances,goals,minutes_played
379548,Jokin Ezkieta,630,Racing Santander,2024,ES2,13,Goalkeeper,27,Spain,42,42,0,3780
242301,Miquel Parera,630,Racing Santander,2024,ES2,1,Goalkeeper,28,Spain,42,0,0,0
1262996,Jorge Salinas,630,Racing Santander,2024,ES2,0,Left-Back,17,Spain,19,1,0,90
740253,Javi Castro,630,Racing Santander,2024,ES2,5,Centre-Back,23,Spain,42,37,3,2761
396161,Manu Hernando,630,Racing Santander,2024,ES2,18,Centre-Back,25,Spain,40,27,0,1860
318520,Clément Michelin,630,Racing Santander,2024,ES2,17,Right-Back,27,France,32,31,2,2174
396333,Javi Montero,630,Racing Santander,2024,ES2,24,Centre-Back,25,Spain,34,25,1,2167
636116,Álvaro Mantilla,630,Racing Santander,2024,ES2,2,Right-Back,24,Spain,19,14,0,1005
889459,Mario García,630,Racing Santander,2024,ES2,40,Left-Back,20,Spain,41,32,3,2482
274540,Pol Moreno,630,Racing Santander,2024,ES2,4,Centre-Back,30,Spain,26,2,0,11
249471,Saúl García,630,Racing Santander,2024,ES2,3,Left-Back,29,Spain,40,21,0,1282
197131,Marco Sangalli,630,Racing Santander,2024,ES2,15,Right-Back,32,Spain,40,33,4,1540
720035,Marco Carrascal,630,Racing Santander,2024,ES2,0,Centre-Back,21,Spain,14,3,0,32
1106904,Aitor Crespo,630,Racing Santander,2024,ES2,0,Centre-Back,18,Spain,2,0,0,0
663258,Aritz Aldasoro,630,Racing Santander,2024,ES2,8,Central Midfield,25,Spain,40,39,2,2899
537765,Pablo Rodríguez,630,Racing Santander,2024,ES2,22,Attacking Midfield,22,Spain,41,34,7,1825
610083,Unai Vencedor,630,Racing Santander,2024,ES2,21,Central Midfield,23,Spain,41,38,0,2738
658269,Víctor Meseguer,630,Racing Santander,2024,ES2,23,Central Midfield,25,Spain,20,18,0,726
522730,Íñigo Sainz-Maza,630,Racing Santander,2024,ES2,6,Central Midfield,26,Spain,11,9,0,243
933795,Maguette Gueye,630,Racing Santander,2024,ES2,12,Defensive Midfield,21,Senegal,39,27,0,1153
1106911,Diego Díaz,630,Racing Santander,2024,ES2,0,Attacking Midfield,19,Spain,9,2,0,33
1106909,Mario Solórzano,630,Racing Santander,2024,ES2,0,Attacking Midfield,19,Spain,2,0,0,0
531277,Andrés Martín,630,Racing Santander,2024,ES2,11,Right Winger,24,Spain,41,41,16,3354
971663,Jeremy Arévalo,630,Racing Santander,2024,ES2,29,Centre-Forward,19,Ecuador,30,7,0,151
335216,Iñigo Vicente,630,Racing Santander,2024,ES2,10,Left Winger,26,Spain,40,40,3,3338
711382,Jon Karrikaburu,630,Racing Santander,2024,ES2,19,Centre-Forward,21,Spain,42,41,8,1989
461631,Juan Carlos Arana,630,Racing Santander,2024,ES2,9,Centre-Forward,24,Spain,38,38,13,2288
1124136,Ángel Pérez,630,Racing Santander,2024,ES2,0,Right Winger,22,Spain,2,0,0,0
707568,Suleiman Camara,630,Racing Santander,2024,ES2,20,Right Winger,22,The Gambia,30,21,1,433
505675,Rober González,630,Racing Santander,2024,ES2,16,Right Winger,23,Spain,17,16,0,602
512070,Ekain Zenitagoia,630,Racing Santander,2024,ES2,14,Second Striker,30,Spain,30,8,1,63
930600,Izan Yurrieta,630,Racing Santander,2024,ES2,0,Right Winger,21,Spain,2,1,0,10
100722,Lago Júnior,630,Racing Santander,2024,ES2,7,Left Winger,33,Cote d'Ivoire,41,19,1,459
379548,Jokin Ezkieta,630,Racing Santander,2023,ES2,13,Goalkeeper,26,Spain,42,42,0,3780
242301,Miquel Parera,630,Racing Santander,2023,ES2,1,Goalkeeper,27,Spain,36,0,0,0
505494,Germán Fernández,630,Racing Santander,2023,ES2,0,Goalkeeper,22,Spain,6,0,0,0
396161,Manu Hernando,630,Racing Santander,2023,ES2,18,Centre-Back,24,Spain,18,18,1,1619
636116,Álvaro Mantilla,630,Racing Santander,2023,ES2,2,Right-Back,23,Spain,26,23,2,2070
889459,Mario García,630,Racing Santander,2023,ES2,40,Left-Back,19,Spain,38,21,0,1325
531121,Juan Gutiérrez,630,Racing Santander,2023,ES2,22,Centre-Back,23,Spain,37,3,0,109
403187,Dani Fernández,630,Racing Santander,2023,ES2,23,Right-Back,26,Spain,30,22,1,1620
379743,Rubén Alves,630,Racing Santander,2023,ES2,15,Centre-Back,28,Spain,39,25,2,1947
