player_id,player_name,team_id,team_name,season,competition,shirt_number,position,age,nationality,in_squad,appearances,goals,minutes_played
838947,Alexandre Pierre,750,FC Sochaux-Montbéliard,2025,FR3,30,Goalkeeper,25,Haiti,23,23,0,2070
191882,Mehdi Jeannin,750,FC Sochaux-Montbéliard,2025,FR3,1,Goalkeeper,35,Algeria,9,6,0,540
1171934,Élie N'Gatta,750,FC Sochaux-Montbéliard,2025,FR3,26,Right-Back,20,France,21,20,0,1556
918871,Arthur Vitelli,750,FC Sochaux-Montbéliard,2025,FR3,4,Centre-Back,25,France,26,26,0,2320
321930,Dylan Tavares,750,FC Sochaux-Montbéliard,2025,FR3,24,Left-Back,29,Cape Verde,27,25,0,1905
594109,Boris Moltenis,750,FC Sochaux-Montbéliard,2025,FR3,0,Centre-Back,26,Martinique,2,1,0,90
974995,Dalangunypole Gomis,750,FC Sochaux-Montbéliard,2025,FR3,3,Centre-Back,21,France,10,10,0,530
315075,Bendjaloud Youssouf,750,FC Sochaux-Montbéliard,2025,FR3,17,Right-Back,32,Comoros,20,20,0,1378
111026,Mathieu Peybernes,750,FC Sochaux-Montbéliard,2025,FR3,14,Centre-Back,35,France,28,27,1,2288
233739,Prince Mendy,750,FC Sochaux-Montbéliard,2025,FR3,20,Centre-Back,31,Senegal,13,4,0,138
1143456,Abderrezzek Saidi,750,FC Sochaux-Montbéliard,2025,FR3,0,Right-Back,20,Algeria,1,0,0,0
1173602,Enzo-Noël Dodé,750,FC Sochaux-Montbéliard,2025,FR3,0,Left-Back,19,France,2,2,0,135
627464,Samy Benchamma,750,FC Sochaux-Montbéliard,2025,FR3,0,Defensive Midfield,25,France,3,2,0,10
1173606,Elson Mendes,750,FC Sochaux-Montbéliard,2025,FR3,6,Defensive Midfield,20,Cape Verde,25,25,2,1778
494315,Julien Masson,750,FC Sochaux-Montbéliard,2025,FR3,23,Defensive Midfield,27,France,29,29,1,2502
182823,Jonathan Mexique,750,FC Sochaux-Montbéliard,2025,FR3,15,Central Midfield,31,Martinique,28,28,1,1958
1321676,Honoré Bayanginisa,750,FC Sochaux-Montbéliard,2025,FR3,8,Defensive Midfield,21,DR Congo,10,8,2,61
