player_id,player_name,team_id,team_name,season,competition,shirt_number,position,age,nationality,in_squad,appearances,goals,minutes_played
367745,Lazare Kupatadze,41133,Iberia 1999 Tbilisi,2023,GE1N,13,Goalkeeper,27,Georgia,18,18,0,1620
55977,Giorgi Makaridze,41133,Iberia 1999 Tbilisi,2023,GE1N,31,Goalkeeper,33,Georgia,18,18,0,1604
539985,Tornike Megrelishvili,41133,Iberia 1999 Tbilisi,2023,GE1N,1,Goalkeeper,23,Georgia,0,0,0,0
888024,Revaz Kurtanidze,41133,Iberia 1999 Tbilisi,2023,GE1N,1,Goalkeeper,18,Georgia,36,0,0,0
1290712,Saba Bochorishvili,41133,Iberia 1999 Tbilisi,2023,GE1N,25,Goalkeeper,19,Georgia,0,0,0,0
900470,Aleksandre Narimanidze,41133,Iberia 1999 Tbilisi,2023,GE1N,3,Centre-Back,17,Georgia,34,15,0,464
502677,Tsotne Kapanadze,41133,Iberia 1999 Tbilisi,2023,GE1N,20,Right-Back,21,Georgia,36,36,1,3115
502669,Iva Gelashvili,41133,Iberia 1999 Tbilisi,2023,GE1N,5,Centre-Back,22,Georgia,13,11,0,945
591360,Derek Agyakwa,41133,Iberia 1999 Tbilisi,2023,GE1N,24,Centre-Back,21,Netherlands,36,33,1,2757
714252,Saba Mamatsashvili,41133,Iberia 1999 Tbilisi,2023,GE1N,33,Left-Back,20,Georgia,18,18,3,1094
502665,Jemali-Giorgi Jinjolava,41133,Iberia 1999 Tbilisi,2023,GE1N,5,Left-Back,23,Georgia,17,17,0,1519
900480,Giorgi Tabatadze,41133,Iberia 1999 Tbilisi,2023,GE1N,35,Left-Back,17,Georgia,18,11,0,74
208907,Giorgi Jgerenaia,41133,Iberia 1999 Tbilisi,2023,GE1N,4,Centre-Back,29,Georgia,32,32,2,2545
521845,Glib Grachov,41133,Iberia 1999 Tbilisi,2023,GE1N,24,Centre-Back,26,Ukraine,0,0,0,0
255518,Gia Chaduneli,41133,Iberia 1999 Tbilisi,2023,GE1N,40,Centre-Back,29,Georgia,0,0,0,0
1184106,Giorgi Gogsadze,41133,Iberia 1999 Tbilisi,2023,GE1N,20,Right-Back,16,Georgia,17,5,0,37
315556,Artem Yuran,41133,Iberia 1999 Tbilisi,2023,GE1N,26,Right-Back,26,Russia,0,0,0,0
319448,Irakli Komakhidze,41133,Iberia 1999 Tbilisi,2023,GE1N,15,Left-Back,26,Georgia,17,16,1,939
1025424,Solomon Agbalaka,41133,Iberia 1999 Tbilisi,2023,GE1N,30,Left-Back,19,Nigeria,32,23,0,1215
530673,Shota Nonikashvili,41133,Iberia 1999 Tbilisi,2023,GE1N,6,Defensive Midfield,22,Georgia,17,17,8,1312
724965,Gizo Mamageishvili,41133,Iberia 1999 Tbilisi,2023,GE1N,17,Attacking Midfield,20,Georgia,24,24,6,1826
724966,Otar Mamageishvili,41133,Iberia 1999 Tbilisi,2023,GE1N,23,Central Midfield,20,Georgia,30,29,6,2359
