player_id,player_name,team_id,team_name,season,competition,shirt_number,position,age,nationality,in_squad,appearances,goals,minutes_played
147051,Yvon Mvogo,383,PSV Eindhoven,2021,NL1,38,Goalkeeper,27,Switzerland,33,8,0,720
333640,Joël Drommel,383,PSV Eindhoven,2021,NL1,16,Goalkeeper,24,Netherlands,34,26,0,2340
409490,Maxime Delanghe,383,PSV Eindhoven,2021,NL1,21,Goalkeeper,20,Belgium,16,0,0,0
453807,Vincent Müller,383,PSV Eindhoven,2021,NL1,13,Goalkeeper,20,Germany,14,0,0,0
654919,Kjell Peersman,383,PSV Eindhoven,2021,NL1,0,Goalkeeper,17,Belgium,0,0,0,0
559331,Aron van Lare,383,PSV Eindhoven,2021,NL1,0,Goalkeeper,18,Netherlands,1,0,0,0
323910,Mauro Júnior,383,PSV Eindhoven,2021,NL1,17,Left-Back,22,Brazil,34,27,2,2118
364245,Jordan Teze,383,PSV Eindhoven,2021,NL1,3,Right-Back,21,Netherlands,32,29,1,2040
318508,Olivier Boscagli,383,PSV Eindhoven,2021,NL1,18,Centre-Back,23,France,28,28,4,2359
575367,Richard Ledezma,383,PSV Eindhoven,2021,NL1,37,Right-Back,20,Mexico,14,5,1,36
617755,Jenson Seelt,383,PSV Eindhoven,2021,NL1,0,Centre-Back,18,Netherlands,9,1,0,15
339337,Armando Obispo,383,PSV Eindhoven,2021,NL1,4,Centre-Back,22,Curacao,24,17,1,1061
127573,Phillipp Mwene,383,PSV Eindhoven,2021,NL1,29,Left-Back,27,Austria,21,19,3,1414
175792,André Ramalho,383,PSV Eindhoven,2021,NL1,5,Centre-Back,29,Brazil,21,20,3,1695
539665,Fredrik Oppegård,383,PSV Eindhoven,2021,NL1,0,Left-Back,18,Norway,2,1,0,13
111275,Philipp Max,383,PSV Eindhoven,2021,NL1,31,Left-Back,27,Germany,29,25,1,1797
93081,Nick Viergever,383,PSV Eindhoven,2021,NL1,0,Centre-Back,31,Netherlands,3,1,0,6
412939,Dennis Vos,383,PSV Eindhoven,2021,NL1,0,Centre-Back,19,Netherlands,7,1,0,45
702869,Ismael Saibari,383,PSV Eindhoven,2021,NL1,0,Attacking Midfield,20,Morocco,3,0,0,0
408574,Joey Veerman,383,PSV Eindhoven,2021,NL1,23,Central Midfield,22,Netherlands,15,15,4,1037
375885,Ibrahim Sangaré,383,PSV Eindhoven,2021,NL1,6,Defensive Midfield,23,Cote d'Ivoire,29,29,3,2415
321204,Michal Sadílek,383,PSV Eindhoven,2021,NL1,0,Central Midfield,22,Czech Republic,0,0,0,0
370791,Pablo Rosario,383,PSV Eindhoven,2021,NL1,0,Defensive Midfield,24,Dominican Republic,0,0,0,0
74842,Mario Götze,383,PSV Eindhoven,2021,NL1,27,Attacking Midfield,29,Germany,30,29,4,2221
503638,Mohamed Ihattaren,383,PSV Eindhoven,2021,NL1,0,Attacking Midfield,19,Morocco,0,0,0,0
298796,Érick Gutiérrez,383,PSV Eindhoven,2021,NL1,15,Central Midfield,26,Mexico,33,25,1,1741
203357,Ryan Thomas,383,PSV Eindhoven,2021,NL1,30,Defensive Midfield,26,New Zealand,6,6,1,199
79027,Davy Pröpper,383,PSV Eindhoven,2021,NL1,0,Central Midfield,29,Netherlands,10,9,1,294
147034,Marco van Ginkel,383,PSV Eindhoven,2021,NL1,8,Central Midfield,28,Netherlands,28,23,1,994
434675,Cody Gakpo,383,PSV Eindhoven,2021,NL1,11,Left Winger,22,Netherlands,27,27,12,1910
503987,Noni Madueke,383,PSV Eindhoven,2021,NL1,10,Right Winger,19,England,19,18,3,826
565424,Johan Bakayoko,383,PSV Eindhoven,2021,NL1,0,Right Winger,18,Belgium,7,3,0,33
358504,Ritsu Doan,383,PSV Eindhoven,2021,NL1,25,Right Winger,23,Japan,26,24,8,1520
525287,Carlos Vinícius,383,PSV Eindhoven,2021,NL1,9,Centre-Forward,26,Brazil,23,23,6,1100
409517,Yorbe Vertessen,383,PSV Eindhoven,2021,NL1,32,Centre-Forward,20,Belgium,28,24,6,787
139396,Bruma,383,PSV Eindhoven,2021,NL1,19,Left Winger,26,Portugal,33,28,7,1278
365758,Maximiliano Romero,383,PSV Eindhoven,2021,NL1,20,Centre-Forward,22,Argentina,21,10,0,159
594273,Jeremy Antonisse,383,PSV Eindhoven,2021,NL1,0,Left Winger,19,Curacao,0,0,0,0
594039,Fodé Fofana,383,PSV Eindhoven,2021,NL1,0,Centre-Forward,18,Netherlands,3,0,0,0
85093,Eran Zahavi,383,PSV Eindhoven,2021,NL1,7,Centre-Forward,33,Israel,26,25,11,1529
296802,Walter Benítez,383,PSV Eindhoven,2022,NL1,1,Goalkeeper,29,Argentina,30,30,0,2700
333640,Joël Drommel,383,PSV Eindhoven,2022,NL1,16,Goalkeeper,25,Netherlands,34,4,0,360
654919,Kjell Peersman,383,PSV Eindhoven,2022,NL1,41,Goalkeeper,18,Belgium,2,0,0,0
723005,Niek Schiks,383,PSV Eindhoven,2022,NL1,0,Goalkeeper,18,Netherlands,3,0,0,0
4391,Boy Waterman,383,PSV Eindhoven,2022,NL1,24,Goalkeeper,38,Netherlands,33,0,0,0
661053,Jarrad Branthwaite,383,PSV Eindhoven,2022,NL1,22,Centre-Back,20,England,31,27,2,1989
323910,Mauro Júnior,383,PSV Eindhoven,2022,NL1,17,Left-Back,23,Brazil,8,6,0,271
364245,Jordan Teze,383,PSV Eindhoven,2022,NL1,3,Right-Back,22,Netherlands,34,27,0,2013
318508,Olivier Boscagli,383,PSV Eindhoven,2022,NL1,18,Centre-Back,24,France,13,7,1,219
575367,Richard Ledezma,383,PSV Eindhoven,2022,NL1,0,Right-Back,21,Mexico,23,7,0,130
485583,Ki-Jana Hoever,383,PSV Eindhoven,2022,NL1,0,Right-Back,20,Netherlands,15,5,0,209
617755,Jenson Seelt,383,PSV Eindhoven,2022,NL1,0,Centre-Back,19,Netherlands,5,0,0,0
660746,Fedde Leysen,383,PSV Eindhoven,2022,NL1,0,Centre-Back,18,Belgium,5,0,0,0
339337,Armando Obispo,383,PSV Eindhoven,2022,NL1,4,Centre-Back,23,Curacao,25,22,2,1727
127573,Phillipp Mwene,383,PSV Eindhoven,2022,NL1,29,Left-Back,28,Austria,31,25,0,1691
241457,Derrick Luckassen,383,PSV Eindhoven,2022,NL1,0,Centre-Back,26,Ghana,2,0,0,0
175792,André Ramalho,383,PSV Eindhoven,2022,NL1,5,Centre-Back,30,Brazil,34,28,0,1831
539665,Fredrik Oppegård,383,PSV Eindhoven,2022,NL1,0,Left-Back,19,Norway,9,3,0,156
626764,Livano Comenencia,383,PSV Eindhoven,2022,NL1,0,Right-Back,18,Curacao,1,0,0,0
111275,Philipp Max,383,PSV Eindhoven,2022,NL1,0,Left-Back,28,Germany,16,14,0,1024
738481,Emmanuel van de Blaak,383,PSV Eindhoven,2022,NL1,0,Centre-Back,17,Netherlands,0,0,0,0
52119,Patrick van Aanholt,383,PSV Eindhoven,2022,NL1,30,Left-Back,31,Netherlands,15,15,1,1180
566931,Xavi Simons,383,PSV Eindhoven,2022,NL1,7,Attacking Midfield,19,Netherlands,34,34,19,2821
702869,Ismael Saibari,383,PSV Eindhoven,2022,NL1,28,Attacking Midfield,21,Morocco,25,17,0,410
408574,Joey Veerman,383,PSV Eindhoven,2022,NL1,23,Central Midfield,23,Netherlands,34,33,4,2491
375885,Ibrahim Sangaré,383,PSV Eindhoven,2022,NL1,6,Defensive Midfield,24,Cote d'Ivoire,31,29,5,2304
372267,Guus Til,383,PSV Eindhoven,2022,NL1,20,Attacking Midfield,24,Netherlands,33,30,9,1760
102226,Thorgan Hazard,383,PSV Eindhoven,2022,NL1,11,Attacking Midfield,29,Belgium,10,9,1,244
298796,Érick Gutiérrez,383,PSV Eindhoven,2022,NL1,15,Central Midfield,27,Mexico,34,30,2,1449
816974,Tygo Land,383,PSV Eindhoven,2022,NL1,0,Central Midfield,16,Netherlands,2,0,0,0
640565,Mohamed Nassoh,383,PSV Eindhoven,2022,NL1,0,Attacking Midfield,19,Morocco,2,0,0,0
608889,Mathijs Tielemans,383,PSV Eindhoven,2022,NL1,0,Central Midfield,20,Netherlands,2,0,0,0
147034,Marco van Ginkel,383,PSV Eindhoven,2022,NL1,0,Central Midfield,29,Netherlands,9,1,0,6
434675,Cody Gakpo,383,PSV Eindhoven,2022,NL1,0,Left Winger,23,Netherlands,14,14,9,1126
503987,Noni Madueke,383,PSV Eindhoven,2022,NL1,0,Right Winger,20,England,6,5,1,277
743591,Savinho,383,PSV Eindhoven,2022,NL1,33,Left Winger,18,Brazil,12,6,0,96
505653,Fábio Silva,383,PSV Eindhoven,2022,NL1,10,Centre-Forward,19,Portugal,16,14,4,600
565424,Johan Bakayoko,383,PSV Eindhoven,2022,NL1,27,Right Winger,19,Belgium,32,23,5,1378
525287,Carlos Vinícius,383,PSV Eindhoven,2022,NL1,0,Centre-Forward,27,Brazil,2,1,0,45
409517,Yorbe Vertessen,383,PSV Eindhoven,2022,NL1,0,Centre-Forward,21,Belgium,12,8,0,148
72522,Luuk de Jong,383,PSV Eindhoven,2022,NL1,9,Centre-Forward,31,Netherlands,24,24,14,1756
183720,Anwar El Ghazi,383,PSV Eindhoven,2022,NL1,21,Right Winger,27,Netherlands,26,23,8,1184
738478,Jason van Duiven,383,PSV Eindhoven,2022,NL1,0,Centre-Forward,17,Netherlands,1,0,0,0
594039,Fodé Fofana,383,PSV Eindhoven,2022,NL1,0,Centre-Forward,19,Netherlands,2,1,0,14
296802,Walter Benítez,383,PSV Eindhoven,2023,NL1,1,Goalkeeper,30,Argentina,34,33,0,2965
333640,Joël Drommel,383,PSV Eindhoven,2023,NL1,16,Goalkeeper,26,Netherlands,34,1,0,90
654919,Kjell Peersman,383,PSV Eindhoven,2023,NL1,41,Goalkeeper,19,Belgium,0,0,0,0
723005,Niek Schiks,383,PSV Eindhoven,2023,NL1,61,Goalkeeper,19,Netherlands,1,0,0,0
4391,Boy Waterman,383,PSV Eindhoven,2023,NL1,24,Goalkeeper,39,Netherlands,33,1,0,5
361104,Sergiño Dest,383,PSV Eindhoven,2023,NL1,8,Right-Back,22,United States,27,25,2,2126
323910,Mauro Júnior,383,PSV Eindhoven,2023,NL1,17,Left-Back,24,Brazil,20,16,1,873
364245,Jordan Teze,383,PSV Eindhoven,2023,NL1,3,Right-Back,23,Netherlands,32,30,2,2488
318508,Olivier Boscagli,383,PSV Eindhoven,2023,NL1,18,Centre-Back,25,France,34,33,3,2839
467563,Armel Bella-Kotchap,383,PSV Eindhoven,2023,NL1,6,Centre-Back,21,Germany,15,4,0,163
575367,Richard Ledezma,383,PSV Eindhoven,2023,NL1,37,Right-Back,22,Mexico,7,1,0,5
339337,Armando Obispo,383,PSV Eindhoven,2023,NL1,4,Centre-Back,24,Curacao,20,9,0,170
127573,Phillipp Mwene,383,PSV Eindhoven,2023,NL1,0,Left-Back,29,Austria,1,0,0,0
412937,Shurandy Sambo,383,PSV Eindhoven,2023,NL1,2,Right-Back,21,Curacao,33,11,0,181
175792,André Ramalho,383,PSV Eindhoven,2023,NL1,5,Centre-Back,31,Brazil,33,33,3,2364
539665,Fredrik Oppegård,383,PSV Eindhoven,2023,NL1,35,Left-Back,20,Norway,0,0,0,0
626764,Livano Comenencia,383,PSV Eindhoven,2023,NL1,0,Right-Back,19,Curacao,0,0,0,0
52119,Patrick van Aanholt,383,PSV Eindhoven,2023,NL1,30,Left-Back,32,Netherlands,34,24,1,1101
702869,Ismael Saibari,383,PSV Eindhoven,2023,NL1,34,Attacking Midfield,22,Morocco,24,19,5,1017
