player_id,player_name,team_id,team_name,season,competition,shirt_number,position,age,nationality,in_squad,appearances,goals,minutes_played
501737,Leo Kokubo,10330,SL Benfica B,2023,PO2,45,Goalkeeper,22,Japan,16,16,0,1387
670710,André Gomes,10330,SL Benfica B,2023,PO2,75,Goalkeeper,18,Portugal,16,16,0,1440
718216,Pedro Souza,10330,SL Benfica B,2023,PO2,92,Goalkeeper,21,Portugal,23,2,0,180
575722,Ricardo Ribeiro,10330,SL Benfica B,2023,PO2,98,Goalkeeper,20,Portugal,14,1,0,53
977465,Gustavo Marques,10330,SL Benfica B,2023,PO2,76,Centre-Back,21,Brazil,33,31,1,2738
582987,Adrian Bajrami,10330,SL Benfica B,2023,PO2,81,Centre-Back,21,Switzerland,32,29,2,2610
866086,Joshua Wynder,10330,SL Benfica B,2023,PO2,66,Centre-Back,18,United States,1,1,0,21
934031,Kiko,10330,SL Benfica B,2023,PO2,78,Left-Back,21,Portugal,18,13,0,515
858252,Diogo Spencer,10330,SL Benfica B,2023,PO2,0,Right-Back,19,Portugal,16,13,1,690
834443,Tiago Cóser,10330,SL Benfica B,2023,PO2,73,Centre-Back,19,Brazil,0,0,0,0
549034,Rafa Rodrigues,10330,SL Benfica B,2023,PO2,48,Left-Back,21,Portugal,28,28,1,2276
983554,João Fonseca,10330,SL Benfica B,2023,PO2,0,Centre-Back,16,Portugal,5,0,0,0
1093811,Tiago Parente,10330,SL Benfica B,2023,PO2,0,Left-Back,17,Portugal,1,1,0,28
551981,João Tomé,10330,SL Benfica B,2023,PO2,71,Right-Back,20,Portugal,31,28,0,1883
620315,Lenny Lacroix,10330,SL Benfica B,2023,PO2,62,Centre-Back,20,France,33,13,0,837
549003,Filipe Cruz,10330,SL Benfica B,2023,PO2,70,Right-Back,21,Portugal,7,7,0,438
899485,José Müller,10330,SL Benfica B,2023,PO2,0,Centre-Back,20,Portugal,1,0,0,0
666551,Maestro,10330,SL Benfica B,2023,PO2,58,Defensive Midfield,19,Angola,15,9,3,559
637803,Rafael Luís,10330,SL Benfica B,2023,PO2,83,Defensive Midfield,18,Portugal,34,23,0,903
931415,João Rego,10330,SL Benfica B,2023,PO2,84,Attacking Midfield,18,Portugal,30,26,2,1490
670718,Diogo Prioste,10330,SL Benfica B,2023,PO2,86,Central Midfield,19,Portugal,32,27,1,1644
858251,Nuno Félix,10330,SL Benfica B,2023,PO2,60,Defensive Midfield,19,Portugal,34,32,3,2228
708192,Žan Jevšenak,10330,SL Benfica B,2023,PO2,74,Defensive Midfield,20,Slovenia,33,24,1,1284
670683,Hugo Félix,10330,SL Benfica B,2023,PO2,79,Attacking Midfield,19,Portugal,34,27,2,724
1000674,Gianluca Prestianni,10330,SL Benfica B,2023,PO2,0,Right Winger,17,Argentina,6,6,1,417
479638,Tiago Gouveia,10330,SL Benfica B,2023,PO2,0,Right Winger,22,Portugal,1,1,0,90
931900,Gustavo Varela,10330,SL Benfica B,2023,PO2,89,Centre-Forward,18,Cape Verde,22,22,3,764
820252,Benchimol,10330,SL Benfica B,2023,PO2,90,Centre-Forward,21,Cape Verde,16,15,5,755
659713,Gerson Sousa,10330,SL Benfica B,2023,PO2,77,Right Winger,21,Portugal,34,34,2,2041
814268,Cauê,10330,SL Benfica B,2023,PO2,88,Centre-Forward,20,Brazil,30,28,7,1532
505655,Henrique Pereira,10330,SL Benfica B,2023,PO2,52,Left Winger,21,Portugal,25,24,6,1645
825835,Pedro Santos,10330,SL Benfica B,2023,PO2,80,Right Winger,20,Portugal,31,31,5,2251
931416,Ivan Lima,10330,SL Benfica B,2023,PO2,0,Left Winger,18,Portugal,4,2,0,12
670685,Precatado,10330,SL Benfica B,2023,PO2,57,Right Winger,18,Portugal,19,7,0,97
504072,Samuel Soares,10330,SL Benfica B,2024,PO2,0,Goalkeeper,22,Portugal,1,1,0,90
670710,André Gomes,10330,SL Benfica B,2024,PO2,75,Goalkeeper,19,Portugal,31,31,0,2790
801446,Diogo Ferreira,10330,SL Benfica B,2024,PO2,50,Goalkeeper,17,Portugal,3,0,0,0
718216,Pedro Souza,10330,SL Benfica B,2024,PO2,92,Goalkeeper,22,Portugal,26,2,0,180
575722,Ricardo Ribeiro,10330,SL Benfica B,2024,PO2,98,Goalkeeper,21,Portugal,7,0,0,0
582987,Adrian Bajrami,10330,SL Benfica B,2024,PO2,0,Centre-Back,22,Switzerland,2,2,0,148
977465,Gustavo Marques,10330,SL Benfica B,2024,PO2,76,Centre-Back,22,Brazil,32,32,1,2757
1078918,Gonçalo Oliveira,10330,SL Benfica B,2024,PO2,0,Centre-Back,17,Portugal,5,2,0,90
866086,Joshua Wynder,10330,SL Benfica B,2024,PO2,66,Centre-Back,19,United States,31,31,4,2450
934031,Kiko,10330,SL Benfica B,2024,PO2,78,Left-Back,22,Portugal,31,30,1,2583
1173926,Leandro Santos,10330,SL Benfica B,2024,PO2,0,Right-Back,18,Portugal,23,20,2,1236
858252,Diogo Spencer,10330,SL Benfica B,2024,PO2,82,Right-Back,20,Portugal,33,26,0,1788
983554,João Fonseca,10330,SL Benfica B,2024,PO2,55,Centre-Back,17,Portugal,11,4,0,147
1093811,Tiago Parente,10330,SL Benfica B,2024,PO2,91,Left-Back,18,Portugal,19,11,0,353
983556,Leandro Martins,10330,SL Benfica B,2024,PO2,0,Left-Back,18,Portugal,1,1,0,1
620315,Lenny Lacroix,10330,SL Benfica B,2024,PO2,62,Centre-Back,21,France,21,11,1,521
549003,Filipe Cruz,10330,SL Benfica B,2024,PO2,70,Right-Back,22,Portugal,2,2,0,16
801443,Guilherme Gaspar,10330,SL Benfica B,2024,PO2,0,Centre-Back,18,Portugal,1,0,0,0
637803,Rafael Luís,10330,SL Benfica B,2024,PO2,83,Defensive Midfield,19,Portugal,32,30,0,1476
931415,João Rego,10330,SL Benfica B,2024,PO2,0,Attacking Midfield,19,Portugal,18,18,4,1428
670718,Diogo Prioste,10330,SL Benfica B,2024,PO2,86,Central Midfield,20,Portugal,29,27,7,2210
637792,João Veloso,10330,SL Benfica B,2024,PO2,68,Central Midfield,19,Portugal,33,28,1,978
858251,Nuno Félix,10330,SL Benfica B,2024,PO2,60,Defensive Midfield,20,Portugal,25,25,1,1797
1064377,Paul Okon-Engstler,10330,SL Benfica B,2024,PO2,72,Defensive Midfield,19,Australia,25,8,0,118
670683,Hugo Félix,10330,SL Benfica B,2024,PO2,79,Attacking Midfield,20,Portugal,32,32,2,2493
937720,Tiago Freitas,10330,SL Benfica B,2024,PO2,0,Central Midfield,17,Portugal,5,0,0,0
902701,Tomás Moreira,10330,SL Benfica B,2024,PO2,95,Central Midfield,19,Luxembourg,9,4,0,13
937726,Martim Ferreira,10330,SL Benfica B,2024,PO2,0,Defensive Midfield,18,Portugal,1,0,0,0
1000674,Gianluca Prestianni,10330,SL Benfica B,2024,PO2,0,Right Winger,18,Argentina,5,5,1,301
479638,Tiago Gouveia,10330,SL Benfica B,2024,PO2,0,Right Winger,23,Portugal,2,2,0,106
931900,Gustavo Varela,10330,SL Benfica B,2024,PO2,89,Centre-Forward,19,Cape Verde,34,34,11,2218
984544,Rodrigo Rêgo,10330,SL Benfica B,2024,PO2,67,Right Winger,19,Portugal,6,2,0,6
935996,Luan,10330,SL Benfica B,2024,PO2,99,Right Winger,21,Brazil,32,31,3,1791
659713,Gerson Sousa,10330,SL Benfica B,2024,PO2,0,Right Winger,22,Portugal,20,20,5,1536
939765,José Melro,10330,SL Benfica B,2024,PO2,97,Centre-Forward,20,Portugal,34,32,6,962
931416,Ivan Lima,10330,SL Benfica B,2024,PO2,90,Left Winger,19,Portugal,16,10,0,163
1093812,Bernardes,10330,SL Benfica B,2024,PO2,0,Right Winger,17,Portugal,21,17,2,660
768562,Bénito,10330,SL Benfica B,2024,PO2,73,Left Winger,20,France,21,7,0,122
338670,Mile Svilar,10330,SL Benfica B,2021,PO2,1,Goalkeeper,21,Serbia,13,13,0,1170
501737,Leo Kokubo,10330,SL Benfica B,2021,PO2,45,Goalkeeper,20,Japan,19,9,0,810
504072,Samuel Soares,10330,SL Benfica B,2021,PO2,24,Goalkeeper,19,Portugal,14,11,0,990
532096,CJ dos Santos,10330,SL Benfica B,2021,PO2,0,Goalkeeper,20,Cape Verde,12,0,0,0
258036,Fábio Duarte,10330,SL Benfica B,2021,PO2,98,Goalkeeper,23,Cape Verde,9,1,0,90
650568,António Silva,10330,SL Benfica B,2021,PO2,0,Centre-Back,17,Portugal,6,2,0,180
504087,Tomás Araújo,10330,SL Benfica B,2021,PO2,72,Centre-Back,19,Portugal,21,21,2,1656
673492,Morato,10330,SL Benfica B,2021,PO2,0,Centre-Back,20,Brazil,3,3,0,225
582987,Adrian Bajrami,10330,SL Benfica B,2021,PO2,0,Centre-Back,19,Switzerland,2,2,0,19
481623,João Ferreira,10330,SL Benfica B,2021,PO2,0,Right-Back,20,Portugal,2,2,1,180
481628,Tiago Araújo,10330,SL Benfica B,2021,PO2,0,Left-Back,20,Portugal,2,2,0,47
375376,Pedro Álvaro,10330,SL Benfica B,2021,PO2,89,Centre-Back,21,Portugal,27,26,0,1895
487466,Pedro Ganchas,10330,SL Benfica B,2021,PO2,0,Centre-Back,21,Portugal,15,11,1,943
481627,Sandro Cruz,10330,SL Benfica B,2021,PO2,57,Left-Back,20,Angola,28,26,0,2092
293180,Branimir Kalaica,10330,SL Benfica B,2021,PO2,75,Centre-Back,23,Croatia,4,3,0,14
834443,Tiago Cóser,10330,SL Benfica B,2021,PO2,0,Centre-Back,17,Brazil,3,0,0,0
549034,Rafa Rodrigues,10330,SL Benfica B,2021,PO2,65,Left-Back,19,Portugal,27,16,0,805
551981,João Tomé,10330,SL Benfica B,2021,PO2,0,Right-Back,18,Portugal,4,0,0,0
409884,Miguel Nóbrega,10330,SL Benfica B,2021,PO2,59,Centre-Back,21,Portugal,28,23,2,1410
549003,Filipe Cruz,10330,SL Benfica B,2021,PO2,70,Right-Back,19,Portugal,27,24,1,1635
