player_id,player_name,team_id,team_name,season,competition,shirt_number,position,age,nationality,in_squad,appearances,goals,minutes_played
617520,Stanislav Agkatsev,16704,FC Krasnodar,2024,RU1,1,Goalkeeper,22,Russia,30,30,0,2700
817844,Danil Ladokha,16704,FC Krasnodar,2024,RU1,0,Goalkeeper,18,Russia,8,0,0,0
228660,Yuriy Dyupin,16704,FC Krasnodar,2024,RU1,13,Goalkeeper,36,Russia,29,0,0,0
697721,Daniil Golikov,16704,FC Krasnodar,2024,RU1,34,Goalkeeper,20,Russia,4,0,0,0
685982,Roman Safronov,16704,FC Krasnodar,2024,RU1,0,Goalkeeper,21,Russia,1,0,0,0
606907,Valentin Grishin,16704,FC Krasnodar,2024,RU1,0,Goalkeeper,21,Russia,5,0,0,0
1160722,Egor Postrigan,16704,FC Krasnodar,2024,RU1,0,Goalkeeper,17,Russia,2,0,0,0
546212,Diego Costa,16704,FC Krasnodar,2024,RU1,4,Centre-Back,24,Brazil,28,28,1,2509
517300,Vítor Tormena,16704,FC Krasnodar,2024,RU1,3,Centre-Back,28,Brazil,25,23,2,2051
216240,Lucas Olaza,16704,FC Krasnodar,2024,RU1,15,Left-Back,29,Uruguay,28,27,1,2370
339699,Giovanni González,16704,FC Krasnodar,2024,RU1,20,Right-Back,29,Uruguay,25,22,0,1033
523363,Kaio,16704,FC Krasnodar,2024,RU1,0,Centre-Back,28,Brazil,27,13,1,993
718758,Georgiy Harutyunyan,16704,FC Krasnodar,2024,RU1,0,Centre-Back,19,Armenia,15,0,0,0
391907,Aleksandr Ektov,16704,FC Krasnodar,2024,RU1,0,Right-Back,28,Russia,3,1,0,5
1052493,Artem Khmarin,16704,FC Krasnodar,2024,RU1,0,Left-Back,17,Russia,1,0,0,0
102581,Sergey Petrov,16704,FC Krasnodar,2024,RU1,98,Right-Back,33,Russia,28,27,0,1707
1038627,Kirill Larionov,16704,FC Krasnodar,2024,RU1,0,Left-Back,18,Russia,9,0,0,0
1160727,Marat Kulaev,16704,FC Krasnodar,2024,RU1,0,Left-Back,17,Russia,1,0,0,0
1038638,Bogdan Matsola,16704,FC Krasnodar,2024,RU1,0,Centre-Back,17,Russia,1,0,0,0
515744,Eduard Spertsyan,16704,FC Krasnodar,2024,RU1,10,Attacking Midfield,24,Armenia,28,28,11,2296
432112,Aleksandr Chernikov,16704,FC Krasnodar,2024,RU1,53,Defensive Midfield,24,Russia,28,27,2,1860
857948,Kevin Castaño,16704,FC Krasnodar,2024,RU1,0,Defensive Midfield,23,Colombia,17,16,1,573
746180,Nikita Krivtsov,16704,FC Krasnodar,2024,RU1,88,Attacking Midfield,21,Russia,30,27,5,1172
544586,Kevin Lenini,16704,FC Krasnodar,2024,RU1,6,Defensive Midfield,27,Cape Verde,29,29,3,2095
720287,Danila Kozlov,16704,FC Krasnodar,2024,RU1,8,Attacking Midfield,19,Russia,30,23,2,415
1052494,Artem Sidorenko,16704,FC Krasnodar,2024,RU1,0,Central Midfield,17,Russia,1,0,0,0
159957,Yuriy Gazinskiy,16704,FC Krasnodar,2024,RU1,18,Central Midfield,34,Russia,21,3,1,13
185245,Jhon Córdoba,16704,FC Krasnodar,2024,RU1,9,Centre-Forward,31,Colombia,25,25,12,2212
514256,João Batxi,16704,FC Krasnodar,2024,RU1,11,Right Winger,26,Angola,30,30,5,2231
381724,Victor Sá,16704,FC Krasnodar,2024,RU1,7,Left Winger,30,Brazil,25,25,4,1901
666616,Olakunle Olusegun,16704,FC Krasnodar,2024,RU1,40,Left Winger,22,Nigeria,29,19,2,579
911232,Moses David Cobnan,16704,FC Krasnodar,2024,RU1,90,Right Winger,21,Nigeria,30,25,4,570
817843,Aleksandr Koksharov,16704,FC Krasnodar,2024,RU1,0,Centre-Forward,19,Russia,7,0,0,0
50355,Fedor Smolov,16704,FC Krasnodar,2024,RU1,19,Centre-Forward,34,Russia,27,16,1,405
318470,Matvey Safonov,16704,FC Krasnodar,2023,RU1,39,Goalkeeper,24,Russia,30,30,0,2655
617520,Stanislav Agkatsev,16704,FC Krasnodar,2023,RU1,1,Goalkeeper,21,Russia,30,1,0,45
685658,Mikhail Shtepa,16704,FC Krasnodar,2023,RU1,0,Goalkeeper,20,Russia,21,0,0,0
697721,Daniil Golikov,16704,FC Krasnodar,2023,RU1,0,Goalkeeper,19,Russia,4,0,0,0
685982,Roman Safronov,16704,FC Krasnodar,2023,RU1,0,Goalkeeper,20,Russia,4,0,0,0
517300,Vítor Tormena,16704,FC Krasnodar,2023,RU1,3,Centre-Back,27,Brazil,24,23,0,1963
216240,Lucas Olaza,16704,FC Krasnodar,2023,RU1,15,Left-Back,28,Uruguay,25,25,1,1815
273000,Júnior Alonso,16704,FC Krasnodar,2023,RU1,4,Centre-Back,30,Paraguay,29,29,0,2610
520060,Sergey Volkov,16704,FC Krasnodar,2023,RU1,82,Right-Back,20,Russia,28,22,0,1724
523363,Kaio,16704,FC Krasnodar,2023,RU1,31,Centre-Back,27,Brazil,17,12,1,851
718758,Georgiy Harutyunyan,16704,FC Krasnodar,2023,RU1,33,Centre-Back,18,Armenia,29,4,0,299
391907,Aleksandr Ektov,16704,FC Krasnodar,2023,RU1,23,Right-Back,27,Russia,28,12,0,122
102581,Sergey Petrov,16704,FC Krasnodar,2023,RU1,98,Right-Back,32,Russia,17,14,0,816
817852,Stanislav Puzanov,16704,FC Krasnodar,2023,RU1,0,Left-Back,19,Russia,2,0,0,0
673105,Danila Gayvoronskiy,16704,FC Krasnodar,2023,RU1,0,Centre-Back,19,Russia,7,0,0,0
817848,Vladimir Yarlykov,16704,FC Krasnodar,2023,RU1,0,Centre-Back,18,Russia,1,0,0,0
515744,Eduard Spertsyan,16704,FC Krasnodar,2023,RU1,10,Attacking Midfield,23,Armenia,29,29,11,2526
432112,Aleksandr Chernikov,16704,FC Krasnodar,2023,RU1,53,Defensive Midfield,23,Russia,27,27,1,2344
857948,Kevin Castaño,16704,FC Krasnodar,2023,RU1,5,Defensive Midfield,22,Colombia,12,9,0,534
746180,Nikita Krivtsov,16704,FC Krasnodar,2023,RU1,88,Attacking Midfield,20,Russia,30,30,2,1658
544586,Kevin Lenini,16704,FC Krasnodar,2023,RU1,6,Defensive Midfield,26,Cape Verde,29,15,1,376
484873,Kady Borges,16704,FC Krasnodar,2023,RU1,20,Attacking Midfield,27,Brazil,28,26,2,1263
334440,Ilzat Akhmetov,16704,FC Krasnodar,2023,RU1,7,Attacking Midfield,25,Russia,18,15,2,508
585082,Mihajlo Banjac,16704,FC Krasnodar,2023,RU1,14,Central Midfield,23,Serbia,30,18,0,256
673998,Yuriy Zheleznov,16704,FC Krasnodar,2023,RU1,48,Left Midfield,20,Russia,0,0,0,0
185245,Jhon Córdoba,16704,FC Krasnodar,2023,RU1,9,Centre-Forward,30,Colombia,27,27,15,2419
514256,João Batxi,16704,FC Krasnodar,2023,RU1,11,Right Winger,25,Angola,29,29,1,2088
381724,Victor Sá,16704,FC Krasnodar,2023,RU1,7,Left Winger,29,Brazil,12,12,1,809
335725,Shapi Suleymanov,16704,FC Krasnodar,2023,RU1,0,Right Winger,23,Russia,5,1,0,1
