player_id,player_name,team_id,team_name,season,competition,shirt_number,position,age,nationality,in_squad,appearances,goals,minutes_played
52313,Marcelo Grohe,8023,Al-Ittihad Club,2023,SA1,34,Goalkeeper,36,Brazil,18,17,0,1530
901096,Mohammed Al-Mahasneh,8023,Al-Ittihad Club,2023,SA1,0,Goalkeeper,26,Saudi Arabia,16,5,0,450
250825,Abdullah Al-Jadani,8023,Al-Ittihad Club,2023,SA1,21,Goalkeeper,32,Saudi Arabia,4,0,0,0
1020855,Osama Al-Mermesh,8023,Al-Ittihad Club,2023,SA1,88,Goalkeeper,19,Saudi Arabia,13,0,0,0
147866,Abdullah Al-Mayouf,8023,Al-Ittihad Club,2023,SA1,1,Goalkeeper,36,Saudi Arabia,24,12,0,1080
457931,Luiz Felipe,8023,Al-Ittihad Club,2023,SA1,5,Centre-Back,26,Italy,18,18,0,1390
928499,Saad Al-Mousa,8023,Al-Ittihad Club,2023,SA1,0,Centre-Back,20,Saudi Arabia,10,10,1,708
1057849,Zakaria Hawsawi,8023,Al-Ittihad Club,2023,SA1,12,Left-Back,22,Saudi Arabia,12,10,1,604
229879,Muhannad Shanqeeti,8023,Al-Ittihad Club,2023,SA1,13,Right-Back,24,Saudi Arabia,21,21,1,1426
111524,Ahmed Hegazy,8023,Al-Ittihad Club,2023,SA1,26,Centre-Back,32,Egypt,11,10,0,900
514927,Ahmed Bamsaud,8023,Al-Ittihad Club,2023,SA1,28,Left-Back,27,Saudi Arabia,16,15,0,1001
364450,Fawaz Al-Sqoor,8023,Al-Ittihad Club,2023,SA1,0,Right-Back,27,Saudi Arabia,13,13,0,1074
319552,Ahmed Sharahili,8023,Al-Ittihad Club,2023,SA1,20,Centre-Back,29,Saudi Arabia,7,7,0,614
264729,Madallah Al-Olayan,8023,Al-Ittihad Club,2023,SA1,33,Right-Back,28,Saudi Arabia,20,20,0,1114
260859,Hassan Kadesh,8023,Al-Ittihad Club,2023,SA1,15,Left-Back,30,Saudi Arabia,25,24,1,2058
1184080,Turki Al-Jaadi,8023,Al-Ittihad Club,2023,SA1,19,Left-Back,20,Saudi Arabia,14,6,0,202
1060927,Suwailem Al-Manhali,8023,Al-Ittihad Club,2023,SA1,25,Centre-Back,19,Saudi Arabia,22,9,0,249
180216,Omar Hawsawi,8023,Al-Ittihad Club,2023,SA1,4,Centre-Back,37,Saudi Arabia,21,12,0,819
225693,Fabinho,8023,Al-Ittihad Club,2023,SA1,8,Defensive Midfield,29,Brazil,19,19,1,1564
225083,N'Golo Kanté,8023,Al-Ittihad Club,2023,SA1,7,Defensive Midfield,32,France,30,30,2,2639
215915,Igor Coronado,8023,Al-Ittihad Club,2023,SA1,10,Attacking Midfield,30,Italy,15,15,5,1213
901082,Faisal Al-Ghamdi,8023,Al-Ittihad Club,2023,SA1,16,Central Midfield,21,Saudi Arabia,20,18,1,1350
1145311,Farhah Al-Shamrani,8023,Al-Ittihad Club,2023,SA1,29,Attacking Midfield,17,Saudi Arabia,26,15,2,549
593337,Hamed Al-Ghamdi,8023,Al-Ittihad Club,2023,SA1,0,Central Midfield,24,Saudi Arabia,1,0,0,0
901163,Awad Al-Nashri,8023,Al-Ittihad Club,2023,SA1,14,Defensive Midfield,21,Saudi Arabia,10,7,0,421
268095,Sultan Al-Farhan,8023,Al-Ittihad Club,2023,SA1,6,Defensive Midfield,26,Saudi Arabia,23,13,0,484
1250990,Salem Suliman,8023,Al-Ittihad Club,2023,SA1,0,Defensive Midfield,19,Yemen,4,0,0,0
18922,Karim Benzema,8023,Al-Ittihad Club,2023,SA1,9,Centre-Forward,35,France,21,21,9,1741
329812,Jota,8023,Al-Ittihad Club,2023,SA1,11,Left Winger,24,Portugal,16,16,4,985
235052,Abderrazak Hamdallah,8023,Al-Ittihad Club,2023,SA1,99,Centre-Forward,32,Morocco,24,24,19,1976
1057857,Marwan Al-Sahafi,8023,Al-Ittihad Club,2023,SA1,17,Left Winger,19,Saudi Arabia,29,20,2,1097
1145312,Talal Haji,8023,Al-Ittihad Club,2023,SA1,52,Centre-Forward,15,Saudi Arabia,20,9,2,294
441191,Abdulrahman Al-Oboud,8023,Al-Ittihad Club,2023,SA1,24,Right Winger,28,Saudi Arabia,4,3,0,72
671043,Ahmed Al-Ghamdi,8023,Al-Ittihad Club,2023,SA1,0,Left Winger,21,Saudi Arabia,10,10,2,592
193925,Romarinho,8023,Al-Ittihad Club,2023,SA1,90,Centre-Forward,32,Brazil,29,28,5,2175
1118034,Hammam Al-Hammami,8023,Al-Ittihad Club,2023,SA1,0,Right Winger,19,Saudi Arabia,8,3,0,10
229940,Saleh Al-Amri,8023,Al-Ittihad Club,2023,SA1,77,Left Winger,29,Saudi Arabia,31,29,3,938
31406,Haroune Camara,8023,Al-Ittihad Club,2023,SA1,70,Centre-Forward,25,Saudi Arabia,17,8,0,219
52313,Marcelo Grohe,8023,Al-Ittihad Club,2021,SA1,34,Goalkeeper,34,Brazil,28,28,0,2475
112813,Rakan Al-Najjar,8023,Al-Ittihad Club,2021,SA1,1,Goalkeeper,26,Saudi Arabia,27,3,0,225
901062,Saleh Al-Ohaymid,8023,Al-Ittihad Club,2021,SA1,22,Goalkeeper,23,Saudi Arabia,4,0,0,0
1020855,Osama Al-Mermesh,8023,Al-Ittihad Club,2021,SA1,0,Goalkeeper,17,Saudi Arabia,0,0,0,0
901172,Mohammed Abu Aseda,8023,Al-Ittihad Club,2021,SA1,12,Goalkeeper,21,Saudi Arabia,1,0,0,0
631927,Saud Abdulhamid,8023,Al-Ittihad Club,2021,SA1,0,Right-Back,21,Saudi Arabia,8,8,0,720
229879,Muhannad Shanqeeti,8023,Al-Ittihad Club,2021,SA1,13,Right-Back,22,Saudi Arabia,28,28,1,2211
111524,Ahmed Hegazy,8023,Al-Ittihad Club,2021,SA1,26,Centre-Back,30,Egypt,18,18,3,1620
505496,Hamdan Al-Shammrani,8023,Al-Ittihad Club,2021,SA1,27,Left-Back,24,Saudi Arabia,28,28,2,2426
264729,Madallah Al-Olayan,8023,Al-Ittihad Club,2021,SA1,33,Right-Back,26,Saudi Arabia,10,7,0,204
421391,Ziyad Al-Sahafi,8023,Al-Ittihad Club,2021,SA1,4,Centre-Back,26,Saudi Arabia,23,18,1,1435
193151,Abdullah Al-Hafith,8023,Al-Ittihad Club,2021,SA1,17,Centre-Back,28,Saudi Arabia,22,8,0,480
901164,Mohammed Al-Oufi,8023,Al-Ittihad Club,2021,SA1,23,Left-Back,18,Saudi Arabia,3,0,0,0
901162,Hassan Al-Asmari,8023,Al-Ittihad Club,2021,SA1,25,Right-Back,18,Saudi Arabia,0,0,0,0
631932,Hazim Al-Zahrani,8023,Al-Ittihad Club,2021,SA1,32,Left-Back,22,Saudi Arabia,24,5,0,214
180216,Omar Hawsawi,8023,Al-Ittihad Club,2021,SA1,5,Centre-Back,35,Saudi Arabia,27,16,1,1131
271842,Abdulmohsin Fallatah,8023,Al-Ittihad Club,2021,SA1,21,Centre-Back,27,Saudi Arabia,14,0,0,0
215915,Igor Coronado,8023,Al-Ittihad Club,2021,SA1,77,Attacking Midfield,28,Italy,19,19,5,1385
390855,Abdulelah Al-Malki,8023,Al-Ittihad Club,2021,SA1,0,Defensive Midfield,26,Saudi Arabia,14,14,0,918
277335,Bruno Henrique,8023,Al-Ittihad Club,2021,SA1,19,Central Midfield,31,Brazil,30,30,1,1841
901163,Awad Al-Nashri,8023,Al-Ittihad Club,2021,SA1,14,Defensive Midfield,19,Saudi Arabia,18,12,0,314
470011,Khaled Al-Sumairi,8023,Al-Ittihad Club,2021,SA1,6,Defensive Midfield,24,Saudi Arabia,18,5,0,98
25523,Karim El Ahmadi,8023,Al-Ittihad Club,2021,SA1,0,Defensive Midfield,36,Morocco,16,16,0,1369
209493,Abdulaziz Al-Jebreen,8023,Al-Ittihad Club,2021,SA1,16,Defensive Midfield,31,Saudi Arabia,16,4,0,26
63837,André André,8023,Al-Ittihad Club,2021,SA1,30,Central Midfield,31,Portugal,12,12,0,1024
351990,Youssoufou Niakaté,8023,Al-Ittihad Club,2021,SA1,0,Centre-Forward,28,Mali,9,8,0,148
235052,Abderrazak Hamdallah,8023,Al-Ittihad Club,2021,SA1,99,Centre-Forward,30,Morocco,13,13,12,1043
441191,Abdulrahman Al-Oboud,8023,Al-Ittihad Club,2021,SA1,24,Right Winger,26,Saudi Arabia,26,26,2,1726
193925,Romarinho,8023,Al-Ittihad Club,2021,SA1,90,Centre-Forward,30,Brazil,29,29,20,2510
31406,Haroune Camara,8023,Al-Ittihad Club,2021,SA1,70,Centre-Forward,23,Saudi Arabia,29,22,6,679
170895,Garry Rodrigues,8023,Al-Ittihad Club,2021,SA1,0,Right Winger,30,Cape Verde,3,2,0,169
153350,Abdulaziz Al-Bishi,8023,Al-Ittihad Club,2021,SA1,11,Right Winger,27,Saudi Arabia,27,27,4,1963
193153,Fahad Al-Muwallad,8023,Al-Ittihad Club,2021,SA1,8,Right Winger,26,Saudi Arabia,21,21,3,1276
901111,Ahmed Bahusayn,8023,Al-Ittihad Club,2021,SA1,29,Left Winger,20,Saudi Arabia,22,5,0,23
509895,Abdulrahman Al-Yami,8023,Al-Ittihad Club,2021,SA1,0,Centre-Forward,24,Saudi Arabia,7,2,0,5
672378,Omar Al-Jadani,8023,Al-Ittihad Club,2021,SA1,0,Left Winger,22,Saudi Arabia,4,0,0,0
190263,Predrag Rajković,8023,Al-Ittihad Club,2024,SA1,1,Goalkeeper,28,Serbia,28,28,0,2447
1060899,Hamed Al-Shanqity,8023,Al-Ittihad Club,2024,SA1,47,Goalkeeper,19,Saudi Arabia,9,3,0,184
901096,Mohammed Al-Mahasneh,8023,Al-Ittihad Club,2024,SA1,33,Goalkeeper,27,Saudi Arabia,33,5,0,429
1020855,Osama Al-Mermesh,8023,Al-Ittihad Club,2024,SA1,88,Goalkeeper,20,Saudi Arabia,0,0,0,0
726114,Mario Mitaj,8023,Al-Ittihad Club,2024,SA1,12,Left-Back,20,Albania,18,18,1,1445
141050,Danilo Pereira,8023,Al-Ittihad Club,2024,SA1,2,Centre-Back,32,Portugal,26,26,2,2259
457931,Luiz Felipe,8023,Al-Ittihad Club,2024,SA1,0,Centre-Back,27,Italy,1,1,0,20
928499,Saad Al-Mousa,8023,Al-Ittihad Club,2024,SA1,6,Centre-Back,21,Saudi Arabia,29,23,0,1776
509894,Abdulelah Al-Amri,8023,Al-Ittihad Club,2024,SA1,4,Centre-Back,27,Saudi Arabia,20,20,0,1321
229879,Muhannad Shanqeeti,8023,Al-Ittihad Club,2024,SA1,13,Right-Back,25,Saudi Arabia,32,28,1,2054
