player_id,player_name,team_id,team_name,season,competition,shirt_number,position,age,nationality,in_squad,appearances,goals,minutes_played
264014,Sergio Rochet,866,Club Nacional,2022,URU1,1,Goalkeeper,29,Uruguay,14,14,0,1260
837685,Facundo Machado,866,Club Nacional,2022,URU1,12,Goalkeeper,18,Uruguay,0,0,0,0
657760,Ignacio Suárez,866,Club Nacional,2022,URU1,25,Goalkeeper,20,Uruguay,1,0,0,0
131098,Salvador Ichazo,866,Club Nacional,2022,URU1,32,Goalkeeper,30,Uruguay,15,1,0,90
665101,Leandro Lozano,866,Club Nacional,2022,URU1,16,Right-Back,23,Uruguay,13,11,0,801
809082,Lucas Morales,866,Club Nacional,2022,URU1,27,Right-Back,22,Uruguay,15,9,0,652
382473,Camilo Cándido,866,Club Nacional,2022,URU1,6,Left-Back,27,Uruguay,15,15,1,1293
815382,Fredy Martínez,866,Club Nacional,2022,URU1,49,Left-Back,21,Uruguay,0,0,0,0
267431,Fabián Noguera,866,Club Nacional,2022,URU1,18,Centre-Back,29,Argentina,14,14,1,1230
195809,Maximiliano Perg,866,Club Nacional,2022,URU1,3,Centre-Back,30,Uruguay,15,1,0,32
129257,Daniel Bocanegra,866,Club Nacional,2022,URU1,2,Centre-Back,35,Colombia,11,7,1,546
657745,Ignacio Velázquez,866,Club Nacional,2022,URU1,0,Left-Back,19,Uruguay,0,0,0,0
195936,Christian Almeida,866,Club Nacional,2022,URU1,13,Centre-Back,32,Uruguay,14,2,0,57
78506,Diego Polenta,866,Club Nacional,2022,URU1,23,Centre-Back,30,Uruguay,13,10,1,749
997818,Juan Echeverría,866,Club Nacional,2022,URU1,46,Left-Back,16,Uruguay,0,0,0,0
997827,Thiago Helguera,866,Club Nacional,2022,URU1,4,Defensive Midfield,16,Uruguay,2,1,0,22
1030317,Rodrigo Chagas,866,Club Nacional,2022,URU1,33,Defensive Midfield,18,Uruguay,3,1,0,4
538091,Francisco Ginella,866,Club Nacional,2022,URU1,17,Central Midfield,23,Uruguay,4,4,0,218
657747,Santiago Cartagena,866,Club Nacional,2022,URU1,8,Defensive Midfield,19,Uruguay,11,4,0,123
842773,Agustín Da Rocha,866,Club Nacional,2022,URU1,0,Central Midfield,20,Uruguay,0,0,0,0
435983,Marcos Montiel,866,Club Nacional,2022,URU1,14,Defensive Midfield,26,Uruguay,14,14,2,869
264116,Gastón Pereiro,866,Club Nacional,2022,URU1,20,Attacking Midfield,27,Uruguay,15,15,1,944
248331,Yonatan Rodríguez,866,Club Nacional,2022,URU1,5,Defensive Midfield,29,Uruguay,7,5,1,296
127828,Diego Rodríguez,866,Club Nacional,2022,URU1,15,Defensive Midfield,32,Uruguay,12,12,0,1061
826412,Manuel Monzeglio,866,Club Nacional,2022,URU1,24,Attacking Midfield,20,Uruguay,14,7,0,109
491599,Antonio Galeano,866,Club Nacional,2022,URU1,26,Right Winger,22,Paraguay,0,0,0,0
581321,Juan Gutiérrez,866,Club Nacional,2022,URU1,28,Centre-Forward,20,Uruguay,1,1,0,8
1110360,Bruno Damiani,866,Club Nacional,2022,URU1,29,Centre-Forward,20,Uruguay,9,3,0,61
402079,Ignacio Ramírez,866,Club Nacional,2022,URU1,11,Centre-Forward,25,Uruguay,13,13,11,796
741517,Alfonso Trezza,866,Club Nacional,2022,URU1,19,Right Winger,23,Uruguay,14,14,1,549
1116801,Jeremía Recoba,866,Club Nacional,2022,URU1,66,Left Winger,18,Uruguay,0,0,0,0
401932,Christian Ebere,866,Club Nacional,2022,URU1,99,Centre-Forward,24,Nigeria,0,0,0,0
929438,Franco Fagúndez,866,Club Nacional,2022,URU1,10,Second Striker,21,Uruguay,15,14,1,965
411433,Federico Martínez,866,Club Nacional,2022,URU1,7,Left Winger,26,Uruguay,12,12,1,826
970867,Renzo Sánchez,866,Club Nacional,2022,URU1,21,Right Winger,18,Uruguay,2,2,0,24
177562,Diego Zabala,866,Club Nacional,2022,URU1,22,Right Winger,30,Uruguay,15,15,3,753
1107396,Luciano Inverso,866,Club Nacional,2022,URU1,30,Right Winger,17,Uruguay,0,0,0,0
87365,Emmanuel Gigliotti,866,Club Nacional,2022,URU1,9,Centre-Forward,35,Argentina,11,11,3,509
837685,Facundo Machado,866,Club Nacional,2023,URU1,12,Goalkeeper,19,Uruguay,3,0,0,0
657760,Ignacio Suárez,866,Club Nacional,2023,URU1,25,Goalkeeper,21,Uruguay,15,3,0,270
131098,Salvador Ichazo,866,Club Nacional,2023,URU1,32,Goalkeeper,31,Uruguay,0,0,0,0
76715,Luis Mejía,866,Club Nacional,2023,URU1,12,Goalkeeper,32,Panama,12,12,0,1080
665101,Leandro Lozano,866,Club Nacional,2023,URU1,16,Right-Back,24,Uruguay,12,11,0,903
809082,Lucas Morales,866,Club Nacional,2023,URU1,27,Right-Back,23,Uruguay,0,0,0,0
988661,Mateo Antoni,866,Club Nacional,2023,URU1,13,Centre-Back,20,Uruguay,12,9,1,633
376858,Gabriel Báez,866,Club Nacional,2023,URU1,6,Left-Back,27,Argentina,13,9,1,798
815382,Fredy Martínez,866,Club Nacional,2023,URU1,32,Left-Back,22,Uruguay,9,5,0,441
997825,Paolo Calione,866,Club Nacional,2023,URU1,15,Centre-Back,17,Uruguay,0,0,0,0
189458,Emiliano Velázquez,866,Club Nacional,2023,URU1,2,Centre-Back,29,Uruguay,7,4,0,229
898036,Rafael Haller,866,Club Nacional,2023,URU1,4,Right-Back,22,Uruguay,10,4,0,239
325454,Franco Romero,866,Club Nacional,2023,URU1,19,Centre-Back,28,Uruguay,13,9,0,639
102427,Sebastián Coates,866,Club Nacional,2023,URU1,4,Centre-Back,32,Uruguay,0,0,0,0
196187,Nicolás Rodríguez,866,Club Nacional,2023,URU1,77,Right-Back,31,Uruguay,0,0,0,0
195809,Maximiliano Perg,866,Club Nacional,2023,URU1,3,Centre-Back,31,Uruguay,0,0,0,0
129257,Daniel Bocanegra,866,Club Nacional,2023,URU1,2,Centre-Back,36,Colombia,0,0,0,0
532422,Juan Izquierdo,866,Club Nacional,2023,URU1,3,Centre-Back,25,Uruguay,10,8,1,586
195936,Christian Almeida,866,Club Nacional,2023,URU1,13,Centre-Back,33,Uruguay,0,0,0,0
78506,Diego Polenta,866,Club Nacional,2023,URU1,23,Centre-Back,31,Uruguay,11,10,0,807
928620,Ulises Márquez,866,Club Nacional,2023,URU1,30,Right-Back,19,Uruguay,0,0,0,0
