player_id,player_name,team_id,team_name,season,competition,shirt_number,position,age,nationality,in_squad,appearances,goals,minutes_played
121267,Connor Roberts,10734,The New Saints,2022,WAL1,25,Goalkeeper,29,Wales,32,32,0,2880
1002363,Jack Edwards,10734,The New Saints,2022,WAL1,0,Goalkeeper,16,England,6,0,0,0
503722,Daniel Atherton,10734,The New Saints,2022,WAL1,0,Goalkeeper,22,England,6,0,0,0
223790,Luke Simpson,10734,The New Saints,2022,WAL1,1,Goalkeeper,27,England,19,0,0,0
265866,Danny Davies,10734,The New Saints,2022,WAL1,22,Centre-Back,27,Wales,30,26,5,1901
928577,Billy Kirkman,10734,The New Saints,2022,WAL1,34,Left-Back,18,England,9,5,0,126
104685,Chris Marriott,10734,The New Saints,2022,WAL1,3,Left-Back,32,England,26,25,2,2052
250730,Keston Davies,10734,The New Saints,2022,WAL1,4,Centre-Back,25,Wales,18,12,0,991
198148,Ryan Astles,10734,The New Saints,2022,WAL1,5,Centre-Back,28,England,32,32,3,2797
822914,Louis Bradford,10734,The New Saints,2022,WAL1,0,Centre-Back,20,England,1,0,0,0
933749,Nick Grogan,10734,The New Saints,2022,WAL1,0,Centre-Back,18,England,2,0,0,0
339789,Josh Pask,10734,The New Saints,2022,WAL1,2,Centre-Back,24,England,10,6,0,359
125688,Blaine Hudson,10734,The New Saints,2022,WAL1,12,Centre-Back,30,England,21,10,0,639
525969,Daniel Williams,10734,The New Saints,2022,WAL1,0,Central Midfield,21,Wales,27,22,2,1333
516936,Ben Clark,10734,The New Saints,2022,WAL1,19,Central Midfield,21,England,24,24,13,1458
427922,Leo Smith,10734,The New Saints,2022,WAL1,21,Central Midfield,24,Wales,30,27,4,1615
61586,Daniel Redmond,10734,The New Saints,2022,WAL1,10,Central Midfield,31,England,31,31,5,2403
993228,Josh Lock,10734,The New Saints,2022,WAL1,0,Attacking Midfield,18,Wales,5,1,0,6
869891,Jake Canavan,10734,The New Saints,2022,WAL1,27,Central Midfield,18,England,14,7,2,89
527493,Ash Baker,10734,The New Saints,2022,WAL1,24,Central Midfield,25,Wales,20,12,2,612
98063,Jon Routledge,10734,The New Saints,2022,WAL1,6,Central Midfield,32,England,32,30,1,2364
823080,Beau Cornish,10734,The New Saints,2022,WAL1,47,Central Midfield,20,Wales,0,0,0,0
980259,Ellis Turner,10734,The New Saints,2022,WAL1,0,Central Midfield,17,England,3,0,0,0
162823,Ryan Brobbel,10734,The New Saints,2022,WAL1,8,Left Winger,29,Northern Ireland,30,30,15,2202
339861,Adam Wilson,10734,The New Saints,2022,WAL1,23,Right Winger,22,Kenya,19,18,7,1117
