Date,Team,Win,GF,game_lat,Opponent,Win,GF,Draw,modal_score,comp_tier,notes
June 11 🏆@@24268,:cz: CZE,37.0,1.3,21.34143,:kr: KOR,33.2,1.2,29.8,0-0,9,FIFA 2026 World Cup: Group Stage
June 11 🏆@@24268,:mx: MEX 🏡,75.0,2.1,21.34143,:za: RSA,5.1,0.4,20.0,1-0,9,FIFA 2026 World Cup: Group Stage
June 12 🏆@@24269,:us: USA 🏡,42.9,1.3,37.3172,:py: PAR,26.2,1.0,30.8,0-0,9,FIFA 2026 World Cup: Group Stage
June 12 🏆@@24269,:ca: CAN 🏡,66.8,2.0,46.89425,:ba: BIH,10.5,0.6,22.7,1-0,9,FIFA 2026 World Cup: Group Stage
June 13 🏆@@24270,:br: BRA,59.7,1.7,37.3172,:ma: MAR,13.4,0.6,26.9,1-0,9,FIFA 2026 World Cup: Group Stage
June 13 🏆@@24270,:gb-sct: SCO,63.2,2.1,37.3172,:ht: HAI,13.8,0.8,23.0,1-0,9,FIFA 2026 World Cup: Group Stage
June 13 🏆@@24270,:ch: SUI,86.7,3.2,37.3172,:qa: QAT,2.5,0.4,10.8,2-0,9,FIFA 2026 World Cup: Group Stage
June 14 🏆@@24271,:se: SWE,53.4,1.7,21.34143,:tn: TUN,19.6,0.9,27.0,1-0,9,FIFA 2026 World Cup: Group Stage
June 14 🏆@@24271,:nl: NED,50.4,1.8,37.3172,:jp: JPN,23.3,1.1,26.3,1-0,9,FIFA 2026 World Cup: Group Stage
June 14 🏆@@24271,:ec: ECU,57.5,1.7,37.3172,:ci: CIV,15.3,0.7,27.2,1-0,9,FIFA 2026 World Cup: Group Stage
June 14 🏆@@24271,:de: GER,90.4,3.8,37.3172,:cw: CUW,1.6,0.4,8.0,2-0,9,FIFA 2026 World Cup: Group Stage
June 14 🏆@@24271,:tr: TUR,62.9,2.0,46.89425,:au: AUS,13.8,0.8,23.3,1-0,9,FIFA 2026 World Cup: Group Stage
June 15 🏆@@24272,:uy: URU,75.8,2.3,37.3172,:sa: KSA,5.4,0.4,18.8,1-0,9,FIFA 2026 World Cup: Group Stage
June 15 🏆@@24272,:be: BEL,61.7,2.0,37.3172,:eg: EGY,14.6,0.8,23.7,1-0,9,FIFA 2026 World Cup: Group Stage
June 15 🏆@@24272,:ir: IRN,53.4,1.6,37.3172,:nz: NZL,18.9,0.9,27.7,1-0,9,FIFA 2026 World Cup: Group Stage
June 15 🏆@@24272,:es: ESP,89.9,3.4,37.3172,:cv: CPV,1.2,0.2,8.9,2-0,9,FIFA 2026 World Cup: Group Stage
June 16 🏆@@24273,:no: NOR,81.4,2.8,37.3172,:iq: IRQ,4.1,0.5,14.5,2-0,9,FIFA 2026 World Cup: Group Stage
June 16 🏆@@24273,:fr: FRA,58.2,1.7,37.3172,:sn: SEN,14.7,0.7,27.1,1-0,9,FIFA 2026 World Cup: Group Stage
June 16 🏆@@24273,:ar: ARG,79.8,2.6,37.3172,:dz: ALG,4.6,0.5,15.6,1-0,9,FIFA 2026 World Cup: Group Stage
June 17 🏆@@24274,:gb-eng: ENG,62.8,1.9,37.3172,:hr: CRO,13.0,0.7,24.3,1-0,9,FIFA 2026 World Cup: Group Stage
June 17 🏆@@24274,:pa: PAN,48.3,1.5,46.89425,:gh: GHA,22.9,1.0,28.8,1-0,9,FIFA 2026 World Cup: Group Stage
June 17 🏆@@24274,:co: COL,75.5,2.3,21.34143,:uz: UZB,5.8,0.5,18.7,1-0,9,FIFA 2026 World Cup: Group Stage
June 17 🏆@@24274,:pt: POR,73.4,2.3,37.3172,:cd: COD,7.4,0.6,19.2,1-0,9,FIFA 2026 World Cup: Group Stage
June 17 🏆@@24274,:at: AUT,66.0,2.2,37.3172,:jo: JOR,12.1,0.8,21.9,1-0,9,FIFA 2026 World Cup: Group Stage
June 18 🏆@@24275,:ca: CAN 🏡,85.2,3.0,46.89425,:qa: QAT,2.5,0.3,12.3,2-0,9,FIFA 2026 World Cup: Group Stage
June 18 🏆@@24275,:ch: SUI,68.1,2.2,37.3172,:ba: BIH,11.0,0.8,20.9,1-0,9,FIFA 2026 World Cup: Group Stage
June 18 🏆@@24275,:mx: MEX 🏡,67.4,1.9,21.34143,:kr: KOR,8.5,0.5,24.1,1-0,9,FIFA 2026 World Cup: Group Stage
June 18 🏆@@24275,:cz: CZE,49.9,1.6,37.3172,:za: RSA,21.6,0.9,28.5,1-0,9,FIFA 2026 World Cup: Group Stage
June 19 🏆@@24276,:us: USA 🏡,57.5,1.7,37.3172,:au: AUS,15.8,0.8,26.8,1-0,9,FIFA 2026 World Cup: Group Stage
June 19 🏆@@24276,:br: BRA,86.0,3.2,37.3172,:ht: HAI,2.7,0.4,11.3,2-0,9,FIFA 2026 World Cup: Group Stage
June 19 🏆@@24276,:ma: MAR,38.6,1.2,37.3172,:gb-sct: SCO,28.5,0.9,32.9,0-0,9,FIFA 2026 World Cup: Group Stage
June 19 🏆@@24276,:tr: TUR,46.3,1.6,37.3172,:py: PAR,25.6,1.1,28.1,1-0,9,FIFA 2026 World Cup: Group Stage
June 20 🏆@@24277,:nl: NED,64.7,2.2,37.3172,:se: SWE,13.5,0.9,21.8,1-0,9,FIFA 2026 World Cup: Group Stage
June 20 🏆@@24277,:ec: ECU,81.3,2.6,37.3172,:cw: CUW,3.7,0.4,15.0,1-0,9,FIFA 2026 World Cup: Group Stage
June 20 🏆@@24277,:de: GER,74.2,2.6,46.89425,:ci: CIV,8.3,0.7,17.5,1-0,9,FIFA 2026 World Cup: Group Stage
June 21 🏆@@24278,:uy: URU,75.3,2.2,37.3172,:cv: CPV,5.4,0.4,19.3,1-0,9,FIFA 2026 World Cup: Group Stage
June 21 🏆@@24278,:be: BEL,66.5,2.1,37.3172,:ir: IRN,11.4,0.7,22.1,1-0,9,FIFA 2026 World Cup: Group Stage
June 21 🏆@@24278,:es: ESP,90.2,3.5,37.3172,:sa: KSA,1.2,0.2,8.6,2-0,9,FIFA 2026 World Cup: Group Stage
June 21 🏆@@24278,:jp: JPN,65.7,2.0,21.34143,:tn: TUN,11.2,0.7,23.1,1-0,9,FIFA 2026 World Cup: Group Stage
June 21 🏆@@24278,:eg: EGY,60.0,1.8,46.89425,:nz: NZL,14.7,0.8,25.3,1-0,9,FIFA 2026 World Cup: Group Stage
June 22 🏆@@24279,:fr: FRA,86.4,3.0,37.3172,:iq: IRQ,2.1,0.3,11.5,2-0,9,FIFA 2026 World Cup: Group Stage
June 22 🏆@@24279,:dz: ALG,57.4,1.8,37.3172,:jo: JOR,17.0,0.9,25.5,1-0,9,FIFA 2026 World Cup: Group Stage
June 22 🏆@@24279,:no: NOR,46.2,1.5,46.89425,:sn: SEN,24.9,1.0,28.9,0-0,9,FIFA 2026 World Cup: Group Stage
June 22 🏆@@24279,:ar: ARG,75.8,2.5,37.3172,:at: AUT,6.6,0.6,17.6,1-0,9,FIFA 2026 World Cup: Group Stage
